Topic,ctfidf_top_terms
-1,"ai,装备,红色,春晚,这样,解说,开始,测试,机器人,宇树,比赛,视频,以为,荣耀,起跑线"
0,"机器人,人类,人形机器人,机器,马拉松,人形,为什么,这些,中国,比赛,发展,视频,跑步,设计,轮子"
1,"搞笑,好笑,不笑,大家,努力,嘲笑,真的,评论,视频,机会,来时路,几年,继续,精彩,不敢"
2,"一块,一地,摔倒,稀碎,碎成,挣扎,脾气,粉身碎骨,一下,几下,摔得,倒地,这样,撒泼,抽搐"
3,"公司,科技,补贴,玩意,研发,技术,丢人现眼,掏钱,资本,产品,东西,哪家,10%,为了,国家补贴"
4,"遥控,玩具,遥控器,自主,自动,导航,操作,这次,拿个,控制,意思,有人,讽刺,一组,遥控车"
5,"担架,抬担架,扫把,抬走,拿个,单架,搞笑,垃圾桶,塑料袋,扫帚,多余,还要,准备,还用,过来"
6,"救护车,机器人,医生,以为,救人,抢救,动物,心肺,機器,复苏,花钱,愿意,变形,120,之前"
7,"速度,跑步,马拉松,最快,正常,21,身体,指令,别跑,追不上,800,厉害,人家,意义,第一名"
8,"质量,电机,材料,太差,过热,塑料,3d,打印,材质,零件,为了,太脆,报废,结实,不行"
