# 领域专名/复合词。格式：词语 词频 词性
# 注释行以 # 开头会被 jieba 自动忽略
人形机器人 10000 nz
机器狗 10000 nz
机械狗 10000 nz
外骨骼 10000 nz
仿生机器人 10000 nz
人工智能 10000 nz
具身智能 10000 nz
马拉松 10000 n
机器人马拉松 10000 nz
半马 10000 n
全马 10000 n
关门时间 10000 nz
补给点 10000 nz
配速员 10000 nz
关门兔 10000 nz
扶起来 5000 v
摔倒 8000 v
散架 5000 v
散热 8000 n
降温 8000 v
换电 8000 v
换电池 5000 v
冰块 5000 n
干冰 5000 n
低血糖 8000 n
脱水 5000 v
抢救 8000 v
抬担架 5000 v
担架 8000 n
奶瓶 8000 n
伺候 8000 v
托举 8000 v
拟人化 10000 n
赛博 10000 n
遥控器 8000 n
遥控 8000 v
玩具 8000 n
工具 8000 n
钢铁 5000 n
铁皮 5000 n
铁疙瘩 5000 n
小家伙 8000 n
小可爱 8000 n
小机器人 8000 n
打工人 8000 n
打工狗 8000 n
社畜 8000 n
碳基生物 10000 nz
硅基生物 10000 nz
取代 5000 v
失业 5000 v
跑不过 8000 v
追不上 8000 v
血肉之躯 5000 n
工程师 8000 n
程序员 8000 n
WD-40 8000 nz
WD40 8000 nz
人机 8000 n
人机协作 10000 n
人机共存 10000 n
战争想象 10000 n
技术焦虑 10000 n
身体性 5000 n
有感情 5000 n
有意识 5000 n
有意义 5000 n
没意义 5000 n
没用 5000 a
小学生 5000 n
机器人界 5000 n
机器人三定律 10000 nz
