Topic,Count,Name,Representation,Representative_Docs
-1,6888,-1_笑哭r_偷笑r_doge_捂脸r,"['笑哭r', '偷笑r', 'doge', '捂脸r', '哭惹r', '点赞r', '微笑r', '合十r', '大笑r', '失望r']","['好像我在广场追我儿子的感觉。他永远在前面跑我永远在后面追。我永远也追不上，还不能停下跑………[笑哭R][笑哭R]', '它是不是故意秀性能[笑哭R]', '主包你太好玩了[笑哭R]']"
0,4683,0_笑哭r_捂脸r_偷笑r_doge,"['笑哭r', '捂脸r', '偷笑r', 'doge', '点赞r', '大笑r', '失望r', '赞r', '石化r', '暗中观察r']","['这货半夜追我跑是啥感觉[笑哭R]', '问题是花田里那个大爷也是白白挨了它一脚[笑哭R]', '我怎么看到遥控器总觉得有点尴尬了[笑哭R][笑哭R]']"
1,2040,1_捂脸r_笑哭r_doge_偷笑r,"['捂脸r', '笑哭r', 'doge', '偷笑r', '本人将严肃的在此评论', '汗颜r', '机器人', '并在机器人统治地球之后当做投名状', '呃r', '害羞r']","['为什么看机器人跑这么搞笑啊[捂脸R][捂脸R][捂脸R]', '为了测试追捕人类吗[捂脸R]为啥每天让机器人做不服务人类只超越人类的事儿', '[捂脸R]还要派人侍候']"
2,695,2_换电池_降温_换电_润滑,"['换电池', '降温', '换电', '润滑', '冰块降温', '加冰降温', '笑哭r', '冰块', '偷笑r', '电池']","['换电池，加满冰', '换电池 喷液氮降温啊', '换电，润滑，降温']"
3,485,3_好可爱_大笑r_太可爱了_偷笑r,"['好可爱', '大笑r', '太可爱了', '偷笑r', '笑哭r', '飞吻r', '捂脸r', '喝奶茶r', '有点可爱', '萌萌哒r']","['这三个小朋友在干嘛[笑哭R]好可爱', '好可爱，好努力的背影[偷笑R]', '太可爱了[大笑R]它还拿着奶瓶的年纪，很努力了[大笑R][偷笑R][偷笑R][偷笑R]']"
4,175,4_doge_捂嘴笑r_偷笑r_还要喷防晒,"['doge', '捂嘴笑r', '偷笑r', '还要喷防晒', '降温吗', '喷的啥', '晒黑了', '都晒黑了', '云南白药气雾剂', '云南白药喷雾剂']","['这么大太阳，别晒黑了[doge]', '喷的啥？水嘛？降温吗？[笑哭R]', '你这个防晒喷雾效果不行啊，都晒黑了[doge][doge][doge][doge][doge][doge]']"
5,169,5_黑薯问号r_意义在哪里_这有什么意义啊_意义何在,"['黑薯问号r', '意义在哪里', '这有什么意义啊', '意义何在', '浪费钱', '浪费时间', 'doge', '有什么意义', '意义在哪', '派对r']","['意义在哪里？[笑哭R]', '意义在哪里[doge]', '意义在哪？？？？？？？？我请问？？？？？？？？？？？？[黑薯问号R][黑薯问号R][黑薯问号R][黑薯问号R][黑薯问号R][黑薯问号R][黑薯问号R][黑薯问号R][黑薯问号R]']"
6,147,6_大笑r_爆一地装备_赞r_解说,"['大笑r', '爆一地装备', '赞r', '解说', '解说太有趣了', '解说有意思', '解说太逗了', '哈哈哈哈哈哈哈', '捂脸r', '偷笑r']","['你不要解说呀[大笑R][大笑R][大笑R][大笑R]', '您的解说和配乐丰富了整场[大笑R]', '解說員真幽默[大笑R][大笑R][大笑R][大笑R][大笑R][大笑R]']"
7,94,7_加油_对着机器人喊加油_失望r_加电,"['加油', '对着机器人喊加油', '失望r', '加电', '冲着机器人喊加油', '还有人叫加油', '害羞r', '不是', '机器人加油', '最适合参加这个项目']","['加油💪中国制造，作者的解读到位', '加油！加油', '加油 具象化了']"
8,90,8_荣耀_笑哭r_正在用荣耀手机看这个视频_现在做机器人这么牛了吗,"['荣耀', '笑哭r', '正在用荣耀手机看这个视频', '现在做机器人这么牛了吗', '有点自豪', '是那个做手机的荣耀吗', '是因为它的底盘低吗', '是因为它家跑的太快了', '是做手机的那家荣耀公司吗', '无需质疑的职业拳击手获胜']","['[暗中观察R]荣耀，橘色小闪电', '荣耀，冠亚季军啥意思？', '荣耀：我是来参赛的！无情的参赛机器[笑哭R][笑哭R][笑哭R][笑哭R][笑哭R]谁倒地上他都不带看一眼的[笑哭R]']"
9,64,9_扯脸h_亦庄_亦庄真是个神奇的地方_亦庄这个地方还是太复杂了,"['扯脸h', '亦庄', '亦庄真是个神奇的地方', '亦庄这个地方还是太复杂了', '是不是举办地方有点说法', '机器人马拉松的高科技园区了', '申请出战', '用来追逃跑的鸵鸟', '现在机器人', '现在已经是无人驾驶']","['。。。亦庄真是个神奇的地方，啊哈哈哈[笑哭R]', '亦庄这个地方越来越神儿了……  [扯脸H][扯脸H][扯脸H][扯脸H][扯脸H][扯脸H]', '亦庄老有意思了[扯脸H]去一次啥乱七八糟的都有[doge]']"
10,50,10_终结者_这进化速度_超能查派_很快,"['终结者', '这进化速度', '超能查派', '很快', '祈祷不伤害人类第一原则真的生效吧', '这手里端把步枪', '终结者雏形', '施瓦辛格抗击终结者时代即将到来', '最后一个成终结者了', '现在想想那是不是他们广告部拍的大片']","['《终结者》仅是一部美影', '这进化速度，很快《终结者》就会出现', '去年还需要支架 今年就健步如飞，这进化速度，很快《终结者》就会实现。']"
11,46,11_元气仔最像人_特别设立一些单项奖_没有双脚腾空_比如最像人的,"['元气仔最像人', '特别设立一些单项奖', '没有双脚腾空', '比如最像人的', '最像人在跑', '是在跑', '旺柴', '元气仔', '黄金薯r', '捂脸r']","['只有“元气”是在跑，其它的都是竞走，没有双脚腾空', '元气仔最像人[派对R]', '元气仔最像人[笑哭R]应该在竞速之外，特别设立一些单项奖，比如最像人的[笑哭R]']"
12,44,12_wd40_40_男人的香水_喷的wd40,"['wd40', '40', '男人的香水', '喷的wd40', 'wd', '男人的面膜', '每公里2瓶wd', '来点wd40润一润', '机器人的香水wd40', '机器人的杜蕾斯']","['男人的香水，wd40[偷笑R]', 'WD40 你的马拉松补给站', '多囤点 wd40 以后能涨价']"
13,43,13_机器人跑步也要摆臂吗_吧唧r_机器人扭胳膊干嘛_机器人就不用摆臂了吧,"['机器人跑步也要摆臂吗', '吧唧r', '机器人扭胳膊干嘛', '机器人就不用摆臂了吧', '机器人还用摆臂吗', '机器人跑步需要甩臂吗', '机器人跑步真的需要摆臂吗', '机器人跑步有必要摆手吗', '机器人跑步摆手是为了', '机器人跑步也需要摆臂']","['为什么非要摆臂？机器又不需要像人一样胳膊腿协调，撒开腿跑就好了，胳膊不用动呀', '机器人跑步也要摆臂吗？', '机器人跑步也要摆臂吗']"
14,43,14_八步赶蝉_大笑r_机器人会八步赶蝉_这是开了八步赶蝉的功能,"['八步赶蝉', '大笑r', '机器人会八步赶蝉', '这是开了八步赶蝉的功能', '看着跟八步赶蝉似的', '看来是最经济', '看到个八步赶蚕', '用八步赶蝉跑啊', '来个八步赶蝉', '有咩有三步赶蝉还是啥的跑法']","['八步赶蝉？', '八步赶蝉', '八步赶蝉？？？？？？？？']"
15,42,15_鲁班七号_小鲁班_有点像王者的鲁班_是你吗鲁班,"['鲁班七号', '小鲁班', '有点像王者的鲁班', '是你吗鲁班', '有个像小鲁班', '智商250', '王者投一个鲁班七号呗', '机器人版', 'doge', '哇r']","['鲁班七号？', '鲁班七号', '鲁班七号………']"
16,35,16_突然想起来了那个豆脚_看个豆角的集合_笑死人了_okr,"['突然想起来了那个豆脚', '看个豆角的集合', '笑死人了', 'okr', '捂嘴笑r', '嘻嘻r', '不是', 'doge', '哈哈哈', '偷笑r']","['在这个系列中 豆脚才是最权威的[doge][okR]', '突然想起来了那个豆脚', '看个豆角的集合。[doge][doge]']"
17,35,17_机器人马拉松的意义是啥_让机器人跑马拉松的意义是什么_机器人跑马拉松有啥意义_机器人跑马拉松有啥用,"['机器人马拉松的意义是啥', '让机器人跑马拉松的意义是什么', '机器人跑马拉松有啥意义', '机器人跑马拉松有啥用', '机器人跑马拉松的意义在哪里', '机器人跑马拉松的意义是什么', '机器人跑马拉松的意义是', '纯属好奇', '汽车意义是什么', '机器人马拉松有啥意义']","['所以，让机器人跑马拉松的意义是什么？', '让机器人跑马拉松的意义是什么？纯属好奇', '机器人跑马拉松的意义是什么？测试电机强度？测试耐用度？']"
18,33,18_来搞笑的多_看脑袋就是宇树_这是宇树家的吗_有几个宇树,"['来搞笑的多', '看脑袋就是宇树', '这是宇树家的吗', '有几个宇树', '显眼包宇树', '杭州人民来了', '春晚的武bot', '短期内这么多品牌也搓出来了', '破案了', '第二个是宇树吗']","['所以，宇树上市是对的，短期内这么多品牌也搓出来了！', '还。。。。是。。。。来搞笑的多。有几个宇树？', '破案了 这个就是宇树G1[doge]春晚的武BOT[doge]']"
