Topic,Count,Name,Representation,Representative_Docs
-1,6888,-1_哭惹r_doge_偷笑r_合十r,"['哭惹r', 'doge', '偷笑r', '合十r', '捂脸r', '笑哭r', '微笑r', '点赞r', '飞吻r', '害羞r']","['[doge]表忠心是不是早了点', '抱歉占用了社会资源，大家晚上好，实在很无助来到这里求大家！！点开头像看一眼，[合十R][合十R]能拉的话拉一把[哭惹R]娃在lcu.再不缴费就不行了[哭惹R]。实在一点没有了，一个人在楼道口痛哭，命运为何如此不公，。[哭惹R][哭惹R][合十R][哭惹R]。，', '以后天网追杀我们的时候跑不过他们[哭惹R]']"
0,689,0_遥控机器人_遥控玩具_遥控的_遥控,"['遥控机器人', '遥控玩具', '遥控的', '遥控', '自主', '还拿个遥控器', '还要遥控器', '拿个遥控器', '呵呵', '这是遥控的吗']","['遥控机器人[偷笑R]', '遥控机器人[笑哭R][笑哭R][笑哭R]', '以后叫“遥控机器人”，准确一点[笑哭R][笑哭R][笑哭R]']"
1,600,1_坐着跑_你别说_点赞r_笑哭r,"['坐着跑', '你别说', '点赞r', '笑哭r', '闪开', '跑不赢', '最后一个跑姿最好', '最像人', '最后一个姿态最好', '迈着矫健的步伐']","['看这跑姿，应该是内急！闪开……茅厕在哪儿……闪开！', '对“坐着跑”有了形象的感知[doge]', '坐着跑─=≡Σ(((つ•̀ω•́)つ比较省力，快点正常']"
2,348,2_机器人_色色r_吐舌头h_坏笑r,"['机器人', '色色r', '吐舌头h', '坏笑r', '连站都站不稳', '机器人也是', '可怜r', '哭惹r', '点赞r', '人类']","['机器人:俺歇一下子肿么了？', '机器人：我大腿根磨破了[捂脸R]', '机器人：先别忙活了，让我歇歇[doge]']"
3,324,3_粉碎性骨折_粉身碎骨浑不怕_摔得稀碎_假摔,"['粉碎性骨折', '粉身碎骨浑不怕', '摔得稀碎', '假摔', '我一直在等他摔倒', '孩子啊', '捂脸r', '有的还摔残了', '有点像兔子运动完站不稳直接倒下的感觉', '每个我都担心会摔倒']","['粉碎性骨折', '粉碎性骨折[doge][捂脸R]', '粉碎性骨折、挣扎几下就不动了…']"
4,297,4_程序员_好消息_坏消息_能跑马拉松,"['程序员', '好消息', '坏消息', '能跑马拉松', '程序员缺乏运动', '代码能跑了', '雾草', '招程序员', '没想到', '黑薯问号r']","['程序员:我谢谢你', '程序员：到底谁在跑马拉松啊？', '好消息：程序员：我的代码能跑了\n坏消息：程序员：我跑不过我的代码\n网友：没想到有一天码农是个体力活😂']"
5,218,5_赞r_我去_今年就健步如飞了_进步神速啊,"['赞r', '我去', '今年就健步如飞了', '进步神速啊', '点赞r', '太厉害了', '进步太快了', '和去年比', '比去年强多了', '比去年快多了']","['我去，这么快，记得去年好像比赛有的都走不稳老摔倒', '去年可是跑的磕磕绊绊，今年就能这么稳了！[赞R]', '去年他还需要人扶，今年都能跑马拉松了[赞R]']"
6,216,6_机器人跑马拉松_机器人马拉松_有什么意义呢_抠鼻r,"['机器人跑马拉松', '机器人马拉松', '有什么意义呢', '抠鼻r', '马拉松', '呃r', '有啥意义', '然后用摆臂带动身体', '比续航是吧', '狠狠踹']","['[捂脸R]机器人马拉松，我想看机器人跳水[doge]', '机器人跑马拉松[偷笑R]', '机器人跑马拉松，不跑冒烟才怪[偷笑R]']"
7,207,7_小鸟说早早早_太阳当空照_花儿对我笑_逮小偷,"['小鸟说早早早', '太阳当空照', '花儿对我笑', '逮小偷', '你为什么背着炸药包', '我去炸学校', '老师不知道', '得意r', 'in', '爬山又急猛']","['太阳当空照，花儿对我笑，小鸟说早早早，你为什么要去炸学校[笑哭R]', '太阳当空照，花儿对我笑。                                    小鸟说早早早，你为什么背着炸药包。                 我要炸学校，老师不知道。                                     一点火我就跑，老师学校全都不见了。                  [害羞R][害羞R][害羞R]', '太阳当空照，花儿对我笑，小鸟说早早早，你为什么背上炸药包~我去炸学校，老师不知道，砰的一声，学校没有了~[捂脸R][捂脸R][捂脸R]']"
8,205,8_真的很好笑_点赞r_救命_不行了,"['真的很好笑', '点赞r', '救命', '不行了', '真的太好笑了', '虽然', '肚子疼', '哎哟哟', '不知道为啥', '笑哭r']","['真的很好笑[笑哭R]', '真的太好笑了，救命', '喜悦，兴奋，感动，蒸蚌[点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R][点赞R]']"
