Topic,ctfidf_top_terms
-1,"评论,跑步,一样,真的,加油,好像,最后,知道,可爱,膝盖,孩子,人类,一下,这样,以为"
0,"机器人,轮子,人形,人类,机器,人形机器人,马拉松,比赛,汽车,跑步,为什么,需要,设计,发展,赛车"
1,"降温,散热,冰块,干冰,wd40,润滑,云南白药,关节,喷雾,加冰,冷却,电机,过热,润滑剂,裤裆"
2,"遥控,自主,遥控器,玩具,控制,跟着,导航,遥控车,操控,后面,1.2,自动,区别,组和,智能"
3,"摔倒,一地,一块,绊倒,随时,一下,骨折,一秒,粉身碎骨,粉碎性,好怕,稀碎,假摔,碎成,倒地"
4,"战场,打仗,炸药包,炸弹,战争,巷战,玩意,要是,救援,武器,火场,不用,军用,对面,冲锋"
5,"程序员,代码,工程师,程序,跟着,马拉松,运动,解决,bug,运动员,体力,久坐,没想到,二级,问题"
6,"姿势,跑步,起来,最后,样子,两个,最像,一样,几个,这样,奔跑,最好,好像,真的,正常"
7,"搞笑,好笑,真的,好好笑,视频,哈哈笑,哎哟,发财,笑话,救命,各有,我要,眼泪,有意思,招笑"
8,"比赛,参赛,冠军,第一,选手,重要,参加,人家,夺冠,名次,第一名,成绩,完赛,其他,水平"
9,"去年,今年,进步,一年,明年,进化,太快,太多,好多,记得,速度,昨年,健步如飞,真快,比起"
10,"可爱,小孩,小小的,孩子,果然,小朋友,喜欢,东西,好萌,长大,小可爱,宝宝,小玩意,真的,小时候"
11,"电池,没电,续航,换电池,充电,断电,换电,电力,电量,是不是,一直,费电,一会,中途,一块"
12,"科技,技术,发展,进步,科技进步,展示,科研,高科技,研究,研发,越来越,所有,过程,时代,先进"
13,"120,救护车,抢救,心肺,复苏,急救,医生,人工呼吸,救人,机器人,医院,以为,急救车,最后,心梗"
14,"评论,理解,问题,认知,回答,阅读,不了,质疑,思维,看不懂,谢谢,提问,回复,了解,张嘴"
15,"奶瓶,奶嘴,可爱,脖子,喝奶,还拿个,手上,宝宝,安抚,手里,吃奶,甚至,断奶,喝口奶,牛奶"
16,"马拉松,跑步,测试,意义,参加,半马,比赛,真人,只是,目的,人类,全马,有些,旁边,隔壁"
17,"ai,智能,是否,人工智能,害怕,视频,具身智能,替代,冲击,工作,发展,行业,人类,担心,大人"
18,"鞋子,跑鞋,穿鞋,孩子,太大,扁平足,穿着,穿个,双鞋,耐克,运动鞋,一双,小孩,大人,脚底板"
19,"外卖,快递,小哥,失业,超时,满大街,取代,配送,送餐,机器人,这送,饭碗,驿站,用来,是不是"
20,"养老,家务,照顾,老人,伺候,家里,回去,做饭,医院,指望,生活,添乱,倒水,背着,爸妈"
21,"意义,活着,何在,这有,存在,哪里,明白,有意义,评论,到底,人生,没意义,哪儿,毫无意义,东西"
22,"荣耀,华为,手机,撞线,闪电,第一个,宇树,厉害,六名,包揽,冠亚,红色,确实,听说,牌子"
23,"短腿,腿短,倒腾,这小,小腿,太短,挺快,以下,吃亏,重心,脖子,输在,跑得慢,出溜,个子"
24,"跟着,三个,一起,人要,全程,还跟着,后面,个人,几个,一直,还要,背着,一群,是不是,必须"
25,"补贴,股票,投资,骗钱,国家补贴,资本,圈钱,韭菜,到手,广告,股民,补助,上市,公司,股价"
26,"人类,代替,取代,地球,替代,星球,造物主,进化,淘汰,替换,智商,反噬,全人类,玩意,创造"
27,"解说,有趣,幽默,主播,有意思,搞笑,鸟鸟,太逗,拆解,超级,声音,好笑,解体,配乐,精彩"
28,"低血糖,头晕,晕倒,赶紧,两下,缓缓,明显,停下来,066,往后,低电压,站不稳,高个,太像,不足"
29,"春晚,晚上,那些,武术,跳舞,表演,好看,机器人,舞台,明年,那批,上过,这波,编程,去年"
30,"担架,抬担架,抬走,扫把,单架,拿个,扫帚,还用,塑料袋,垃圾桶,多余,收拾,搞笑,簸箕,过来"
31,"小黑,黑色,可爱,黑人,小黑子,吸热,黑黑,不错,努力,喜欢,小子,跑得快,黑皮,娃儿,山东"
32,"亦庄,鸵鸟,义庄,神奇,地方,古代,马路上,几天,无人驾驶,北京,真是,名字,前两天,以前,字庄"
33,"发展,几年,过程,再过,年后,十年,五年,很快,实现,肯定,不了,慢慢来,多久,事物,不出"
34,"宇树,h1,宇树家,g1,参赛,编程,跳舞,显眼,宇树用,说宇树,10m,玉树,动作,档次,费用"
35,"防晒,喷雾,晒黑,防晒霜,孩子,喷点,痱子粉,黢黑,黑成,避雷,喷个,蚊虫,防蚊,防老,止痒"
36,"豆包,豆脚,豆角,看见,豆德,哪里,满分,疑似,只有,名字,喜欢,吓人,诡异,记得,值狂"
