Topic,Count,Name,Representation,Representative_Docs
-1,10058,-1_跑步_马拉松_走路_跟着,"['跑步', '马拉松', '走路', '跟着', '参加', '后面', '一步', '进步', '需要', '好像']","['小孩不也要从走路跑步开始吗[笑哭R]', '跑步的意义是？', '去年真的会，还要两个人跟着跑']"
0,6601,0_机器人_人形机器人_小机器人_机器人马拉松,"['机器人', '人形机器人', '小机器人', '机器人马拉松', '机器狗', '机器', '机械', '人形', '人类', '人型']","['机器人大逃亡', '遛人还是溜机器人？', '机器人，人啊']"
1,1657,1_降温_降降温_加冰_冰块,"['降温', '降降温', '加冰', '冰块', '发热', '冷却', '高温', '温度', '过热', '中暑']","['倒冰块降温吧', '冰块降温吗？[偷笑R]', '降温散热的']"
2,1099,2_遥控_遥控器_遥控车_遙控,"['遥控', '遥控器', '遥控车', '遙控', '监控', '操控', '玩意', '有人', '摇控', '控制']","['还有遥控的，假装能自己动', '所以还是遥控的[捂脸R]还得人陪着跑', '怎么都是遥控的，自主的呢？[抠鼻R]']"
3,536,3_摔倒_跌倒_摔到_摔了一跤,"['摔倒', '跌倒', '摔到', '摔了一跤', '摔得', '摔成', '摔碎', '摔死', '撞到', '站不稳']","['感觉随时想摔倒。', '总感觉下一秒就要摔倒了，一直到最后也没摔倒', '真不是故意摔倒的？']"
4,501,4_战场_打仗_作战_战士,"['战场', '打仗', '作战', '战士', '牺牲', '没用', '战争', '用来', '意义', '要是']","['意义就是以后战场不需要人了[doge]', '对啊，让他跑这么快的意义是？上战场吗', '你觉得上了战场的人还能顾得上笑吗[汗颜R]']"
5,476,5_程序员_跟着_编程_跟不上,"['程序员', '跟着', '编程', '跟不上', '跑不过', '程序', '跑不动', '码农', '代码', 'run']","['程序员也要跟着跑步，可能是救程序员的', '程序员说写的时候没有这个变量', '[捂脸R]那是程序员说给程序员听的吧']"
6,386,6_跑得慢_跑不动_跑动_跑步,"['跑得慢', '跑不动', '跑动', '跑步', '姿势', '跑法', '奔跑', '步伐', '跑道', '动作']","['这个跑步姿势有点丑[石化R][石化R][石化R]', '哈哈哈哈，章跑步就这个姿势', '跑步姿势很贼']"
7,383,7_好笑_搞笑_好好笑_真好玩,"['好笑', '搞笑', '好好笑', '真好玩', '有趣', '好玩', '逗笑', '有意思', '笑点', '太逗']","['真的有点好笑了', '多拍点，真的好搞笑[笑哭R][笑哭R]', '这个真的太搞笑了[笑哭R]']"
8,343,8_比赛_参赛_这比_大赛,"['比赛', '参赛', '这比', '大赛', '观赛', '赛制', '参赛选手', '赛前', '有意思', '有意义']","['比不比赛了还[笑哭R]哈哈哈哈光饭撒了', '这是比谁的尸块多比赛[笑哭R]', '哈哈哈，不专心比赛哦[偷笑R][偷笑R]']"
9,333,9_去年_今年_昨年_前年,"['去年', '今年', '昨年', '前年', '第二年', '一年', '每年', '之前', '跑的快', '明年']","['今年的比去年的快多了。', '比去年可进步多了', '哈哈哈哈哈哈哈去年也是这么说的，去年也很拉胯，一年了没有丝毫进步']"
10,332,10_可爱_小可爱_好萌_太萌,"['可爱', '小可爱', '好萌', '太萌', '喜欢', '小小的', '这小', '蠢萌', '萌萌', '瞧瞧']","['小弟弟可爱吗[doge]', '两小只太可爱了', '好可爱呀呀呀[萌萌哒R]']"
11,298,11_电池_续航_电池容量_换电池,"['电池', '续航', '电池容量', '换电池', '电量', '充电', '费电', '有电', '没电', '断电']","['比的是电池续航吧[捂脸R]', '比电池续航呗[捂脸R]', '比电池续航吗？']"
12,289,12_科技进步_高科技_科技_技术,"['科技进步', '高科技', '科技', '技术', '进步', '科学', '先进', '科研', '越来越', '技术储备']","['科技的进步', '我去，科技发展这么快', '科技科技']"
13,238,13_120_有人_救人_机器人,"['120', '有人', '救人', '机器人', '救护车', '機器', '救護車', '得救', '救护', '救治']","['机器人也要120救啊[笑哭R]', '道理我都懂  但为什么会有120救护车啊？！', '为什么会有120的救护车？哈哈哈哈哈[捂脸R]']"
14,235,14_看不懂_理解_了解_评论,"['看不懂', '理解', '了解', '评论', '不当', '看过', '什么样', '认识', '道理', '说实话']","['评论区串子还是真的。', '理解不了', '评论区怎么这么多慈禧太后[叹气R]']"
15,216,15_奶瓶_有奶_喝奶_喝口奶,"['奶瓶', '有奶', '喝奶', '喝口奶', '吃奶', '我奶', '奶嘴', '揣着', '还拿个', '可爱']","['笑死了小个儿的还拿个奶瓶[笑哭R]', '手拿着奶瓶[偷笑R]', '不是怎么还有拿着奶瓶的小土豆']"
16,204,16_马拉松_跑步_赛跑_锻炼,"['马拉松', '跑步', '赛跑', '锻炼', '这次', '比赛', '运动', '有人', '参加', '中途']","['cxy怎么跑马拉松去了', '马拉松已经走火入魔[笑哭R]', '马拉松自古以来就不是娱乐节目吧']"
17,203,17_ai_人工智能_智能_算法,"['ai', '人工智能', '智能', '算法', '哪个', '具身智能', '生成', '掌握', '留意', '识别']","['转ai（指正）', '以后会不会有ai奥义[doge][doge][自拍R]', '我的ai什么时候涨涨']"
18,191,18_鞋子_穿鞋_运动鞋_太大,"['鞋子', '穿鞋', '运动鞋', '太大', '挺大', '太重', '没穿', '双鞋', '这大', '脚上']","['孩子鞋子太大了[皱眉R]', '谁给孩子穿那么大的鞋子[失望R][失望R]', '給孩子換雙輕便一點的鞋子吧[捂脸R]']"
19,188,19_外卖_送餐_配送_美团,"['外卖', '送餐', '配送', '美团', '机器人', '这送', '快递', '人工', '跑得快', '跑腿']","['哦靠，外卖都用机器人送吗？', '跟跑外卖的抢单', '送外卖快，还带声响的']"
20,182,20_养老_你老_照顾_买个,"['养老', '你老', '照顾', '买个', '离不开', '伺候', '不够', '能干', '怎么办', '指望']","['这样我还怎么养老', '还能给我养老吗？我47了', '我等着它给我养老呢 可别唱衰']"
21,149,21_有何意义_意义_有意义_意思,"['有何意义', '意义', '有意义', '意思', '没意义', '实际意义', '玩意', '毫无意义', '有人', '为什么']","['我觉得以后人的意义是什么[笑哭R]', '意义意义意义，意nm义', '有什麼意义']"
22,148,22_荣耀_华为_牌子_第一名,"['荣耀', '华为', '牌子', '第一名', '第一', '官方', '夺冠', '手机', '擅长', '厉害']","['此荣耀是彼荣耀吗？', '荣耀有点波里波气的', '荣耀是最像人的']"
23,146,23_短腿_腿短_这腿_这小,"['短腿', '腿短', '这腿', '这小', '太短', '小腿', '小脚', '长腿', '短手', '小个子']","['小短腿倒腾的……', '这小短腿，紧着倒腾', '这小短腿其实倒腾挺快的[笑哭R][笑哭R]']"
24,145,24_还跟着_跟着_有人_人要,"['还跟着', '跟着', '有人', '人要', '人多', '跑动', '赶上', '乱跑', '跑跑步', '背着']","['人也要跟着跑吗[笑哭R]', '人还得跟着跑？', '人也跟着跑？']"
25,142,25_补贴_国家补贴_补助_骗补,"['补贴', '国家补贴', '补助', '骗补', '到手', '骗钱', '拉赞助', '拿到', '掏钱', '融资']","['人控制，都是骗补贴的', '马扁补贴', '骗补贴骗投资']"
26,126,26_人类_代替_替代_全人类,"['人类', '代替', '替代', '全人类', '替换', '取代', '造人', '淘汰', '活不了', '灭绝']","['代替人类。以后不需要人类了', '人类观战[偷笑R]', '人类好忙[笑哭R]']"
