帖子id,机器人状态,人的形象,帖子链接,一级评论次数,二级评论次数
69e44278000000001a0217bb,强势,被超越者,https://www.xiaohongshu.com/explore/69e44278000000001a0217bb?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pXVFuXtjrLFhf-ETm99Dw4s=&xsec_source=pc_share,148,161
69e4551e000000001f005895,强势,被超越者,https://www.xiaohongshu.com/explore/69e4551e000000001f005895?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pTKJy_HE5kGjVCcdECQtSM4=&xsec_,87,328
69e4426b000000001d01c7ed,混合,观众,https://www.xiaohongshu.com/explore/69e4426b000000001d01c7ed?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pbUIlFyuaHMlMd6ouyFruIs=&xsec_source=pc_share,767,1528
69e2583b00000000230211ea,失败,服务照护,https://www.xiaohongshu.com/explore/69e2583b00000000230211ea?source=webshare&xhsshare=pc_web&xsec_token=ABEh-jaB3qs_ulEnGc0ym9HQaX5VchRhbYJsK_5JN8jII=&xsec_source=pc_share,1391,416
69db34bb000000001a0348ae,失败,服务照护,https://www.xiaohongshu.com/explore/69db34bb000000001a0348ae?source=webshare&xhsshare=pc_web&xsec_token=ABmGnOO3uUiWICJt2WQTIPmVYSmSx6guxTfsmY6azmrM8=&xsec_source=pc_share,98,316
69e41e24000000001a025f1a,失败,观众,https://www.xiaohongshu.com/explore/69e41e24000000001a025f1a?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pTeKWMG0bczPVWjI-PKiWg4=&xsec_source=pc_share,79,36
69da7e87000000001a03484e,强势,观众,https://www.xiaohongshu.com/explore/69da7e87000000001a03484e?source=webshare&xhsshare=pc_web&xsec_token=ABNBHHNeP1pQepTYoKTNbl6lC82nUfCh7p4tjQ0yh3Yco=&xsec_source=pc_share,3106,2188
69e42cc100000000220001ad,弱势,观众,https://www.xiaohongshu.com/explore/69e42cc100000000220001ad?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pTtWvzTgk7t_UqtKL02iuV8=&xsec_source=pc_share,939,710
69e47f8f000000001f007203,混合,观众,https://www.xiaohongshu.com/explore/69e47f8f000000001f007203?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pa0nehc6OZnM27rlZfWbIec=&xsec_source=pc_share,1556,1484
69e6f2bc0000000023005345,弱势,观众,https://www.xiaohongshu.com/explore/69e6f2bc0000000023005345?source=webshare&xhsshare=pc_web&xsec_token=ABa-SF7HSETP6hVMh5HXuewX25bgOc_J1O8RyXVzwM-gE=&xsec_source=pc_share,193,158
69e48d54000000002102e178,弱势,服务照护,https://www.xiaohongshu.com/explore/69e48d54000000002102e178?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pbE4Gbh9JiGOnx4gle4oDZk=&xsec_source=pc_share,78,401
69e481e8000000002003ad94,强势,服务照护,https://www.xiaohongshu.com/explore/69e481e8000000002003ad94?source=webshare&xhsshare=pc_web&xsec_token=CBIKdUwRBDKLtFUfL9ckADqpDPWAU3O7maZ62l5l6vIYY=&xsec_source=pc_share,5707,4006
69e5a09a000000002103ba03,常态,观众,https://www.xiaohongshu.com/explore/69e5a09a000000002103ba03?source=webshare&xhsshare=pc_web&xsec_token=CBntWBTn_T3IntSn9_pkfTxg2ucmkP_yDlp1qWUAPuaug=&xsec_source=pc_share,48,8
69e43a5a000000001d01dcc7,常态,观众,https://www.xiaohongshu.com/explore/69e43a5a000000001d01dcc7?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pWWcyDJgZkEGIP1wQE4k6N8=&xsec_source=pc_share,50,44
69e44f3a000000002301079c,常态,观众,https://www.xiaohongshu.com/explore/69e44f3a000000002301079c?source=webshare&xhsshare=pc_web&xsec_token=CBIKdUwRBDKLtFUfL9ckADqvu5WnQfrCeMbQRtezhhUWE=&xsec_source=pc_share,6,2
69e44fbf000000001e00cc6a,强势,服务照护,https://www.xiaohongshu.com/explore/69e44fbf000000001e00cc6a?source=webshare&xhsshare=pc_web&xsec_token=CBIKdUwRBDKLtFUfL9ckADqmOPSzSGhKWoIZ1zwdhJjIQ=&xsec_source=pc_share,6,2
69df625d0000000021005c63,失败,观众,https://www.xiaohongshu.com/explore/69df625d0000000021005c63?source=webshare&xhsshare=pc_web&xsec_token=ABmwDHDtxW8ICF6uM0M4EqkNMm0_ID6NkuwJDN5IuQzbo=&xsec_source=pc_share,1313,599
69db25f1000000002102da8a,常态,观众,https://www.xiaohongshu.com/explore/69db25f1000000002102da8a?source=webshare&xhsshare=pc_web&xsec_token=ABsWSBBRnqHCSbtIpTUPZeDru-FNBE32ec4L0mHiLbTao=&xsec_source=pc_share,0,0
69e40352000000002102fc75,常态,服务照护,https://www.xiaohongshu.com/explore/69e40352000000002102fc75?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf3fi8kk0yeJvVycFft-jpKg=&xsec_source=pc_share,595,299
69e429b4000000001b00037a,常态,观众,https://www.xiaohongshu.com/explore/69e429b4000000001b00037a?app_platform=ios&app_version=9.29&share_from_user_hidden=true&xsec_source=app_share&type=video&xsec_token=CBGl5EWuZ01NccooWZo8fji9JyQabNSst4pOdwuW38QdU=&author_share=1&xhsshare=CopyLink&shareRedId=Nzw5NDU-OUo2OkpEQTwzOj46Pk1JSEw-&apptime=1778476600&share_id=612df443888d4c46af42d11bf28564fc,404,314
69e43b14000000001a02e095,弱势,服务照护,https://www.xiaohongshu.com/explore/69e43b14000000001a02e095?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf-MGegTlmG91hDD0ON_I8Io=&xsec_source=pc_share,858,192
69e4412a000000002103883f,强势,观众,https://www.xiaohongshu.com/explore/69e4412a000000002103883f?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf7a1hqWqWX3z2ISnAkjgyRw=&xsec_source=pc_share,232,148
69e44171000000001a026b25,混合,观众,https://www.xiaohongshu.com/explore/69e44171000000001a026b25?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf-Uef1fXjZdX0tz2zYWadIg=&xsec_source=pc_share,338,113
69e447d2000000001d01aa01,强势,服务照护,https://www.xiaohongshu.com/explore/69e447d2000000001d01aa01?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcfwOz4p_ANO3EiAqL0ZaOfK4=&xsec_source=pc_share,538,655
69e45dbe000000001f00434f,强势,观众,https://www.xiaohongshu.com/explore/69e45dbe000000001f00434f?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf1SawCDJsMo9imYKkVZnW5s=&xsec_source=pc_share,239,181
69e46032000000001f002048,常态,服务照护,https://www.xiaohongshu.com/explore/69e46032000000001f002048?app_platform=ios&app_version=9.29&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBGl5EWuZ01NccooWZo8fji9ToO8TGzw2vfxoVG8aiMi8=&author_share=1&xhsshare=CopyLink&shareRedId=Nzw5NDU-OUo2OkpEQTwzOj46Pk1JSEw-&apptime=1778476558&share_id=5ef79586de544f50bc49b22aa568b5e7,989,2920
69e463df000000001b003017,强势,服务照护,https://www.xiaohongshu.com/explore/69e463df000000001b003017?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf9BcGIkQLiNddI_ajXQxwG8=&xsec_source=pc_share,128,52
69e46730000000001d0199c8,强势,观众,https://www.xiaohongshu.com/explore/69e46730000000001d0199c8?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcfzqZMnMiFJ0tRzfs5N3w0uw=&xsec_source=pc_share,343,168
69e48341000000001a02d0c4,强势,观众,https://www.xiaohongshu.com/explore/69e48341000000001a02d0c4?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf_pHFF3E3OSazOgSNfaQmTo=&xsec_source=pc_share,332,492
69e48b0b000000001a02578c,失败,服务照护,https://www.xiaohongshu.com/explore/69e48b0b000000001a02578c?source=webshare&xhsshare=pc_web&xsec_token=ABNo_BFRrK-4aWK8jdQuDcf1DeOvkqWWv4W7Y_5Ep9iZI=&xsec_source=pc_share,135,142
