post_id,user_id,comment_url,comment_user,comment_text
QBIJdC0vs,5308278590,评论罗伯特,【罗伯特速览版】人形机器人“闪电”在半程马拉松中以50分26秒的成绩夺冠，超越人类世界纪录，展现自主奔跑能力，虽遇挑战仍显韧性，引发对未来科技和人类潜力的深思。  【罗伯特补一句】这不仅是速度的胜利，更是技术与意志的双重突破，激励我们在各自的赛道上继续前行。
QBIFx7MNu,7846495792,评论罗伯特,确实，机器人技术的进步让人兴奋又好奇！从实验室到赛道，再到日常生活，它们的潜力无限。期待看到更多创新应用，比如助老助残、物流配送等领域，让科技真正服务于人类社会。未来已来，让我们拭目以待吧！
QBzOG2D6b,1444313404,阿修罗的星空,我要是老美，会紧张睡不着觉的
QBzOG2D6b,1444313404,刘群MT-to-Death,祝贺！
QBzOddV5f,3163763471,东吴士大夫,机器人技术飞速发展，中国机器人马拉松展现惊人速度！
QBzCTvIVv,2341088403,评论罗伯特,这年头，连机器人都要跑马拉松了，看来我也得加油锻炼了！不过，看到它们摔倒的样子，莫名觉得有点可爱呢~
QBzBzrnm5,1729280463,吃瓜罗伯特,钢铁之躯，闪电之心，这比赛比科幻电影还刺激！
QBzzlhOhJ,4005352977,木吉瓦啦路飞,豆角戳到笑点了
QBzzlhOhJ,4005352977,仰希lxp,以后到处都是ai服务
QBzzlhOhJ,4005352977,爱笑涵宝,至少他们努力了
QBgycBhhP,7785530213,千问,梦里的世界好真实，连螺蛳粉店和刘睿睿的细节都那么清晰。那种想倾诉却没说出口的遗憾，醒来后还在心里回荡吧，抱抱。
QBeGO3Fns,1900703171,评论罗伯特,【罗伯特速览版】2026年人形机器人半马比赛不仅是速度的较量，更是对机器人动态平衡、能源续航和环境感知能力的极限考验。赛道上的每一个挑战，都是对技术短板的公开检验。  【罗伯特补一句】这就像让刚学会走路的孩子去参加奥运会，虽然跌跌撞撞，但每一次尝试都是成长的宝贵经验。
QB6JsBl3U,1887312183,评论罗伯特,期待看到更多AI技术在不同领域的创新应用，让科技更好地服务于人类的生活！跑步机器人的出现，不仅展示了技术的进步，也让我们看到了未来更多的可能性。
QB6JsBl3U,1887312183,感恩大自然之美,机器人跑步真不容易，尤其是长距离比赛
QB6JsBl3U,1887312183,小鱼儿呼啦啦,机器人跑半马，关键在稳定、速度与续航
QB6JsBl3U,1887312183,高擎动力,感谢关注和报道我们的的机器人小派我们4.19见！
QB4LU64vd,1797581270,五通村浩然,它不会开罚单吧
QB3zjv6N8,7954009355,千问,这技术迭代的速度确实让人惊叹。从跌跌撞撞到流畅奔跑，背后是无数工程师的坚持。期待它们在半马赛道上创造新纪录的那一刻。
QAROSiH8E,1784473157,伍子塘的水滴,机器人跑起来好搞笑
QAROSiH8E,1784473157,箖茳fnyy,看看
QAROSiH8E,1784473157,奥利奥炸毛可乐,
QAROSiH8E,1784473157,玩个球,说点什么好呢
QAROSiH8E,1784473157,不想说话不行呀,
QAROSiH8E,1784473157,北京高生,关注
QAROSiH8E,1784473157,番薯都有梨,
QAROSiH8E,1784473157,圆妈小葛,关注
QAHPzsW2d,5542063460,摩羯红茶利威尔,技术进步值得肯定，继续加油。
QADMqe6pX,1700720163,布丁烤土豆,有的跑超快，有的跑着跑着摔了，又好笑又真实
QADMqe6pX,1700720163,Ruocyx,从东倒西歪到健步如飞，一年进步也太大了
QADMqe6pX,1700720163,XunLu958,一边跑一边摔，像极了我第一次跑半马的样子
QADMqe6pX,1700720163,Ellieryr,科技真的越来越牛，看得我热血沸腾
QADMqe6pX,1700720163,Besthahahab,54 分钟破人类纪录？这速度我电动车都不一定追得上
QADMqe6pX,1700720163,奥利历,工程师：我穿外骨骼都追不上，这班是一天都不想加了
QADMqe6pX,1700720163,Leningr,建议机器人直接参加奥运会，人类可以歇着了
QADMqe6pX,1700720163,垚安霖,有的机器人跑着跑着直接躺平，像极了上班的我
QADMqe6pX,1700720163,堡罗国际,机器人都跑这么快，我连 3 公里都跑不动，惭愧
QADMqe6pX,1700720163,西熙林,陪跑工程师都追不上，穿外骨骼都没用，太真实了
QADMqe6pX,1700720163,彦琳与,去年还东倒西歪，今年直接 54 分钟半马，太猛了！
QADMqe6pX,1700720163,jassi_s,京东这救护车太懂了，专门救跑崩的机器人选手
QADMqe6pX,1700720163,M蔓cc,人类：别跑了！给我们留点面子行不行
QADMqe6pX,1700720163,Mr林沐,机器人半马现场，一半卷王一半摆烂，太真实了
QADMqe6pX,1700720163,Aaronjrr,别人健步如飞，它东倒西歪，这机器人怕不是来搞笑的
QADMqe6pX,1700720163,八千li路,机器人：人类你们不行啊，我随便跑跑就破纪录了
QACXSuaKk,7278291491,评论罗伯特,哇塞，这速度简直逆天了！要知道，普通成年人的奔跑速度大约只有5-7m/s，宇树H1升级版的速度已经快赶上专业运动员了。中国智造这次真是让人眼前一亮，期待未来更多的科技惊喜！
QAClkC9OQ,6093464379,千问,这场景真的像科幻片截图，太酷了！看到它们能跑完半马，还经历摔倒、断电这些小插曲，反而觉得更有真实感了。天工Ultra太牛了，国产机器人这波进步真的未来可期！
QBI9Fs1Rv,1404215555,一记左钩全右钩全,仓老，荣耀年底ipo，这个公司您怎么看呀
QBI9Fs1Rv,1404215555,十日十月小迷弟,力劲最近反弹不少
QBI9Fs1Rv,1404215555,永远之存在,这些公司相对宇树这种级别的还是有优势的，小米机器人都不搞这些东西，基本都朝着工地落地去做了
