Topic,Count,Name,Representation,Representative_Docs
0,713,0_倒数_第一名_第一_一名,"['倒数', '第一名', '第一', '一名', '人家', '好像', '别人', '记住', '正常', '冠军']","['倒数第一也是第一，也是流量王，谁会记住中间的啊，都会记住第一和倒数第一[笑哭R][笑哭R][笑哭R][笑哭R]该说不说真的好可爱[笑哭R][笑哭R]', '它是倒数第一，它自己知道吗', '倒数第一吗？[捂脸R]']"
1,657,1_机器人_机器人马拉松_人形机器人_小机器人,"['机器人', '机器人马拉松', '人形机器人', '小机器人', '机器', '机器狗', '机械', '人形', '这些', '搞笑']","['你也说了机器人机器的人', '这机器人半马[笑哭R]让机器人跑马拉松的上啥车呀', '有的。\n国外确实有机器人跑步比赛，但形式和国内最近很火的“人形机器人马拉松”不太一样。目前国际上更成熟的机器人赛事，比如在美国举办的RoboGames，已经举办了二十多年，其中就包含机器人竞速项目。不过，这些比赛中的机器人形态多样，不局限于人形。\n【国际上的机器人赛事】\nRoboGames：这是全球历史最悠久、规模最大的机器人综合性赛事之一，自2004年起在美国举办。它就像机器人的“奥运会”，包含格斗、竞速、足球等多种项目，吸引了全球的机器人爱好者和工程师参与。\n人形机器人专项赛：虽然像北京亦庄这样大规模、长距离的“人形机器人马拉松”是首创，但国外也有针对人形机器人的跑步测试和比赛。例如，一些科技公司会组织人形机器人进行短距离冲刺赛，比如与人类短跑名将进行50米赛跑，来展示其速度和动态平衡能力。\n【为什么人形机器人马拉松备受关注？】\n像笔记里看到的北京亦庄机器人马拉松，之所以引发热议，是因为它不仅仅是比赛，更是一次对机器人综合能力的极限测试。\n考验核心能力：马拉松考验的是机器人的 续航能力、系统稳定性以及在复杂路况下的动态平衡和自主决策能力 。这些都是人形机器人未来走进家庭、工厂、救援现场等真实场景的关键。\n全球同台竞技：这项赛事吸引了来自德国、巴西、葡萄牙、法国等国家的队伍参与，是全球人形机器人技术的一次“大阅兵”和公开“摸底考”。\n技术迭代迅速：从早期只能完成简单动作的实验室模型，到如今能跑完半马甚至超越部分人类成绩的机器人，技术进步非常快。比如有信息提到，冠军机器人的半马成绩已经超过了人类的世界纪录。']"
2,363,2_保安_好笑_一脚_误伤,"['保安', '好笑', '一脚', '误伤', '摔倒', '摔个', '安保', '摔烂', '遇到', '大叔']","['保安大哥被踢了一脚[害羞R]', '踹了保安大叔一脚的那个笑喷了🤣', '保安被踢了一脚[笑哭了R]']"
3,336,3_奶瓶_可爱_喝奶_吃奶,"['奶瓶', '可爱', '喝奶', '吃奶', '奶嘴', '还拿个', '参加', '不太', '带娃', '不大']","['真的拿着奶瓶，太可爱啦', '对呀，超可爱哈哈，还拿着奶瓶', '拿着奶瓶有点可爱了']"
4,333,4_降降温_降温_发热_喷雾,"['降降温', '降温', '发热', '喷雾', '过热', '高温', '喷喷', '怕热', '太热', '吸热']","['过热了，降温[笑哭R][笑哭R][笑哭R][笑哭R]', '降温喷雾吧 哈哈哈哈哈哈', '降温喷雾[坏笑R]']"
5,301,5_遥控_遥控器_自主_机器人,"['遥控', '遥控器', '自主', '机器人', '监控', '玩意', '控制', '自动', '摇控', '玩具']","['小朋友是遥控的还是自主的啊', '这是遥控的还是自主的呀', '怎么都是遥控的，自主的呢？[抠鼻R]']"
6,296,6_可爱_好萌_小可爱_好看,"['可爱', '好萌', '小可爱', '好看', '喜欢', '小小的', '小东西', '有个', '玩意', '好像']","['有点可爱 果然什么东西都是小小的可爱', '真的好可爱啊，越看越可爱。[害羞R]', '好可爱好可爱[皱眉R][皱眉R][皱眉R][皱眉R]']"
7,289,7_腿短_太短_短腿_鞋子,"['腿短', '太短', '短腿', '鞋子', '太小', '这小', '挺大', '太大', '太重', '跑得慢']","['孩子是不是鞋子太大了', '谁给孩子穿那么大的鞋子[失望R][失望R]', '孩子鞋子太大了[皱眉R]']"
8,90,8_荣耀_华为_厉害_手机,"['荣耀', '华为', '厉害', '手机', '官方', '不错', '第一个', '两种', '当时', '其他']","['荣耀不是第一个撞线的，第一个撞线的是遥控的，×1.2后就不如荣耀时间短，所以荣耀包揽了前三', '荣耀是华为那个荣耀嘛', '啥？荣耀做机器人了？']"
9,28,9_鲁班_七号_王者_有点像,"['鲁班', '七号', '王者', '有点像', '', '', '', '', '', '']","['鲁班七号………', '鲁班七号啊', '鲁班七号来了']"
