tiktok_id,tiktok_text,tiktok_caption,xhs_id,xhs_text,xhs_caption,score,matched
7630264653783780630, ,机器人在赛道上奔跑 | 人形机器人，红黑配色，1个 | 工作人员，观众 | 赛道，科创五街 | 机器人奔跑,69e46730000000001d0199c8,"

","机器人在赛道上奔跑 | 红色和白色人形机器人各一个 | 工作人员在远处 | 街道, 赛道 | 奔跑",0.90297,True
7627649623280078102, ,"机器人在夜间赛道上行走 | 1个, 蓝白色, 1个 | 工作人员 | 赛道 | 摔倒",69e4b08d000000001d01c1bc,"

",机器人在赛道上行走，工作人员在旁观看 | 两个，一个红黑相间，一个黑白相间 | 工作人员 | 赛道,0.86482084,True
7630254461641936150, ,"机器人在城市街道上行走 | 红色人形机器人, 1个 | 工作人员, 观众 | 科创十二街, 赛道旁",69e46730000000001d0199c8,"

","机器人在赛道上奔跑 | 红色和白色人形机器人各一个 | 工作人员在远处 | 街道, 赛道 | 奔跑",0.85563123,True
7630888372273220884,Various robots at the Beijing  Various robots at the Beijing Robot Marathon#fyp #robot #future #technology ,"机器人在赛道上奔跑 | 红色人形机器人, 白色鹿形机器人, 白色人形机器人 | 观众 | 赛道",69e46730000000001d0199c8,"

","机器人在赛道上奔跑 | 红色和白色人形机器人各一个 | 工作人员在远处 | 街道, 赛道 | 奔跑",0.8240146,True
7540927387400277270,#olimpiadas de #robotshumanoid #olimpiadas de #robotshumanoides #core #neocotilleos #beijing2025 ,人形机器人在跑道上奔跑比赛 | 多个黑白相间人形机器人 | 工作人员和观众 | 室内田径场跑道 | 机器人参赛奔跑,69e46730000000001d0199c8,"

","机器人在赛道上奔跑 | 红色和白色人形机器人各一个 | 工作人员在远处 | 街道, 赛道 | 奔跑",0.81956464,True
7630303156135546126,Last one of the robot’s marath Last one of the robot’s marathon 😂🤖👍🥺#robot #China #technology #marathon #beijing ,"红色机器人在赛道上奔跑 | 红色机器人, 1 | 观众在围栏后观看, 工作人员在远处 | 赛道, 白色护栏 | 机器人奔跑",69e42cc100000000220001ad,"

","红色机器人在赛道上奔跑 | 红色机器人, 1 | 观众在围栏后观看, 工作人员在远处 | 赛道, 围栏, 路边 | 机器人奔跑",0.81143844,True
7630307025888578837,北京机器人马拉松！有拿着奶瓶的，有梳着脏辫的………😆😆😆😆😆 北京机器人马拉松！有拿着奶瓶的，有梳着脏辫的………😆😆😆😆😆 #China #chinatechnology #robot ,机器人在半程马拉松赛道上奔跑 | 多个机器人，包括黑色、白色、黑色带草帽的机器人 | 观众在赛道旁观看 | 北京亦庄半程机器人马拉松赛场 | 机器人参赛,69df625d0000000021005c63,"北京亦庄机器人马拉松名场面，希望能给你带来快

","机器人在夜间赛道上奔跑 | 白色人形机器人, 数量:1 | 工作人员和观众在赛道旁观看 | 北京亦庄半程机器人马拉松赛道 | 机器人摔倒后起身继续奔跑",0.7944969,True
7630681972972539167,#Beijing Yizhuang Robot Half M #Beijing Yizhuang Robot Half Marathon,"机器人在赛道上奔跑 | 红色和黑色的机器人, 2个 | 观众在拍摄 | 街道赛道 | 奔跑",69e46730000000001d0199c8,"

","机器人在赛道上奔跑 | 红色和白色人形机器人各一个 | 工作人员在远处 | 街道, 赛道 | 奔跑",0.79337674,True
7494851506349280543,"🤖 Robots Hit the Beijing Marat 🤖 Robots Hit the Beijing Marathon!
 #Robots #Marathon #Beijing #Tech #Race ",机器人与选手在赛道上奔跑 | 黑色人形机器人，2个 | 参赛选手、工作人员 | 赛道 | 奔跑,69e46730000000001d0199c8,"

","机器人在赛道上奔跑 | 红色和白色人形机器人各一个 | 工作人员在远处 | 街道, 赛道 | 奔跑",0.7802658,True
7634734261110689025,Humanoid Marathon Progression Humanoid Marathon Progression,机器人在工作人员陪同下参加半程马拉松比赛 | 多台，颜色多样 | 工作人员陪同机器人参赛，观众在旁观看 | 起跑线 | 机器人参赛,69e634590000000022003bb5,"这是我的。

",机器人在赛道上行走，工作人员在旁协助 | 人形机器人，白色和绿色 | 工作人员和观众 | 调试准备区 | 机器人行走,0.7742772,False
7619233789734030605,"Humanoid robots are getting re Humanoid robots are getting ready for an exciting challenge on April 19 in Beijing, China. This challenge isn't in the lab — it's a half-marathon on the track. The complex route is sure to test the robots' stability, decision-making and endurance. Which robot do you think will win the race?",机器人在夜间街道上奔跑 | 多个机器人，有白色、黑色、蓝色等 | 路人站在路边观看 | 夜间街道，有斑马线和交通锥 | 机器人奔跑,69e46730000000001d0199c8,"

","机器人在赛道上奔跑 | 红色和白色人形机器人各一个 | 工作人员在远处 | 街道, 赛道 | 奔跑",0.7653666,False
7631148156712979732,Robot cute nhất giải chạy Mara Robot cute nhất giải chạy Marathon Robot Trung Quốc #beatvn #beatnetwork #robot #china #marathon #hoangacid,小型机器人在赛道上奔跑，观众在围栏后观看 | 小型人形机器人，红黑配色，数量1 | 观众、工作人员，正在观看和拍摄 | 赛道，起跑线附近 | 机器人奔跑,69e42cc100000000220001ad,"

","红色机器人在赛道上奔跑 | 红色机器人, 1 | 观众在围栏后观看, 工作人员在远处 | 赛道, 围栏, 路边 | 机器人奔跑",0.76477426,False
7494884857303076126,Which one do you think is the  Which one do you think is the winner? #wow #robot #robots #beijing #technology #marathon #China #chinatravel,人形机器人参加半程马拉松比赛 | 多个，包括白色和黑色人形机器人 | 工作人员和观众 | 起跑线,69e447d2000000001d01aa01,"你刷到这个画面了吗？这是北京人形机器人半程马拉松的赛道上的场景，程序员抱着笔记本电脑，气喘吁吁地跟在机器人身后一路狂奔。网友调侃：“机器人拿了第一，电脑拿了第二，程序员拿了第三。”

","人形机器人参加马拉松比赛 | 人形机器人, 白色, 1 | 程序员手持笔记本电脑追逐机器人 | 马拉松赛道 | 追逐",0.7610782,False
7633150863229406471,#fyp #robot #trending #program #fyp #robot #trending #programer #tech ,程序员手持笔记本电脑参加机器人马拉松 | 程序员手持笔记本电脑奔跑 | 赛道 | 奔跑,69e44fbf000000001e00cc6a,"近日，在2026北京亦庄人形机器人半程马拉松赛前的备战过程中，有机器人一路向前飞奔，几名工程师扛着电脑在后面拼命追，这爆笑一幕引发网友热议：“也没说搞科研还需要体力啊”[笑哭R][笑哭R]

",机器人在赛道上奔跑，程序员抱着电脑追赶 | 人形机器人 | 程序员抱着电脑奔跑 | 赛道 | 追赶,0.76059854,False
7630536429109660950,Робот Впервые Победил Человека Робот Впервые Победил Человека в Марафоне,"机器人在赛道上奔跑 | 人形机器人, 数量:1 | 工作人员在旁跟随 | 赛道, 终点门 | 机器人冲线",69e46730000000001d0199c8,"

","机器人在赛道上奔跑 | 红色和白色人形机器人各一个 | 工作人员在远处 | 街道, 赛道 | 奔跑",0.75953424,False
7629601490528767253,🤖: pang gang lo #mothershipabr 🤖: pang gang lo #mothershipabroad #china #robot #fyp #marathon,"人形机器人在马拉松比赛中摔倒 | 人形机器人, 白色, 1 | 工作人员, 观众 | 起跑线 | 摔倒",69e41e24000000001a025f1a,"

",机器人在马拉松比赛中摔倒 | 1 | 工作人员和观众在旁观看 | 马拉松赛道 | 机器人摔倒,0.7562579,False
7630160431482506510,A robot trips and faceplants d A robot trips and faceplants during a training session for Beijing's second humanoid half marathon.,"机器人在起跑线附近摔倒 | 白色人形机器人, 1个 | 工作人员正在将机器人抬上担架 | 起跑线 | 机器人摔倒",69e48b0b000000001a02578c,"一个自动机器人配两个助理🥵

",机器人在赛道上行走时摔倒，工作人员上前查看 | 1个黑色双足机器人 | 多名身穿蓝色马甲的工作人员 | 半程马拉松赛道 | 机器人摔倒，工作人员上前查看,0.74976194,False
7628048891967065358,Over 100 teams are set to comp Over 100 teams are set to compete in the second humanoid robot half-marathon in Beijing. The robots completed a full-scale test ahead of the race on April 19.,"人形机器人参加半程马拉松比赛 | 人形机器人, 白色带红色火焰图案, 黑色, 多个 | 工作人员, 观众, 记者, 选手 | 马拉松赛道, 夜间, 起跑线附近 | 机器人准备参赛, 选手奔跑, 被采访",69e5a09a000000002103ba03,"在2026年4月20日举行的某场半程马拉松赛事中，一台参赛的人形机器人出现了引人注目的行为。它在奔跑途中突然停下，转而开始表演舞蹈动作。周围观众发出的“哇！再来一个！”等热烈称赞，似乎影响了机器人的后续行为，使其一度偏离了比赛的主要任务。

",机器人在半程马拉松途中突然停下表演 | 1个，白色上衣蓝色裤子 | 工作人员 | 马拉松赛道 | 突然停下表演,0.7491707,False
7630685060500409630,A humanoid robot runs half-mar A humanoid robot runs half-marathon faster than the human world record #lightning #humanoid #robot #bejing #halfmarathon ,红色双足机器人参加半程马拉松比赛 | 红色双足机器人1个 | 选手 | 赛道 | 参赛,69e44278000000001a0217bb,"今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

",一名选手在赛道上跑步 | 选手 | 赛道,0.7489778,False
7630414717604957448,"En la maratón de robot de Beij En la maratón de robot de Beijing 2026 🇨🇳 el ganador era indiscutible! Son los rojos de la primera parte del video, la verdad 10/10  #beijing #robotmarathon #robot #china ",机器人在赛道上奔跑，观众在旁观看 | 红色和白色的人形机器人 | 观众在路边观看并拍照 | 城市道路赛道 | 机器人奔跑,69e4551e000000001f005895,"恭喜荣耀包揽金银铜所有奖项！中国力量[赞R]

","红色机器人在赛道上奔跑 | 红色机器人, 1 | 工作人员, 观众, 选手 | 赛道, 起跑线 | 奔跑",0.7471033,False
