帖子id,机器人状态,人的形象,帖子链接,一级评论次数,二级评论次数,matched_xhs_id,帖子标题,帖子正文
7630659600005582101,,,https://www.tiktok.com/@channelnewsasia/video/7630659600005582101,369,415,,🤖🏃 Robots in China outran thei,"🤖🏃 Robots in China outran their human counterparts in a half-marathon in Beijing on Sunday (Apr 19). The winning “Lightning” bot, developed by Honor, completed the race in 50 minutes 26 seconds — beating the world record set by Ugandan athlete Jacob Kiplimo by seven minutes. #chinanews #china #robot"
7628693302266580246,,,https://www.tiktok.com/@chinaminutes/video/7628693302266580246,2890,1126,,🇨🇳 Beijing is set to host a hu,"🇨🇳 Beijing is set to host a human vs. robot half-marathon, as new test runs show just how quickly humanoid robots are improving. 📍 On April 19 at 7:30am, more than 300 humanoid robots from 26 companies will run the 21.1km course alongside around 12,000 human participants in Beijing’s E-Town.  The route spans city roads, racetrack sections and park terrain, designed to test performance in real conditions. ⚡ The progress over one year is quite impressive: In April 2025, a leading humanoid robot completed a half-marathon in 2 hours 40 minutes. By April 2026, a robot called “Lightning” finished the same distance in under 54 minutes, reflecting major gains in speed, stability and navigation. 🧠 Beyond the race, the event serves as a benchmark for real-world capability. Long-distance running pushes limits in balance, energy management and environmental awareness, all key areas for applications like disaster response, industrial inspection and logistics. • • • #marathon #robot #humanoid #humansvsrobots #robotsrunning "
7630464467419041037,,,https://www.tiktok.com/@nbcnews/video/7630464467419041037,1430,556,,It was not even close as a bri,"It was not even close as a bright-red Chinese humanoid named “Lightning” lived up to its name in a half-marathon pitting humans against robots, smoking its competition on Sunday."
7630790137298898190,,,https://www.tiktok.com/@nbcnews/video/7630790137298898190,358,211,,It was not even close as a bri,"It was not even close as a bright-red Chinese humanoid named “Lightning” lived up to its name in a half-marathon in Beijing, pitting humans against robots, smoking its competition."
7630864176667200801,,,https://www.tiktok.com/@cgtneurope/video/7630864176667200801,1309,392,,At the 2026 Beijing E Town hal,"At the 2026 Beijing E Town half marathon, robots were serviced at aid stations along the course. The key tasks were rapid battery swaps and cooling to keep them running smoothly. Watch how a robot is refueled in just 40 seconds! #Robotics #Beijing #HumanoidRobots #RobotMarathon"
7630476548952460567,,,https://www.tiktok.com/@chinascope/video/7630476548952460567,477,346,,In Beijing’s 2026 humanoid rob,"In Beijing’s 2026 humanoid robot half marathon, a robot named “Lightning” delivered a breakthrough performance, completing the 21-kilometer race in just 50 minutes and 26 seconds. The result was faster than the current human half marathon world record, marking a major milestone in robotics and embodied AI development. What makes it more striking is that “Lightning” ran fully autonomously, relying on onboard systems for navigation, balance control, and pacing throughout the race. Compared to last year’s winning time of over two hours, the improvement highlights how rapidly humanoid robot technology is evolving from experimental systems into real-world capability. This event is not just about speed — it reflects a broader shift where humanoid robots are moving closer to practical applications in logistics, industry, and public environments. #RobotMarathon #HumanoidRobot #ArtificialIntelligence #RobotVsHuman"
7634734261110689025,,,https://www.tiktok.com/@taitlawton/video/7634734261110689025,791,713,,Humanoid Marathon Progression,Humanoid Marathon Progression
7630395684377677057,,,https://www.tiktok.com/@tbsnewsdig/video/7630395684377677057,1915,891,,人間の世界記録を7分近く更新！中国･北京で人型ロボットのハー,人間の世界記録を7分近く更新！中国･北京で人型ロボットのハーフマラソン大会　転倒などハプニングも　中国産ロボットを世界にアピール #tbs #tiktokでニュース
7629601490528767253,,,https://www.tiktok.com/@mothershipsg/video/7629601490528767253,1513,651,,🤖: pang gang lo #mothershipabr,🤖: pang gang lo #mothershipabroad #china #robot #fyp #marathon
7619233789734030605,,,https://www.tiktok.com/@luciastudio_bj/video/7619233789734030605,38,1,,Humanoid robots are getting re,"Humanoid robots are getting ready for an exciting challenge on April 19 in Beijing, China. This challenge isn't in the lab — it's a half-marathon on the track. The complex route is sure to test the robots' stability, decision-making and endurance. Which robot do you think will win the race?"
7630910748834745631,,,https://www.tiktok.com/@cheddar/video/7630910748834745631,261,103,,Not the WD-40 break for those ,"Not the WD-40 break for those knees🦿😭 Another major event showcasing China’s rapid advances in robotics technology happened this weekend. This year’s Beijing E-Town Humanoid Robot Half-Marathon put on a spectacle. Nonetheless, the competition was not without its hiccups. Some robots fell just feet from the starting line, others crashed into barriers, and teams battled issues with overheating motors and battery limits throughout the race. #humanoid #ai #robots #china"
7630303156135546126,,,https://www.tiktok.com/@zhe.robots/video/7630303156135546126,2129,252,69e42cc100000000220001ad,Last one of the robot’s marath,Last one of the robot’s marathon 😂🤖👍🥺#robot #China #technology #marathon #beijing 
7629004110443891990,,,https://www.tiktok.com/@chinaminutes/video/7629004110443891990,274,69,,"🤖 Ahead of the April 19 race, ","🤖 Ahead of the April 19 race, a full-scale test run was carried out overnight in Beijing for the upcoming humanoid robot half-marathon. 📍 Held from April 11–12 in Beijing’s E-Town, the rehearsal simulated the full 21.1km race under official conditions, from track navigation and timing to equipment coordination and emergency response.  🏃 More than 70 teams, including international participants, took part, with both autonomous and remote-controlled robots running the course. 🏭 The official race is expected to feature over 100 teams, nearly five times more than last year, with companies such as Unitree Robotics and UBTECH Robotics among the key players preparing for the event. ⚡ A major focus this year is autonomous navigation. Robots must handle complex, changing environments in real time, while managing battery life over long distances and maintaining balance through precise, millisecond-level adjustments. 🧠 As the world’s first humanoid robot marathon, the event has also introduced stricter rules on human intervention, clearer scoring systems and upgraded safety protocols. ——— #marathon #robots #humanoids #chinatechnology #robotmarathon "
7630888372273220884,,,https://www.tiktok.com/@technology.lab1/video/7630888372273220884,161,31,,Various robots at the Beijing ,Various robots at the Beijing Robot Marathon#fyp #robot #future #technology 
7630414717604957448,,,https://www.tiktok.com/@felixcondech/video/7630414717604957448,190,72,,En la maratón de robot de Beij,"En la maratón de robot de Beijing 2026 🇨🇳 el ganador era indiscutible! Son los rojos de la primera parte del video, la verdad 10/10  #beijing #robotmarathon #robot #china "
7628110375514377479,,,https://www.tiktok.com/@kompastekno/video/7628110375514377479,444,284,,Beijing kembali menjadi sorota,"Beijing kembali menjadi sorotan dunia teknologi dengan menggelar ajang maraton robot humanoid.   Ajang resmi digelar 19 April, didahului uji coba penuh (full-scale test) pada 11–12 April 2026 di kawasan Beijing Economic-Technological Development Area (E-Town). #Beijing #robot #humanoid "
7630767290061016337,,,https://www.tiktok.com/@kinglinzhuhui/video/7630767290061016337,37,4,,China🇨🇳 2026 Beijing  Cutest &,China🇨🇳 2026 Beijing  Cutest & Most Popular Winner: Xiao Pai #china #beijing #humaniidrobot #robot #marathon
7630052715334405398,,,https://www.tiktok.com/@chinaminutes/video/7630052715334405398,455,212,,🇨🇳 Beijing is set to host a hu,"🇨🇳 Beijing is set to host a humanoid robot half-marathon—but early test runs show it’s not all smooth running, and not every robot is built for speed. 📍 On April 19 at 7:30am, more than 300 humanoid robots from 26 companies will run the 21.1km course alongside around 12,000 human participants in Beijing’s E-Town. The route spans city roads, racetrack sections and park terrain, designed to test performance in real conditions. —— #failvideo #robotfail #robots #humanoid #failcompilation "
7630418824717683998,,,https://www.tiktok.com/@michaelzhang408/video/7630418824717683998,60,31,,2026 Beijing Robot Competition,"2026 Beijing Robot Competition & Half Marathon, featuring a collection of over 80 robots. Champion: HONOR, with a time of 50:26, surpassing and breaking the human world record.#china #robot #Marathon #HumanoidRobotMarathon "
7630160431482506510,,,https://www.tiktok.com/@nbcnews/video/7630160431482506510,747,645,,A robot trips and faceplants d,A robot trips and faceplants during a training session for Beijing's second humanoid half marathon.
7630264653783780630,,,https://www.tiktok.com/@chinaliuyusen/video/7630264653783780630,977,174,,,
7495064100825845035,,,https://www.tiktok.com/@cnn/video/7495064100825845035,122,42,,More than 20 robots raced agai,More than 20 robots raced against thousands of human runners in a half-marathon in Beijing organized to showcase China’s advances in humanoid technology. Find out who won. #robots #humans #humanoid #marathon #beijing #china #cnn #news
7630681972972539167,,,https://www.tiktok.com/@juan791986/video/7630681972972539167,49,7,,#Beijing Yizhuang Robot Half M,#Beijing Yizhuang Robot Half Marathon
7630254461641936150,,,https://www.tiktok.com/@chinaliuyusen/video/7630254461641936150,386,151,,,
7630685060500409630,,,https://www.tiktok.com/@bimbiggy/video/7630685060500409630,40,17,,A humanoid robot runs half-mar,A humanoid robot runs half-marathon faster than the human world record #lightning #humanoid #robot #bejing #halfmarathon 
