帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,topic,topic_prob
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc89b6000000000202b60b,,5cbfada9000000001603a627,机器人有医保吗,2026.04.13,浙江,15.0,3.0,7,失败|抢救者,失败,抢救者,2,0,0.22356469331151815
69e43a5a000000001d01dcc7,"机器人嘲讽同伴

",1966.0,167.0,2,69e462ad0000000014013804,69e450da000000001401d82d,5aa763154eacab62a3dd8751,回旋镖连机器人也不能幸免[笑哭R],2026.04.19,北京,14.0,,17,中性|评价者,中性,评价者,3,0,0.22356469331151815
69e2583b00000000230211ea,"

",,2406.0,1,69e45606000000001401bc04,,5bfb941625225900018d37d6,平账机器人？,2026.04.19,江苏,10.0,1.0,6,失败|抢救者,失败,抢救者,2,0,0.22356469331151815
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dae3b2000000000d03f7d4,,677a316b00000000180175ee,话说，以后中国足球队能派机器人去踢吗[偷笑R][偷笑R][偷笑R][偷笑R],2026.04.12,北京,9.0,2.0,38,成功|观众,成功,观众,3,0,0.22356469331151815
69e2583b00000000230211ea,"

",,2406.0,2,69e2f812000000001401d81d,69e2f781000000001401880a,635c1478000000001802aabb,机器人别串,2026.04.18,云南,6.0,,5,失败|抢救者,失败,抢救者,2,0,0.22356469331151815
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e4611d000000001401dc24,,616f6ba7000000000201a2e3,这年头 人当机器人用 机器人当人用……,2026.04.19,广东,5.0,0.0,19,中性|观众,中性,观众,5,0,0.22356469331151815
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc9a60000000003501d64c,,670cdc18000000001e00ee6c,机器人�别闹了行不,2026.04.13,北京,5.0,0.0,9,失败|抢救者,失败,抢救者,2,0,0.22356469331151815
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,1,69e4a340000000001401e405,,57e5c1836a6a69473eb75402,这是华北电力大学的机器人耶,2026.04.19,北京,4.0,0.0,13,弱势|同伴,弱势,同伴,2,0,0.22356469331151815
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db04690000000016014218,69db02c8000000003501de1d,5ea3b5590000000001004228,你猜机器人为啥叫机器人,2026.04.12,浙江,4.0,,11,成功|观众,成功,观众,2,0,0.22356469331151815
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69dbbeac000000001500ba51,,613892e50000000002026074,陆军各集团军合成旅空降兵军合成旅海军陆战队合成旅都可以编成一个机器人营！,2026.04.12,浙江,2.0,0.0,36,成功|观众,成功,观众,10,0,0.22356469331151815
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,2,69def67400000000350130bb,69dcbf41000000000203506c,5b825f93f25aeb000105b155,机器人老了怎门办！,2026.04.15,北京,2.0,,9,失败|抢救者,失败,抢救者,2,0,0.22356469331151815
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69daf3a7000000003500ccff,69daf2f8000000000d03494e,5c138faf49cf5900014b6908,机器人：力大砖飞[坏笑R],2026.04.12,陕西,2.0,,13,成功|观众,成功,观众,2,0,0.22356469331151815
69e47f8f000000001f007203,"2026年机器人马拉松状态，五年后再看�

",,5834.0,2,69e59c5e000000001401cc3b,69e51ef20000000014019c03,58fdad036a6a694fd80644f3,饭撒，机器人里的爱豆,2026.04.20,天津,2.0,,10,,,,2,0,0.22356469331151815
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e58b130000000014018008,,5c8761120000000011007157,这个银色的机器人太赞了[赞R],2026.04.20,山东,1.0,0.0,15,成功|被超越者,成功,被超越者,3,0,0.22356469331151815
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e47cae000000001401b00a,,6119eeb4000000000101fbb9,@Rhino模型 卡哇伊机器人,2026.04.19,湖北,1.0,0.0,15,中性|观众,中性,观众,2,0,0.22356469331151815
69e2583b00000000230211ea,"

",,2406.0,1,69e2ea05000000001401c421,,601e0da500000000010089d4,这就是满网吹爆的机器人吗,2026.04.18,黑龙江,1.0,0.0,12,失败|抢救者,失败,抢救者,2,0,0.22356469331151815
69e47f8f000000001f007203,"2026年机器人马拉松状态，五年后再看�

",,5834.0,1,69e73a0f000000001401d42c,,60ee58fa0000000001017393,怎么还有机器人会饭撒的[笑哭R],2026.04.21,四川,1.0,0.0,16,,,,2,0,0.22356469331151815
69e481e8000000002003ad94,"

",,,1,69e4a181000000001401bc1b,,6007d4dc0000000001008ea8,这个机器人又高又乖，太帅了[点赞R],2026.04.19,广东,1.0,0.0,18,强势|服务者,强势,服务者,2,0,0.22356469331151815
69e481e8000000002003ad94,"

",,,1,69e56d64000000001401c405,,641a67e00000000012013cbe,感觉机器人好笨,2026.04.20,韩国,1.0,0.0,7,强势|服务者,强势,服务者,2,0,0.22356469331151815
69e43a5a000000001d01dcc7,"机器人嘲讽同伴

",1966.0,167.0,1,69e462f30000000014018c1b,,65223db40000000024017c43,机器人加啥油[失望R],2026.04.19,浙江,1.0,0.0,11,中性|评价者,中性,评价者,2,0,0.22356469331151815
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db1ec0000000000d03c1a8,69db07d900000000020368d2,60f1747800000000010051bf,机器人：我也是太难了,2026.04.12,浙江,1.0,,10,成功|观众,成功,观众,2,0,0.22356469331151815
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69db0a6b0000000035027afc,69db09ea0000000035017942,60db32f60000000001001954,有四足机器人啊,2026.04.12,宁夏,1.0,,7,成功|观众,成功,观众,2,0,0.22356469331151815
69e47f8f000000001f007203,"2026年机器人马拉松状态，五年后再看�

",,5834.0,2,69ed98c4000000002a02c9e9,69e55d77000000001401bc0e,5ff1333f00000000010028cb,鹅鹅鹅，死机器人当活机器人医[笑哭R][笑哭R],2026.04.26,福建,1.0,,24,,,,4,0,0.22356469331151815
69e481e8000000002003ad94,"

",,,2,69e774e30000000014018824,69e653eb0000000014018807,5db7af5f00000000010077bb,啊？机器人也要养生吗？会有湿气吗？[害羞R],2026.04.21,河北,1.0,,22,强势|服务者,强势,服务者,3,0,0.22356469331151815
69e44278000000001a0217bb,"机器人超过我的瞬间

",6019.0,372.0,1,69e4847f000000001401e836,,61ac46f00000000010006ac1,@少林寺实习美术生 这机器人不要命了,2026.04.19,湖北,0.0,0.0,18,成功|被超越者,成功,被超越者,2,0,0.22356469331151815
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e4650b000000001401b017,,6260cf0e000000001000eec2,这机器人咋打这么多肌贴啊[doge],2026.04.19,上海,0.0,0.0,18,中性|观众,中性,观众,2,0,0.22356469331151815
69e2583b00000000230211ea,"

",,2406.0,1,69e962f0000000001401980d,,5fd9b98e000000000100a52d,机器人儿�也调皮捣蛋摊牌了！我不干了！�����,2026.04.23,内蒙古,0.0,0.0,24,失败|抢救者,失败,抢救者,3,0,0.22356469331151815
69e2583b00000000230211ea,"

",,2406.0,1,69e79b4b0000000014019409,,56529f4c03eb844eeed05830,魔法原子机器人,2026.04.21,江苏,0.0,0.0,7,失败|抢救者,失败,抢救者,3,0,0.22356469331151815
69e2583b00000000230211ea,"

",,2406.0,1,69e47fb4000000001401d823,,6354c2f80000000018028966,机器人是有多厌世，轻轻一摔支离破碎,2026.04.19,福建,0.0,0.0,17,失败|抢救者,失败,抢救者,4,0,0.22356469331151815
69e2583b00000000230211ea,"

",,2406.0,1,69e453d7000000001401c426,,60057e430000000001008edf,机器人不精摔，一摔就死[大笑R],2026.04.19,江西,0.0,0.0,16,失败|抢救者,失败,抢救者,2,0,0.22356469331151815
69e48d54000000002102e178,"�亦庄机器人半马最感人一幕

",,1589.0,2,69e4acd2000000001401c81c,69e49ee3000000001401c41e,5b0e6aabe8ac2b674a5e8fd3,@红腚吗喽 好感人啊哈哈哈哈哈哈,2026.04.19,广东,16.0,,16,弱势|同伴,弱势,同伴,2,1,0.2590486092990293
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69daf90f0000000002029489,69daf44c0000000002034816,66ee4847000000001d020ed1,敌视你的人，你做什么他都会挑毛病,2026.04.12,广东,2.0,,16,成功|观众,成功,观众,3,1,0.2590486092990293
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,2,69ddbc0a000000003502d307,69dcbdf40000000035014e3a,63c370200000000026010229,给我这个电子信息类的人看笑了[笑哭R],2026.04.14,浙江,1.0,,19,失败|抢救者,失败,抢救者,2,1,0.2590486092990293
69e4551e000000001f005895,"荣耀机器人赢麻了�我觉得它表情在嘲讽我

",,816.0,1,69e496a00000000014019000,,5f2bd0de0000000001001bdf,这不像人啊,2026.04.19,福建,0.0,0.0,5,成功|被超越者,成功,被超越者,2,1,0.2590486092990293
