帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,topic,topic_prob
69e481e8000000002003ad94,"

",,,2,69e6bcfd000000001401dc00,69e67f9f000000001401b807,60858058000000000101fa55,这只是实验展示，真正用的不一定是人形，人形其实是机器人设计里最难的。所以可以以此看出实力,2026.04.21,江苏,0.0,,44,强势|服务者,强势,服务者,14,0,0.9357021653468436
69e481e8000000002003ad94,"

",,,1,69e5a950000000001401a421,,655afa1000000000020346b7,如果把双足支点换成小轮子，在平地用轮子滑行，在复杂地形把轮子锁死用双足行走，效率不是更高吗,2026.04.20,湖南,0.0,0.0,45,强势|服务者,强势,服务者,14,0,0.9249995396197036
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,1,69daf4a5000000000d03f642,,5f50be85000000000100ba69,做成人形是因为方便大量采集训练数据，其他形态的训练太难了,2026.04.12,上海,0.0,0.0,28,成功|观众,成功,观众,12,0,0.9249886307134976
69e481e8000000002003ad94,"

",,,2,69e49c0e0000000014018814,69e490ae000000001401d42a,5b75ad432ea30000016bc28d,因为目前世界上所有的工具都是以人型为使用者设计的，所以机器人想尽快能应用起来必须是认型,2026.04.19,北京,0.0,,43,强势|服务者,强势,服务者,13,0,0.90999178713961
69e481e8000000002003ad94,"

",,,2,69e8fdad000000001401d400,69e490ae000000001401d42a,5a31dfe34eacab24707679f4,因为这个社会现有的大部分设备，道路，器械，都是默认给人用的，所以人型机器人适配很高,2026.04.23,中国香港,0.0,,41,强势|服务者,强势,服务者,11,0,0.9099888526345339
69e481e8000000002003ad94,"

",,,2,69e85d80000000001401a00a,69e490ae000000001401d42a,64b08060000000001001c177,在没有道路的情况下，人行反而更有优势，轮子的快速取决于道路的通畅。,2026.04.22,江苏,0.0,,33,强势|服务者,强势,服务者,10,0,0.9099883496135432
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,2,69e4c6020000000014018c23,69e45f74000000001401bc0a,54bb4acfe779892bd09f1fbc,机器车和机器人还是不一样的，你要这么说还有机器狗机器蜘蛛等等。这个是机器人比赛[doge],2026.04.19,江苏,0.0,,45,中性|观众,中性,观众,9,0,0.9099836409534187
69da7e87000000001a03484e,"今晚的亦庄机器人马拉松测试

",,8169.0,2,69dadf23000000003500b4be,69dadbd3000000000103dd83,59283b9350c4b4155ca1b691,总有无人机到不了的地方。而且�进攻，降维打击，相当于当初步兵见坦克一样。,2026.04.12,浙江,1.0,,36,成功|观众,成功,观众,12,0,0.9099835718890567
69e481e8000000002003ad94,"

",,,2,69e5f4bc000000001401982b,69e490ae000000001401d42a,606886fd0000000001007137,但是全地形作战中人形机器是最简单适配现有武器的,2026.04.20,江西,0.0,,23,强势|服务者,强势,服务者,8,0,0.8999982642478923
69e481e8000000002003ad94,"

",,,2,69e577590000000014019403,69e490ae000000001401d42a,61f7ad000000000010007c7e,有轮子的太简单了，没有技术含量，只能在平地跑，不能适应复杂路况,2026.04.20,安徽,0.0,,31,强势|服务者,强势,服务者,8,0,0.8874967630446083
69e42cc100000000220001ad,"机器人马拉松倒数第一名，萌翻了���

",,8501.0,2,69e8307e000000001401e81e,69e6e3f8000000001401900e,5f803d25000000000101f3dd,做成人形的叫机器人，做成其他形状的叫机器！,2026.04.22,贵州,1.0,,21,弱势|观众,弱势,观众,7,0,0.8874905941035026
69e481e8000000002003ad94,"

",,,2,69e4a7d1000000001401e401,69e490ae000000001401d42a,54e6803ba46e96065c2a1a5f,其实机器狗比人型机器人更适配各种地形,2026.04.19,北京,0.0,,18,强势|服务者,强势,服务者,7,0,0.8874849568732456
69e481e8000000002003ad94,"

",,,2,69e795c60000000014019804,69e49a5c000000001401ac0a,5b4b6dc0e8ac2b35e466351b,飞机比赛，赛车比赛都有了，弄个人形机器人不过分吧[偷笑R],2026.04.21,甘肃,0.0,,29,强势|服务者,强势,服务者,7,0,0.8874847021231657
