topic,top_terms,size
0,"视频, 一地, 装备, 零件, ai, 解体, 塑料, 碎成, 参加, 不够, 回收, 电机, 一堆, 倒地, 晚上",449
1,"ai, 摔倒, 真的, 东西, 人形机器人, 为了, 地上, 科技, 自毁, 模式, 看着, 还用, 补贴, 摔成, 做文章",99
2,"机器, 好像, 发展, 之前, 失败, 正常, 进步, 确实, 起步, 诡异, 怎么办, 障碍, 工作人员, 是不是, 过程",78
3,"这样, 不行, 质量, 稀碎, 还要, 为什么, 跑步, 一样, ai, 结实, 太差, 摔得, 现场, 碎成, 做成",119
4,"玩意, 搞笑, 起来, 减速带, 设计, 这些, 程序员, 心疼, 抬担架, 人, 不用, 心碎, 过去, 研究, 几下",108
5,"机器人, 以为, 救护车, 抢救, 救人, 人, 人家, 春晚, 起来, 多少, 掏钱, 看看, 研发, 轮子, 愿意",225
6,"担架, 机器人, 人类, 马拉松, 未来, 服务, 好笑, 汽车, 只有, 成熟, 过来, 拿个, 工程师, 结果, 为什么",148
7,"人, 一下, 需要, 中国, 骨折, 粉碎性, 碰瓷, 意义, 世界, 脾气, 事情, 不好, 散架, 学生, 意思",119
8,"公司, 知道, 起跑线, 玩具, 程序, 粉身碎骨, 挣扎, 产品, 技术, 输在, 就业, 方向, 扫把, 宇树, 大家",122
9,"开始, 测试, 比赛, 结束, 材料, 医生, 自爆, 嘲笑, 不要, 原地, 单架, 速度, 第一个, 哪个, 参赛",101
