Topic,Count,Name,Representation,Representative_Docs
-1,8946,-1_机器人_人形机器人_机器_有人,"['机器人', '人形机器人', '机器', '有人', '无人机', '赛跑', '机械', '轮子', '玩意', '跑步']","['机器人跑步三个陪跑一个跟拍，何意义@兔仔汁', '@叮铃叮铃叮铃_ 机器人跑步都要晕', '母校的机器人']"
0,751,0_遥控器_遥控_遥控车_遙控,"['遥控器', '遥控', '遥控车', '遙控', '机器人', '失控', '有人', '监控', '操控', '控制']","['遥控人[笑哭R][笑哭R]', '有狗会说是遥控的吧？', '遥控机器人？遥控器']"
1,447,1_好笑_笑哈哈_搞笑_哈哈笑,"['好笑', '笑哈哈', '搞笑', '哈哈笑', '好好笑', '逗笑', '真好玩', '笑料', '笑点', '有意思']","['哈哈哈哈哈哈哈哈哈哈哈哈哈哈这个视频很好笑这个评论也很好笑', '怎么这么好笑哈哈哈哈哈哈哈哈哈哈哈哈哈视频也好好笑', '真的有点好笑了']"
2,412,2_机器人马拉松_机器人_马拉松_人形机器人,"['机器人马拉松', '机器人', '马拉松', '人形机器人', '机器', '跑步', '跑得快', '赛事', '赛道', '比赛']","['？机器人跑鸡猫马拉松啊', '机器人说这马拉松那么长 谁爱跑谁跑', '？这是人想出来的？机器人跑马拉松']"
3,399,3_人形机器人_人形_机器人_人型,"['人形机器人', '人形', '机器人', '人型', '机器', '人体', '外形', '人类', '形状', '形态']","['不是人形  还叫机器人吗', '你是人形的呀，这个社会就是按人形设计的。[暗中观察R]', '人形设计出来是为了代替人类的，整个世界的各种工具都是人类可以用的，设计成人形是为了造通用型机器人，因为人能很好的让这个世界运转，人形一样能，可以不用改造环境和工具，就可以适配所有人类适应的环境。人形不是为了满足特定场景而设计出来的机器人，而是这个世界的所有场景的通用机器人。特殊场景的机器人，人形也能去控制它，人形机器人算是高纬度的机器人了']"
4,397,4_跑得慢_跑步_姿势_跑不动,"['跑得慢', '跑步', '姿势', '跑不动', '跑法', '奔跑', '短跑', '步态', '步伐', '步子']","['和田曦薇的跑步姿势很像', '跑步姿势很贼', '哈哈哈哈，章跑步就这个姿势']"
5,362,5_机器人_小机器人_机器人界_機器,"['机器人', '小机器人', '机器人界', '機器', '机器', '好笑', '有个', '机械', '好像', '辛苦']","['机器人得像人呀', '机器人也有人权[嘻嘻R]', '机器人里也有嘉豪']"
6,345,6_轮子_輪子_更快_更稳,"['轮子', '輪子', '更快', '更稳', '轮胎', '坐轮椅', '速度', '上不去', '装个', '不比']","['轮子不是更快吗？为啥要手，脚的', '俺俩轮子跑的更快[微笑R]', '那4个轮子不是更快[doge]']"
7,333,7_科技进步_科技含量_高科技_科技,"['科技进步', '科技含量', '高科技', '科技', '技术', '越来越', '太快', '进步', '技术储备', '以前']","['科技在进步，晚点它就会干很多事了', '科技发展进步你这种人是不理解的', '科技的进步']"
8,324,8_冰块_用冰_冰塊_降温,"['冰块', '用冰', '冰塊', '降温', '加冰', '放冰', '降溫', '补冰', '点冰', '冰冷']","['加冰块降温', '加冰块降温[偷笑R]', '不是冰块，是干冰[doge]']"
9,296,9_摔倒_跌倒_摔了一跤_摔到,"['摔倒', '跌倒', '摔了一跤', '摔到', '摔下去', '摔得', '摔碎', '倒地', '摔成', '摔死']","['摔倒了还撒泼', '总感觉下一秒就要摔倒了，一直到最后也没摔倒', '感觉随时想摔倒。']"
10,294,10_去年_今年_上年_昨年,"['去年', '今年', '上年', '昨年', '前年', '第二年', '跑的快', '这次', '之前', '好快']","['今年的比去年的快多了。', '去年嫌它慢，今年它们嫌我慢。', '今年的都比去年的进步了很多很多了']"
11,288,11_战场_打仗_干仗_战士,"['战场', '打仗', '干仗', '战士', '上阵', '战争', '拿枪', '没用', '战时', '意义']","['放战场上你就知道了[笑哭R]', '对啊，让他跑这么快的意义是？上战场吗', '你觉得上了战场的人还能顾得上笑吗[汗颜R]']"
12,252,12_120_救人_有人_机器人,"['120', '救人', '有人', '机器人', '救治', '急救', '救护车', '救护', '機器', '救援']","['120多了一个机器人部[捂脸R]', '机器人也要120救啊[笑哭R]', '为什么会有120的救护车？哈哈哈哈哈[捂脸R]']"
13,216,13_机器人_机器_人工_人类,"['机器人', '机器', '人工', '人类', '服务', '人来', '机械', '伺候', '要用', '有个']","['不是 机器人不是服务人类吗 怎么人在服务机器人了[汗颜R]', '所以是机器人服务人类还是人类服务机器人[微笑R]', '以后人类要服务机器人了！']"
14,215,14_奶瓶_瓶奶_喝奶_可爱,"['奶瓶', '瓶奶', '喝奶', '可爱', '喝口奶', '吃奶', '可爱多', '奶嘴', '我奶', '还拿个']","['小的还拿了一个奶瓶，哈哈哈哈哈哈哈，好可爱', '笑死了小个儿的还拿个奶瓶[笑哭R]', '手拿着奶瓶[偷笑R]']"
15,210,15_电池_电池容量_换电池_电量,"['电池', '电池容量', '换电池', '电量', '耗电', '费电', '充电', '续航', '有电', '电压']","['电池这么抗揍么？', '这么嚣张？扣它电池[doge]', '比谁电池更耐耗吗']"
16,206,16_程序员_跑啦_跑下来_跟着,"['程序员', '跑啦', '跑下来', '跟着', '跑不动', 'run', '编程', '跟不上', '码农', '马拉松']","['马拉松程序员也得跟着跑[笑哭R]', '程序员也要跟着跑步，可能是救程序员的', '程序员咋不跟着跑']"
17,181,17_机器人_外卖_送餐_配送,"['机器人', '外卖', '送餐', '配送', '人工', '这送', '快递', '以後會', '驿站', '餐品']","['以后可以机器人送外卖了', '哦靠，外卖都用机器人送吗？', '以后送外卖就机器人跑着来']"
18,167,18_三人_用三人来_机器人_三个,"['三人', '用三人来', '机器人', '三个', '三個', '機器', '三四个', '机器', '多人', '几个']","['一个机器人三个人伺候[doge]', '一个机器人，配三个伺候的', '一个机器人三个人伺候']"
19,167,19_汽車_汽车_无人驾驶_电动汽车,"['汽車', '汽车', '无人驾驶', '电动汽车', '驾驶', '猜车', '开车', '车上', '机动车', '智驾']","['你说的是不是自动驾驶汽车', '你说的是自动驾驶汽车吗', '那是自动驾驶汽车吧[捂脸R]']"
20,164,20_还跟着_跟着_跟随_有人,"['还跟着', '跟着', '跟随', '有人', '人要', '跑动', '跑跑步', '背着', '还要', '前边']","['人也要跟着跑吗[笑哭R]', '人也要跟着跑吗[doge]', '人也要跟着跑啊[笑哭R]']"
21,152,21_可爱_小可爱_可爱多_好萌,"['可爱', '小可爱', '可爱多', '好萌', '太萌', '小小的', '好看', '这小', '喜欢', '小玩意']","['好可爱好可爱[皱眉R][皱眉R][皱眉R][皱眉R]', '@江寒雁渡 哈哈哈哈哈哈  最小的好可爱', '@年糕和汤圆 可爱可爱']"
22,150,22_大鞋_太大_鞋子_太重,"['大鞋', '太大', '鞋子', '太重', '脚太', '挺大', '穿鞋', '这鞋', '大大的', '买大']","['谁给孩子穿那么大的鞋子[失望R][失望R]', '孩子是不是鞋子太大了', '孩子鞋子太大了[皱眉R]']"
23,143,23_马拉松_跑步_比赛_参加,"['马拉松', '跑步', '比赛', '参加', '人有', '几十公里', '中途', '有些', '参与', '不早']","['这是马拉松吗 这不一百米吗？', 'cxy怎么跑马拉松去了', '马拉松都有这个，记时用的']"
24,140,24_短腿_腿短_这腿_小腿,"['短腿', '腿短', '这腿', '小腿', '太短', '这小', '小脚', '蹬腿', '短手', '很小']","['小短腿倒腾的……', '这小短腿其实倒腾挺快的[笑哭R][笑哭R]', '这小短腿，紧着倒腾']"
25,134,25_三人_这三人_伺候_三个,"['三人', '这三人', '伺候', '三个', '三個', '照顾', '侍候', '多人', '三年', '一個']","['得三个人伺候？', '三个人伺候[笑哭R][笑哭R][笑哭R]', '三个人伺候一个人']"
26,129,26_意义_有意义_意思_没意义,"['意义', '有意义', '意思', '没意义', '实际意义', '玩意', '毫无意义', '有人', '为什么', '解释']","['不是外国货，这么做意义是什么？[doge]', '我觉得以后人的意义是什么[笑哭R]', '有什麼意义']"
27,123,27_f1_赛车_赛事_方程式赛车,"['f1', '赛车', '赛事', '方程式赛车', '比赛', '赛场', '机器人界', '大奖赛', '一辆车', '轮子']","['机器人F1[笑哭R]', 'F1 赛机手[汗颜R][汗颜R]', '哈比为啥要有F1？']"
28,121,28_wd40_w40_wd_40,"['wd40', 'w40', 'wd', '40', '润滑', '润滑油', '润滑剂', '润滑液', '机油', '润润']","['WD40，润滑用的', '关节润滑 wd40', '是 wd40 润滑关节用的']"
29,119,29_看不懂_理解_了解_不当,"['看不懂', '理解', '了解', '不当', '道理', '看不上', '讲道理', '扯淡', '明白', '认知']","['你的认知局限了[笑哭R]', '可能不需要你理解[笑哭R]', '哎呦plq说不理解的你就不理解着吧也别理解了理解不了的，你老了我卖你保健品一卖一个准']"
30,115,30_比赛_参赛_大赛_这比,"['比赛', '参赛', '大赛', '这比', '比赛规则', '观赛', '参赛选手', '比一比', '有意义', '主办方']","['这比赛的意义是什么[笑哭R]', '比赛宠粉两不误[笑哭R]', '这是比谁的尸块多比赛[笑哭R]']"
