topic,top_terms,size
0,"机器人, 服务, 人类, 为什么, 伺候, 外卖, 加油, 三个, 个人, 需要, 云南白药, 补给, 人形, 发展, 站不稳",2584
1,"人, 三个, 伺候, 机器, 需要, 服务, 一样, 最后, 很多, 機器, 元气, 为了, 一群, 真的, 补给",1303
2,"遥控, 自主, 玩具, 还要, 导航, 今年, 区别, 需要, 1.2, 智能, 组和, 赛车, 两个, 成绩, 时间",686
3,"降温, 润滑, 干冰, 关节, 换电池, 喷雾, 冰块, 还要, 电机, 物理, 需要, 加冰, 换电, 电池, wd40",883
4,"跑步, 姿势, 为了, 人类, 一样, 摆臂, 元气, 站不稳, 测试, 只是, 跳舞, 知道, 最后, 走路, 需要",891
5,"马拉松, 去年, 人类, 参加, 今年, 测试, 速度, 为了, 人形机器人, 进步, 电池, 续航, 真的, 工作人员, 到底",780
6,"跟着, 遥控器, 后面, 一起, 工作人员, 一直, 全程, 工程师, 还要, 人要, 是不是, 控制, 几个, 有人, 个人",693
7,"轮子, 为什么, 汽车, 更快, 赛车, 人形, 地形, 机器, 四个, 换成, 不行, 复杂, 不用, 做成, 是不是",2006
8,"意义, 何在, 哪里, 东西, 知道, 评论, 这有, 人类, 活着, 这样, 需要, 明白, 机器人马拉松, 战场, 玩意",1300
9,"冰块, 散热, 后面, 问题, 电池, 背后, 干冰, 背包, 不行, 润滑剂, 后背, 人类, 背着, 为了, 换电",919
10,"比赛, 赛车, f1, 一样, 人形机器人, 去年, 进步, 今年, 速度, 好像, 机器人马拉松, 技术, 摩托车, 轮胎, 参加",1663
11,"程序员, 程序, 最后, 体力, 运动, 要求, 解决, 问题, 起来, 公里, 身体, 速度, 配个, 半马, 不好",1124
