topic,top_terms,size
0,"机器人, 这些, 马拉松, 鼓掌, 春晚, 未成年, 未来, 宇树, 视频, 嘲笑, 打人, 开始, 跑步, 这样, 越来越",647
1,"可爱, 小小的, 宝宝, 东西, 小朋友, 帽子, 小鼻嘎, 果然, 小时候, 小派, 苍蝇, 小孩, 蚊子, 长得, 小玩意儿",251
2,"孩子, 太大, 鞋子, 是不是, 喷点, 心血, 参加, 心疼, 宝宝, 视频, 自家, 黢黑, 不错, 长大, 工程师",208
3,"真的, 这样, 红领巾, 厉害, 解说, 感动, 过去, 突然, 不行, 你家, 好笑, 很棒, 小腿, 算了, 音乐",157
4,"人类, 跑步, 马拉松, 一样, 未来, 比赛, 代替, 成绩, 淘汰, 服务, 肯定, 意义, 这小, 历史, 行为",271
5,"荣耀, 遥控, 自主, 厉害, 第一个, 以为, 撞线, 宇树, 玩具, 好像, 闪电, 参赛, 六名, 手机, 冠亚",391
6,"人, 机器, 一样, 为什么, 东西, 控制, 机械, 马拉松, 跑步, 云南白药, 小小的, 人形, 研究, 一下, 很多",530
7,"奶瓶, 喜欢, 还拿个, 宝宝, 最后, 奶嘴, 手里, 小派, 小机器人, 手上, 第一, 两个, 人家, 第一个, 倒数",283
8,"搞笑, 这些, 解说, 保安, 为什么, 一脚, 马拉松, 第一, 看热闹, 大爷, 视频, 参加, 比赛, 那些, 大赛",307
9,"降温, 喷雾, 屁股, 防晒, 还要, 电机, 过热, 一下, 需要, 以为, 喷点, 估计, 关节, 马拉松, 是不是",361
