Topic,Count,Name,Representation,Representative_Docs
-1,11909,-1_doge_哭惹r_笑哭r_偷笑r,"['doge', '哭惹r', '笑哭r', '偷笑r', '捂脸r', '失望r', '派对r', '合十r', '石化r', '汗颜r']","['像极了扫兴的家长[doge]', '你讲解真可爱[doge]', '可真聪明，你也知道是比跑步[doge]']"
0,2533,0_机器人_机器人跑马拉松_机器_机器人也是人,"['机器人', '机器人跑马拉松', '机器', '机器人也是人', '捂脸r', '抠鼻r', '人形机器人', '笑哭r', '呃r', 'doge']","['机器人：我也要喝水 吃电，关节炎喷雾', '机器人：再让我走来走去我就嘎嘣一下死这[doge]', '机器人：先别忙活了，让我歇歇[doge]']"
1,1129,1_遥控玩具_遥控机器人_遥控_遥控的,"['遥控玩具', '遥控机器人', '遥控', '遥控的', '自主', '自主的', '都是遥控的', '胳膊怎么甩', '不是遥控', '没意思']","['遥控机器人[偷笑R]', '遥控机器人[笑哭R][笑哭R][笑哭R]', '号码布上写了“自主”“遥控”，估计是有不同的参赛组别']"
2,612,2_小鸟说早早早_花儿对我笑_太阳当空照_你想想,"['小鸟说早早早', '花儿对我笑', '太阳当空照', '你想想', '得意r', '斜眼r', 'doge', '微笑r', '什么时候铁甲钢拳', '逮小偷']","['太阳当空照，花儿对我笑，小鸟说早早早，你为什么要去炸学校[笑哭R]', '太阳当空照，花儿对我笑。                                    小鸟说早早早，你为什么背着炸药包。                 我要炸学校，老师不知道。                                     一点火我就跑，老师学校全都不见了。                  [害羞R][害羞R][害羞R]', '太阳当空照，花儿对我笑，小鸟说早早早，你为什么背上炸药包~我去炸学校，老师不知道，砰的一声，学校没有了~[捂脸R][捂脸R][捂脸R]']"
3,583,3_这小短腿_腿太短了_坐着跑_这小短腿儿,"['这小短腿', '腿太短了', '坐着跑', '这小短腿儿', '大笑r', '哈哈哈哈哈', '嘻嘻r', '赞r', '梨形身材', '身体前倾']","['这小短腿', '这小短腿[偷笑R]', '这小短腿，他就不是来得奖的，是来卖萌的[大笑R]']"
4,499,4_程序员_好消息_坏消息_这下好了,"['程序员', '好消息', '坏消息', '这下好了', '笑哭r', '黑薯问号r', '代码能跑了', '程序员缺乏运动', '程序员跟不上', '我谢谢你']","['程序员[doge]举着电脑在后面跑', '好消息：程序员：我的代码能跑了\n坏消息：程序员：我跑不过我的代码\n网友：没想到有一天码农是个体力活😂', '程序员：不敢熬夜了，还要跑步[捂脸R][捂脸R][捂脸R]']"
5,496,5_进步太快了_赞r_点赞r_进步神速啊,"['进步太快了', '赞r', '点赞r', '进步神速啊', '我去', '今年就健步如飞了', '比去年进步很多', '慢慢来', '进步真快', '太厉害了']","['进步太快了。', '进步太快了 去年还得跟着三个人呢[笑哭R]', '进步太快了[派对R]']"
6,435,6_粉碎性骨折_粉身碎骨浑不怕_摔得稀碎_东一块,"['粉碎性骨折', '粉身碎骨浑不怕', '摔得稀碎', '东一块', '假摔', '看到这个', '我一直在等他摔倒', '孩子啊', '捂脸r', '还好']","['粉碎性骨折[doge]', '让他撞了，我是不是得“粉碎性骨折”[石化R]', '粉碎性骨折[doge][捂脸R]']"
7,432,7_换电池_换电_润滑_降温,"['换电池', '换电', '润滑', '降温', '加冰', '喷润滑剂', '电机过热', '冷却', '加冰降温', '没电了']","['一个干冰降温，一个关节润滑，换电池', '换电池 喷液氮降温啊', '加冰润滑，换电池[笑哭R]']"
8,424,8_玫瑰r_真的很好笑_点赞r_哈哈哈,"['玫瑰r', '真的很好笑', '点赞r', '哈哈哈', '救命', '哈哈', '哈哈哈哈', 'ha', '真的太好笑了', '笑哭了r']","['真的太好笑了，救命', '哈哈哈哈哈哈哈哈 救命 我要笑死了，博主解说太有才了[偷笑R][偷笑R][偷笑R]', '哈哈哈[玫瑰R][玫瑰R][玫瑰R]笑死我了[玫瑰R][玫瑰R][玫瑰R][玫瑰R]继续努力吧[玫瑰R][玫瑰R][玫瑰R]']"
