Topic,Count,Name,Representation,Representative_Docs
-1,11909,-1_doge_笑哭r_偷笑r_捂脸r,"['doge', '笑哭r', '偷笑r', '捂脸r', '哭惹r', '失望r', '大笑r', '微笑r', '汗颜r', '派对r']","['我累了，这疯狂世界[doge]', '你确定你跑得过这玩意[doge]', '那种应用最好的应该是轮足的机器狗，人形其实只是炫技用的[doge]']"
0,6132,0_笑哭r_捂脸r_doge_偷笑r,"['笑哭r', '捂脸r', 'doge', '偷笑r', '机器人', '微笑r', '失望r', '暗中观察r', '大笑r', '呃r']","['有机器人的地方就有好多乐子[笑哭R]', '所以人也是要跟着遥控他的[笑哭R]', '和我小时候的遥控玩具差不多[笑哭R]']"
1,4033,1_笑哭r_点赞r_捂脸r_大笑r,"['笑哭r', '点赞r', '捂脸r', '大笑r', '偷笑r', '赞r', '哈哈哈', 'doge', '失望r', '哈哈']","['不是说不让外国人参赛吗，这个非洲选手是哪来的[笑哭R]', '你的解说是有点东西的[笑哭R]', '不是跑的慢，是故意慢下来整活儿吧[笑哭R]']"
2,1058,2_换电池_降温_换电_冰块,"['换电池', '降温', '换电', '冰块', '润滑', '冰块降温', '加冰降温', '笑哭r', '散热', '干冰']","['换电，降温', '换电，润滑，降温', '换电，降温，润滑']"
3,914,3_doge_微笑r_偷笑r_笑哭r,"['doge', '微笑r', '偷笑r', '笑哭r', '汗颜r', 'f1', '汽车', '不行吗', '捂脸r', '我有个想法']","['那不就是汽车无人驾驶吗[doge]', '人类生活环境有不少阶梯和上下坡，四轮的可走不了这些路[doge]', '[捂脸R]一说认知就头疼，常动件需要稳定可靠运行，换成三角履带轮不香吗？ [偷笑R]您的认知就时小视频吗哈哈']"
4,694,4_好可爱_大笑r_太可爱了_偷笑r,"['好可爱', '大笑r', '太可爱了', '偷笑r', '皱眉r', '笑哭r', '捂脸r', '好可爱啊', '还拿个奶瓶', '哇r']","['好可爱，还戴着小草帽[哇R]', '好可爱，好努力的背影[偷笑R]', '这小黑娃谁研究的呢 好可爱[皱眉R]']"
5,238,5_荣耀_荣耀的_暗中观察r_闪电,"['荣耀', '荣耀的', '暗中观察r', '闪电', '黑宇树', '荣耀厉害啊', '白天工', '红荣耀', '笑哭r', '第一个冲线的是它']","['荣耀，冠亚季军啥意思？', '荣耀？是那个做手机的荣耀吗？', '[暗中观察R]荣耀，橘色小闪电']"
6,190,6_防晒喷雾_防晒_裆部散热_都晒黑了,"['防晒喷雾', '防晒', '裆部散热', '都晒黑了', '防蚊喷雾', '还要喷防晒', '晒黑了', 'doge', '捂嘴笑r', '偷笑r']","['防晒喷雾，隔绝紫外线[doge]', '防晒喷雾[doge]', '防晒喷雾[偷笑R][偷笑R]']"
7,190,7_wd40_40_润滑关节的_我以为是润滑油,"['wd40', '40', '润滑关节的', '我以为是润滑油', '男人的香水', 'wd', '印度神油', '是不是润滑油', '润滑剂吧', '只能通过反复喷涂wd40防止干燥']","['WD40 你的马拉松补给站', 'wd40，给缝隙处除锈除污的[笑哭R]', 'wd40，机器人的杜蕾斯[doge]']"
8,185,8_低血糖_假酒喝多了_有点低血糖_都低血糖了,"['低血糖', '假酒喝多了', '有点低血糖', '都低血糖了', '低电压', '低血糖了', '大笑r', '笑哭r', '捂脸r', '偷笑r']","['有点低血糖，站不太稳', '低血糖（低电压）了', '低血糖，不！低电压[偷笑R]']"
