Topic,ctfidf_top_terms
-1,"机器人,人类,轮子,跑步,为什么,汽车,比赛,机器,需要,速度,一样,地形,为了,知道,真的"
0,"降温,冰块,散热,干冰,电池,润滑,wd40,云南白药,换电池,喷雾,关节,加冰,冷却,润滑剂,电机"
1,"意义,搞笑,好笑,评论,镜头,真的,视频,地上,好好笑,一转,不行,活着,理解,有意思,哪里"
2,"机器人,服务,三个,伺候,人类,机器,个人,就业,工作,小机器人,需要,家务,养老,照顾,维护"
3,"遥控,遥控器,自主,玩具,跟着,控制,荣耀,遥控车,导航,操控,后面,区别,自动,机器人,1.2"
4,"马拉松,机器人,机器人马拉松,跑步,比赛,测试,意义,人类,技术,为了,续航,参加,机器,需要,运动"
5,"人形,人形机器人,人类,设计,工具,做成,机器人,社会,机器,适配,机器狗,人型,很多,为什么,形态"
6,"战场,打仗,战争,炸药包,玩意,炸弹,敌人,巷战,要是,救援,不用,未来,冲锋,武器,想想"
7,"跑步,姿势,最后,起来,两个,样子,一样,这样,好看,最好,最像,第四个,跑不动,标准,重心"
8,"摔倒,绊倒,随时,骨折,一块,一秒,粉碎性,稀碎,一地,碎成,粉身碎骨,跪下,好怕,一步,一下"
9,"科技,发展,技术,进步,科技进步,时代,过程,越来越,先进,中国,科研,落后,国家,美国,研发"
10,"可爱,小孩,小小的,孩子,果然,喜欢,东西,小朋友,长大,真的,小孩儿,精力旺盛,宝宝,妈妈,小可爱"
11,"去年,进步,今年,一年,明年,健步如飞,记得,好多,进化,昨年,太多,真快,很大,太快,速度"
12,"轮子,更快,四个,换成,轮椅,轱辘,地形,两条腿,螺旋桨,路面,楼梯,方便,装个,适应,发动机"
13,"120,救护车,抢救,医生,机器人,救人,心肺,复苏,人工呼吸,急救,医院,以为,最后,急救车,旁边"
14,"f1,赛车,进站,比赛,换胎,轮子,轮胎,法拉利,一样,赛道,有种,那不就,方程式,既视感,那样"
15,"程序员,工程师,跟着,代码,操作员,累死,终于,程序,全程,马拉松,后面,技术员,一起,心疼,技术人员"
16,"外卖,快递,小哥,失业,满大街,超时,取代,机器人,送餐,这送,驿站,用来,配送,不用,迟早"
17,"跟着,一起,人要,三个,后面,几个,全程,个人,一直,还跟着,旁边,有人,辛苦,厉害,是不是"
18,"奶瓶,奶嘴,可爱,脖子,断奶,还拿个,吃奶,安抚,手里,手上,喝奶,宝宝,小孩,牛奶,喝口奶"
19,"马拉松,测试,跑步,意义,参加,人类,目的,只是,为了,情况,有些,比赛,活动,半马,干嘛"
20,"鞋子,跑鞋,孩子,穿鞋,太大,耐克,穿着,一双,双鞋,穿个,大人,小孩,脚底板,脚上,运动鞋"
21,"比赛,选手,参赛,参加,这位,以赛,成绩,而已,意义,多练,象棋,其他,运动员,中场,争取"
22,"汽车,新能源,电动车,没见,那不就,轮子,电瓶车,有轮,电动汽车,电车,那特,智驾,驾驶,名字,自动"
23,"短腿,腿短,倒腾,这小,小腿,太短,挺快,重心,跑得慢,以下,大长,事实证明,输在,人家,跑得快"
24,"低血糖,头晕,缺氧,晕倒,赶紧,停下来,明显,两下,站不稳,缓缓,往后,高个,太像,一模一样,地上"
25,"担架,抬担架,抬走,扫把,拿个,单架,扫帚,塑料袋,垃圾桶,多余,搞笑,过来,还用,簸箕,确实"
26,"投资,股票,公司,补贴,圈钱,产品,掏钱,骗钱,知道,资本,股民,经费,厂家,上市,融资"
27,"亦庄,鸵鸟,义庄,神奇,几天,无人驾驶,地方,马路上,古代,前两天,以前,大街,白天,由来,慈善机构"
28,"ai,视频,是否,生成,谢谢,以为,图片,人物,文字,观察,物体,细节,智能,自然,碎成"
