topic,top_terms,size
0,"机器人, 人形, 这些, 马拉松, 比赛, 为什么, 自主, 汽车, 做成, 一下, 机器狗, 这样, 不行, 机械, 知道",377
1,"可爱, 小机器人, 小鼻嘎, 东西, 小小的, 搞笑, 果然, 这小, 小孩儿, 鲁班, 声音, 奶嘴, 也好, 起来, 好玩",96
2,"镜头, 一转, 语言, 转过, 斯皮尔伯格, 艺术, 转到, 真是, 搞笑, 出声, 本来, 不行, 含金量, 旁边, 这里",93
3,"地上, 坐在, 搞笑, 没人管, 低血糖, 转过, 一下, 看起来, 跑不动, 出现, 一转, 摆烂, 不住, 比赛, 耍赖",153
4,"奶瓶, 小机器人, 奶嘴, 小鼻嘎, 拿个, 还拿个, 手上, 小家伙, 脖子, 挺快, 最好, 手里, 宝宝, 安抚, 看见",143
5,"真的, 好笑, 不行, 好像, 低血糖, 这些, 没招, 视频, 这样, 看起来, 小派, 竟然, 大家, 笑鼠, 穿鞋",141
6,"小孩, 不行, 第一, 汽车, 人类, 精力旺盛, 跑步, 区别, 为什么, 还拿个, 好玩, 好像, 只能, 有人, 一步",121
7,"人, 机器, 评论, 搞笑, 遥控, 马拉松, 人类, 人形机器人, 四个, 为什么, 一样, 人形, 一群, 里面, 轮子",275
8,"最后, 好笑, 原来, 小机器人, 确实, 哪个, 请问, 那儿, 没人, 最好, 发脾气, 镜头, 不住, 台阶, 视频",55
9,"赛跑, 龟兔, 小鼻嘎, 后面, 表演, 结果, 前面, 意思, 一直, 停下来, 果然, 发展, 遥控, 程序员, 好玩",49
