Topic,Count,Name,Representation,Representative_Docs
-1,10823,-1_厉害_搞笑_喜欢_玩意,"['厉害', '搞笑', '喜欢', '玩意', '可爱', '为什么', '好像', '开始', '人家', '第一个']","['人跑马拉松的意义是什么？', '真的厉害了[偷笑R]', '哈哈哈哈哈哈真的好可爱']"
0,6614,0_机器人_人形机器人_小机器人_机器人马拉松,"['机器人', '人形机器人', '小机器人', '机器人马拉松', '机器', '机器狗', '机械', '人形', '人类', '人型']","['机器人也是人[偷笑R]', '母校的机器人', '这机器人跑的不管不顾的[捂脸R]']"
1,1671,1_降温_降降温_冰块_加冰,"['降温', '降降温', '冰块', '加冰', '冷却', '发热', '过热', '温度', '高温', '散热']","['冰块啊！应该是降温用的', '降温散热的', '冰块，降温散热用的。']"
2,1118,2_遥控_遥控器_遥控车_自主,"['遥控', '遥控器', '遥控车', '自主', '遙控', '自动', '操控', '监控', '全自动', '自助']","['怎么都是遥控的，自主的呢？[抠鼻R]', '说是自主跑，没有遥控', '有自主的也有遥控的']"
3,767,3_好笑_好好笑_搞笑_有趣,"['好笑', '好好笑', '搞笑', '有趣', '有意思', '好玩', '笑哈哈', '哈哈笑', '笑死人', '幽默']","['哈哈哈哈哈哈哈哈哈哈哈哈哈哈这个视频很好笑这个评论也很好笑', '哈哈哈哈 真的很好笑', '这真的太好笑了']"
4,726,4_科技进步_高科技_科技_技术,"['科技进步', '高科技', '科技', '技术', '科研', '创新', '科研人员', '进步', '先进', '发展']","['科技科技', '科技在进步[飞吻R]', '科技的进步']"
5,534,5_摔倒_跌倒_摔了一跤_摔到,"['摔倒', '跌倒', '摔了一跤', '摔到', '摔得', '摔下去', '摔成', '摔个', '摔碎', '站不稳']","['总感觉下一秒就要摔倒了，一直到最后也没摔倒', '真不是故意摔倒的？', '摔倒了的那个不蹭，嘣💥']"
6,507,6_程序员_编程_跑不过_程序,"['程序员', '编程', '跑不过', '程序', '跑不了', '码农', '跑步', '跑不动', 'run', '马拉松']","['马拉松程序员也得跟着跑[笑哭R]', '程序员马拉松', '程序员也要跟着跑步，可能是救程序员的']"
7,452,7_战场_打仗_作战_战士,"['战场', '打仗', '作战', '战士', '战时', '玩意', '武器', '战争', '冲过来', '用来']","['意义就是以后战场不需要人了[doge]', '放战场上你就知道了[笑哭R]', '对啊，让他跑这么快的意义是？上战场吗']"
8,435,8_跑得快_跑动_跑得慢_姿势,"['跑得快', '跑动', '跑得慢', '姿势', '跑步', '跑不动', '跑法', '奔跑', '步伐', '动作']","['跑步姿势很妖娆[吃瓜R]', '哈哈哈哈，章跑步就这个姿势', '跑步姿势很贼']"
9,361,9_比赛_参赛_大赛_观赛,"['比赛', '参赛', '大赛', '观赛', '这比', '参赛选手', '参加', '搞笑', '赛前', '赛后']","['比不比赛了还[笑哭R]哈哈哈哈光饭撒了', '比赛宠粉两不误[笑哭R]', '哈哈哈，不专心比赛哦[偷笑R][偷笑R]']"
10,352,10_去年_今年_昨年_前年,"['去年', '今年', '昨年', '前年', '第二年', '一年', '好快', '每年', '之前', '跑的快']","['今年比去年快多了[doge]', '哈哈哈哈哈哈哈去年也是这么说的，去年也很拉胯，一年了没有丝毫进步', '比去年可进步多了']"
