Topic,Count,Name,Representation,Representative_Docs
-1,8021,-1_机器人_机器_玩意_跑步,"['机器人', '机器', '玩意', '跑步', '马拉松', '跟着', '速度', '比赛', '进步', '看着']","['请问让机器人跑步的意义在哪里呢 人类不是已经发明出汽车了吗', '机器人跑马拉松意义呢？', '我买的机器人基要赔了吗']"
0,1505,0_降温_降降温_冰块_加冰,"['降温', '降降温', '冰块', '加冰', '冰冷', '冷却', '发热', '过热', '干冰', '太热']","['冰块降温吗？[偷笑R]', '冰块是降温的。', '冰块降温？[捂脸R]']"
1,703,1_遥控_遥控器_遥控车_玩意,"['遥控', '遥控器', '遥控车', '玩意', '有人', '人拿个', '摇控器', '操控', '控制', '机器人']","['遥控人[笑哭R][笑哭R]', '貌似遥控的', '有狗会说是遥控的吧？']"
2,608,2_机器人马拉松_机器人_马拉松_跑马,"['机器人马拉松', '机器人', '马拉松', '跑马', '小机器人', '机器', '跑步', '赛跑', '比赛', '赛事']","['以后马拉松就是机器人比赛[偷笑R]', '不懂机器人跑马拉松的意义在哪[捂脸R]', '机器人跑马拉松[偷笑R]']"
3,558,3_机器人_小机器人_人形机器人_機器,"['机器人', '小机器人', '人形机器人', '機器', '机器', '机械', '搞笑', '哈哈哈', '人形', '厉害']","['平账机器人？', '机器人不好玩！', '机器人：怪害羞的[汗颜R]']"
4,445,4_摔倒_跌倒_摔到_摔得,"['摔倒', '跌倒', '摔到', '摔得', '站不稳', '摔成', '摔个', '站不住', '倒地', '绊倒']","['总感觉下一秒就要摔倒了，一直到最后也没摔倒', '感觉随时想摔倒。', '真不是故意摔倒的？']"
5,411,5_姿势_跑步_跑不动_奔跑,"['姿势', '跑步', '跑不动', '奔跑', '步态', '走路', '动作', '姿态', '模仿', '很漂亮']","['跑步姿势很妖娆[吃瓜R]', '和田曦薇的跑步姿势很像', '跑步姿势很贼']"
6,270,6_程序员_跑不动_跑不过_码农,"['程序员', '跑不动', '跑不过', '码农', 'run', '跑啦', '程序', '跟不上', '马拉松', '跟着']","['程序员马拉松', '程序员跑得动吗', '程序员康复训练[失望R]']"
7,269,7_比赛_参赛_大赛_哈哈哈,"['比赛', '参赛', '大赛', '哈哈哈', '观赛', '哈哈哈哈', '参加', '哈哈', '赛后', '赛前']","['参加比赛的很踊跃啊 [笑哭R]', '比赛呢比赛呢运动员的矜持呢[doge]', '这是比谁的尸块多比赛[笑哭R]']"
8,246,8_去年_今年_进步_之前,"['去年', '今年', '进步', '之前', '这次', '好多', '更新', '一年', '显著', '跑得快']","['比去年可进步多了', '比去年的大会上有进步', '今年的都比去年的进步了很多很多了']"
9,214,9_好笑_搞笑_好好笑_哈哈哈哈,"['好笑', '搞笑', '好好笑', '哈哈哈哈', '哈哈哈', '真好玩', '哈哈', '有趣', '好玩', '幽默']","['真的很好笑[笑哭R]', '哈哈哈哈哈这个视频好笑', '多拍点，真的好搞笑[笑哭R][笑哭R]']"
10,201,10_炸药包_战场_打仗_炸弹,"['炸药包', '战场', '打仗', '炸弹', '炸药', '背着', '作战', '弹药', '全副武装', '背个']","['战场上背炸弹', '上战场背个炸药包，跑的还快[doge]', '要是上战场，还得跟三个人服务啊']"
11,181,11_养老_老龄化_养老院_老人,"['养老', '老龄化', '养老院', '老人', '老年人', '机器人', '老年', '以后', '照顾', '自理']","['以后养老机器人也能这么快吗？', '养老型机器人', '还能给我养老吗？我47了']"
