Topic,ctfidf_top_terms
-1,"机器人,机器,人类,发展,一样,速度,这些,程序员,需要,跑步,马拉松,比赛,轮子,起来,很多"
0,"小机器人,机器人,摔倒,鼓掌,站不稳,摔跤,可爱,上吊,喜欢,疲惫,机器,人机,显眼,这些,累得"
1,"战场,炸药包,打仗,炸弹,战争,巷战,火场,武器,冲锋,对面,玩意,敌人,要是,救援,背个"
2,"摔倒,一块,一地,绊倒,粉碎性,随时,一秒,稀碎,粉身碎骨,假摔,碎成,好怕,骨折,跪下,摔得"
3,"冰块,干冰,加冰,降温,散热,背包,液冷,水冷,背后,后背,背上,冷却液,冷却,后面,制冷"
4,"遥控器,遥控,跟着,后面,操作,遙控,手里,手柄,拿个,全程,操控,控制,哥们,跟不上,人员"
5,"比赛,参赛,冠军,选手,第一,一名,夺冠,参加,名次,重要,参赛选手,非洲,第一名,完赛,才艺"
6,"科技,技术,科技进步,发展,进步,科研,展示,研发,高科技,先进,研究,不断,越来越,一蹴而就,验证"
7,"没电,电池,充电,续航,换电池,断电,换电,电力,电量,费电,一会,有电,青海湖,比拼,中途"
8,"马拉松,跑步,测试,参加,半马,为了,全马,意义,目的,协调,耐力,只是,锻炼,大赛,型号"
9,"姿势,跑步,最后,最像,起来,好看,最好,两个,030,省力,不错,标准,第四个,正确,脚后跟"
10,"好笑,搞笑,好好笑,哎哟,发财,源泉,救命,哈哈笑,笑点,真的,欢乐,各有,笑料,快乐,神经"
11,"人形机器人,人形,工具,社会,设计,适配,设施,所有,人类,做成,无缝,融入,改造,适应,人型"
12,"ai,是否,人工智能,害怕,冲击,具身智能,智能,文字,底层,担心,行业,大人,模型,替代,生成"
13,"轮子,更快,轱辘,四个,换成,楼梯,地形,螺旋桨,路面,加个,爬楼梯,脚底,崎岖,装个,安个"
14,"鞋子,跑鞋,穿鞋,扁平足,太大,双鞋,穿着,穿个,耐克,孩子,运动鞋,一双,脚底板,赞助,大人"
15,"外卖,快递,小哥,超时,失业,满大街,配送,送餐,这送,驿站,取代,饭碗,迟早,打翻,餐品"
16,"可爱,小小的,果然,好萌,蠢萌,小不点,萌萌,东西,喜欢,小可爱,眼睛,小玩意儿,小玩意,太小,小家伙"
17,"轮子,两条腿,明明,非得,非要,做成,四个,更快,为什么,一定,双腿,更好,奔跑,变形金刚,直立"
18,"奶瓶,手上,还拿个,奶嘴,手里,牛奶,可爱,两箱,宝宝,拿个,宣布,喝奶,断奶,提着,幼儿园"
19,"降温,发热,过热,降降温,物理,太热,方式,朴素,凉快,温度,出汗,爷爷,解决,人工,朴实无华"
20,"自主,遥控,导航,组和,1.2,成绩,两种,分组,这次,48,系数,全自动,自助,乘以,组别"
21,"f1,进站,换胎,赛车,轮胎,法拉利,方程式,既视感,维修站,方程式赛车,有种,量产,那样,等于,方程"
22,"机器人马拉松,马拉松,半马,创意,就是说,真人,上学,成绩,想去,马路,上次,代替,这场,最近,搞个"
