Topic,ctfidf_top_terms
-1,"机器人,轮子,人类,地形,跑步,汽车,比赛,为什么,补给,复杂,机器,加油,人形,马拉松,赛车"
0,"去年,跟着,意义,进步,姿势,跑步,评论,最后,发展,今年,工程师,站不稳,程序员,科技,这样"
1,"降温,冰块,散热,干冰,润滑,电池,wd40,云南白药,换电池,喷雾,关节,加冰,冷却,润滑剂,以为"
2,"机器人,马拉松,服务,三个,人类,跑步,伺候,机器,机器人马拉松,比赛,需要,测试,意义,个人,技术"
3,"遥控,遥控器,自主,玩具,跟着,遥控车,导航,控制,后面,区别,机器人,操控,自动,需要,1.2"
4,"人形,人形机器人,人类,设计,工具,机器人,社会,机器,做成,适配,轮子,所有,很多,人型,场景"
5,"战场,打仗,玩意,炸药包,炸弹,巷战,武器,冲锋,战争,要是,敌人,不用,军用,背个,冲过来"
6,"轮子,更快,换成,四个,轱辘,轮椅,两条腿,方便,路面,装个,不用,楼梯,适应,是不是,地形"
7,"外卖,快递,小哥,失业,超时,机器人,满大街,取代,送餐,用来,不用,是不是,这送,驿站,危险"
8,"f1,进站,赛车,换胎,轮胎,法拉利,方程式,那样,有种,一样,既视感,太慢,维修站,方程式赛车,味儿"
9,"汽车,赛车,新能源,轮子,电动车,那不就,恭喜,没见,发明,电瓶车,那特,有轮,电动汽车,电车,比赛"
10,"伺候,三个,照顾,保姆,养老,还要,好好,大爷,三人,侍候,多人,离不开,退休,手指,服务"
11,"机器人,降温,问题,喝水,散热,过热,运动,需要,放屁,冰块,裆部,中暑,喷雾,导致,长时间"
12,"马拉松,测试,跑步,意义,为了,只是,目的,刘翔,情况,有些,活动,人类,不早,展示,几十公里"
13,"亦庄,鸵鸟,义庄,神奇,几天,地方,无人驾驶,马路上,真是,前两天,古代,机器人,以前,大街,白天"
14,"终结者,t800,t1000,超能,查派,很快,电影,进化,不远,到来,800,参考,速度,看过,六部"
