Topic,Count,Name,Representation,Representative_Docs
-1,5213,-1_笑哭r_doge_偷笑r_捂脸r,"['笑哭r', 'doge', '偷笑r', '捂脸r', '哭惹r', '失望r', '害羞r', '大笑r', '微笑r', '石化r']","['那干脆比赛电动车算了[笑哭R][笑哭R]', '那你腿咋不长个轮子呢，轮子不是更快吗？[笑哭R]', '穿的很不专业[偷笑R][笑哭R]像是遛街的']"
0,1600,0_笑哭r_偷笑r_机器人_doge,"['笑哭r', '偷笑r', '机器人', 'doge', '捂脸r', '哭惹r', '机器人也是人', '遥控', '微笑r', 'ai']","['工程师竟然也叫 张杰[笑哭R][笑哭R]', '做成人形女妳又不乐意[笑哭R]', '那就更没必要人形了[笑哭R]']"
1,1053,1_捂脸r_笑哭r_doge_偷笑r,"['捂脸r', '笑哭r', 'doge', '偷笑r', '跑步', '汗颜r', '大笑r', '抠鼻r', '轮子那叫赛车', '不行吗']","['估计不用3公里就要换[捂脸R]', '那开飞机不更快[捂脸R]', '穿的就不是正经跑步的[捂脸R][捂脸R][捂脸R]']"
2,655,2_笑哭r_干冰_偷笑r_冰块,"['笑哭r', '干冰', '偷笑r', '冰块', '捂脸r', '冷媒', '失望r', '降温的', '降温', 'doge']","['证明没摔过，都不脏[笑哭R]', '感觉应该是那种除锈润滑剂吧，关节润滑很重要[笑哭R][笑哭R][笑哭R]', '那应该预先装个风扇之类的[笑哭R]']"
3,609,3_笑哭r_doge_捂脸r_汗颜r,"['笑哭r', 'doge', '捂脸r', '汗颜r', '偷笑r', '原来是这样', '惊恐r', '坏笑r', '微笑r', '都是骗补贴的']","['语文阅读理解文章出自于此[笑哭R]', '我剛想這麼回[笑哭R]', '对，全世界都不懂的，就你一个人清醒[笑哭R]']"
4,384,4_皱眉r_偷笑r_好可爱_暗中观察r,"['皱眉r', '偷笑r', '好可爱', '暗中观察r', '笑哭r', '好可爱啊', '还拿个奶瓶', '捂脸r', 'doge', '太可爱了']","['小耗子也很可爱[皱眉R]', '会哭的孩子有奶喝[皱眉R]', '图二好像黑蛋啊[皱眉R][皱眉R][皱眉R]好可爱[皱眉R][皱眉R][皱眉R]']"
5,284,5_玫瑰r_哈哈哈_哈哈哈哈_捂脸r,"['玫瑰r', '哈哈哈', '哈哈哈哈', '捂脸r', '笑死了', '哈哈哈哈哈', '没招了', 'ha', '哈哈哈哈哈哈哈', '哈哈哈哈哈哈哈哈哈哈哈哈哈哈']","['全场最萌 哈哈哈[笑哭R][笑哭R]', '哈哈哈，我也看到了，他俩好像大冤种朋友[捂脸R]', '哈哈哈[玫瑰R][玫瑰R][玫瑰R]笑死我了[玫瑰R][玫瑰R][玫瑰R][玫瑰R]继续努力吧[玫瑰R][玫瑰R][玫瑰R]']"
6,274,6_doge_偷笑r_微笑r_飞吻r,"['doge', '偷笑r', '微笑r', '飞吻r', '带上', '没意义', '你想想', '战场上', '汗颜r', '害羞r']","['俄乌战场已经被这种遥控小飞机主宰了[doge][doge][doge]', '让你们海军来说[doge]', '巷战拿捏🤏🏻[doge]']"
7,223,7_笑哭r_微笑r_汽车_汗颜r,"['笑哭r', '微笑r', '汽车', '汗颜r', '发动机', '发动机不差', '那叫自动驾驶', '那不就是电动车吗', '那不就是汽车吗', '那tm叫汽车']","['人家有电动车的[笑哭R]', '日本人生活也不容易，[笑哭R]物价飞涨。工资不涨。年轻人也穷，工资不高。但就业率还行，比国内高个人感觉哈[微笑R]我现在很克制的花钱。一个月顶多攒1.5万。合计着再干几年回国躺平。国内物价比日本低多了，美滋滋[偷笑R]', '发动机部分领域已经超过日本了，比如1500马力柴油机国产坦克大列装好多年没啥问题，日本的还在流大姨妈，现在换成10式1200马力的了。潍柴的500马力柴油机热效率全球一流，燃气轮机，喷气式发动机世界前三，这些高端发动机不知道甩日本几条街，汽车发动机快发展到头了，全世界的汽车大厂基本指标都大差不差']"
8,108,8_闪电_暗中观察r_黑宇树_红荣耀,"['闪电', '暗中观察r', '黑宇树', '红荣耀', '白天工', '荣耀的', '除了跑啥也不会', '重要的是给大家助助兴', '还有元气仔', '这是别人的买了宇树机器的']","['第一个撞线的确实是遥控的，是遥控版的“闪电”，不知道是不是荣耀官方派的还是第三方用“闪电”参赛，但跟宇树八竿子打不着啊', '白天工，红荣耀，黑宇树。', '白天工，红荣耀，黑宇树']"
