Topic,Count,Name,Representation,Representative_Docs
-1,10879,-1_跑步_马拉松_搞笑_机器人,"['跑步', '马拉松', '搞笑', '机器人', '玩意', '比赛', '跟着', '参加', '可爱', '走路']","['搞笑，一个机器人跑步，三个人跟着[笑哭R]', '本来就很多无意义的事 人类参加马拉松有什么意义？', '机器人跑步真的需要摆臂吗']"
0,6245,0_机器人_人形机器人_小机器人_机器人马拉松,"['机器人', '人形机器人', '小机器人', '机器人马拉松', '机器', '机器狗', '人形', '机械', '人类', '人型']","['机器人也是人[捂脸R][捂脸R]', '机器人也是人[doge]', '这机器人太胖了 还磨裆了']"
1,1675,1_降温_降降温_冰块_加冰,"['降温', '降降温', '冰块', '加冰', '发热', '冷却', '过热', '温度', '高温', '干冰']","['冰块啊！应该是降温用的', '冰块降温？[捂脸R]', '冰块，降温散热用的。']"
2,1087,2_遥控_遥控器_遥控车_遙控,"['遥控', '遥控器', '遥控车', '遙控', '自主', '监控', '自动', '操控', '有人', '控制']","['怎么都是遥控的，自主的呢？[抠鼻R]', '有自主跑的，也有遥控的。', '这是遥控的还是自主的呀']"
3,510,3_摔倒_跌倒_摔到_摔了一跤,"['摔倒', '跌倒', '摔到', '摔了一跤', '摔得', '摔碎', '摔个', '摔成', '撞到', '站不稳']","['感觉随时要摔倒', '真不是故意摔倒的？', '摔倒了的那个不蹭，嘣💥']"
4,497,4_战场_打仗_作战_战士,"['战场', '打仗', '作战', '战士', '牺牲', '战争', '背着', '军用', '用来', '扛着']","['意义就是以后战场不需要人了[doge]', '战场上背炸弹', '你觉得上了战场的人还能顾得上笑吗[汗颜R]']"
5,493,5_科技进步_高科技_科技_技术,"['科技进步', '高科技', '科技', '技术', '进步', '越来越', '创新', '先进', '科研人员', '科学']","['科技发展是服务人类，这个[黑薯问号R]', '科技的进步', '科技在进步[飞吻R]']"
6,467,6_程序员_跑不过_编程_跑不动,"['程序员', '跑不过', '编程', '跑不动', '跟不上', '跑啦', '跟着', '码农', '程序', 'run']","['程序员马拉松', '程序员也要跟着跑步，可能是救程序员的', '程序员说写的时候没有这个变量']"
7,389,7_好笑_搞笑_真好玩_好好笑,"['好笑', '搞笑', '真好玩', '好好笑', '逗笑', '哈哈笑', '有趣', '太逗', '好玩', '笑死人']","['哈哈哈哈哈真的很搞笑[捂脸R]', '这个真的太搞笑了[笑哭R]', '多拍点，真的好搞笑[笑哭R][笑哭R]']"
8,380,8_姿势_跑得慢_跑动_跑步,"['姿势', '跑得慢', '跑动', '跑步', '跑得快', '跑不动', '跑法', '奔跑', '步伐', '跑道']","['和我跑步一个姿势', '跑步姿势笑死', '跑步姿势很妖娆[吃瓜R]']"
