Topic,ctfidf_top_terms
-1,"评论,跑步,人类,一样,真的,最后,好像,加油,知道,机器人,马拉松,孩子,可爱,宇树,为什么"
0,"机器人,轮子,人形,人类,机器,人形机器人,马拉松,比赛,跑步,为什么,需要,发展,设计,汽车,f1"
1,"降温,散热,冰块,干冰,wd40,润滑,云南白药,喷雾,关节,加冰,电机,冷却,过热,润滑剂,裤裆"
2,"遥控,自主,遥控器,玩具,跟着,控制,导航,遥控车,后面,操控,1.2,自动,机器人,区别,组和"
3,"摔倒,一地,一块,绊倒,随时,骨折,一秒,粉身碎骨,一下,粉碎性,好怕,稀碎,假摔,碎成,倒地"
4,"战场,打仗,炸药包,炸弹,战争,巷战,玩意,要是,救援,武器,火场,军用,不用,对面,冲锋"
5,"科技,发展,技术,进步,科技进步,过程,时代,展示,越来越,研究,研发,年后,科研,时间,中国"
6,"程序员,代码,程序,工程师,跟着,马拉松,运动,解决,bug,运动员,体力,久坐,没想到,二级,问题"
7,"搞笑,好笑,真的,好好笑,视频,哈哈笑,哎哟,救命,发财,笑话,我要,各有,眼泪,有意思,招笑"
8,"姿势,跑步,起来,最后,样子,两个,最像,一样,几个,这样,奔跑,最好,好像,正常,状态"
9,"可爱,小小的,小孩,孩子,果然,小朋友,东西,喜欢,长大,好萌,宝宝,真的,小可爱,小玩意,小时候"
10,"比赛,参赛,冠军,第一,选手,重要,参加,人家,夺冠,名次,第一名,成绩,其他,完赛,水平"
11,"去年,今年,进步,一年,明年,进化,太快,太多,好多,速度,记得,昨年,健步如飞,真快,比起"
12,"电池,没电,续航,充电,换电池,断电,换电,电力,电量,是不是,一直,费电,一会,中途,一块"
13,"120,救护车,抢救,心肺,复苏,急救,医生,人工呼吸,救人,机器人,医院,以为,最后,急救车,旁边"
14,"奶瓶,奶嘴,可爱,脖子,喝奶,还拿个,手上,宝宝,安抚,手里,吃奶,甚至,断奶,喝口奶,牛奶"
15,"理解,问题,认知,回答,不了,阅读,思维,看不懂,谢谢,提问,回复,了解,眼界,张嘴,质疑"
16,"ai,是否,人工智能,智能,害怕,视频,具身智能,替代,冲击,发展,工作,行业,人类,担心,大人"
17,"鞋子,跑鞋,穿鞋,孩子,太大,穿着,穿个,双鞋,耐克,运动鞋,一双,扁平足,小孩,大人,脚底板"
18,"外卖,快递,小哥,失业,超时,满大街,取代,机器人,配送,送餐,这送,饭碗,用来,是不是,驿站"
19,"养老,照顾,老人,家务,伺候,家里,回去,做饭,医院,指望,生活,添乱,背着,倒水,爸妈"
20,"马拉松,意义,测试,跑步,参加,比赛,半马,真人,人类,目的,有些,旁边,隔壁,只是,进行"
21,"荣耀,华为,手机,撞线,闪电,宇树,第一个,厉害,六名,包揽,红色,冠亚,确实,听说,牌子"
22,"短腿,腿短,倒腾,这小,小腿,太短,挺快,以下,吃亏,重心,脖子,输在,跑得慢,出溜,个子"
23,"跟着,三个,一起,人要,全程,个人,后面,几个,一直,旁边,还要,背着,一群,还跟着,是不是"
24,"意义,活着,何在,这有,存在,哪里,明白,有意义,评论,到底,人生,哪儿,东西,毫无意义,多人"
25,"投资,股票,补贴,骗钱,资本,广告,圈钱,韭菜,股民,为了,公司,上市,只要,股价,大跌"
26,"解说,有趣,幽默,鸟鸟,搞笑,主播,有意思,太逗,解体,拆解,超级,声音,好笑,配乐,直播"
27,"低血糖,头晕,晕倒,赶紧,两下,停下来,缓缓,明显,往后,066,低电压,站不稳,高个,缺氧,太像"
28,"春晚,晚上,那些,武术,跳舞,表演,机器人,好看,舞台,明年,那批,上过,这波,去年,编程"
29,"担架,抬担架,抬走,扫把,单架,拿个,扫帚,还用,塑料袋,垃圾桶,多余,收拾,搞笑,簸箕,过来"
30,"小黑,黑色,可爱,黑人,小黑子,吸热,黑黑,不错,努力,小子,跑得快,娃儿,黑皮,喜欢,小个子"
