Topic,ctfidf_top_terms
-1,"机器人,跑步,机器,比赛,人类,轮子,为了,汽车,一样,为什么,人形,发展,技术,知道,速度"
0,"遥控,遥控器,自主,玩具,跟着,遥控车,导航,控制,区别,后面,1.2,操控,自动,智能,组和"
1,"好笑,搞笑,好好笑,视频,真的,不行,哈哈笑,莫名,心酸,啊哈,见过,看着,这句,救命,发财"
2,"机器人,小机器人,鼓掌,可爱,摔倒,站不稳,看热闹,机器,最近,不行,累得,搞笑,羊癫疯,折磨,一败涂地"
3,"战场,打仗,炸药包,炸弹,玩意,要是,火场,战争,敌人,消防员,武器,追杀,不用,对面,背个"
4,"摔倒,绊倒,随时,一块,骨折,粉碎性,一秒,跪下,质量,稀碎,一地,碎成,粉身碎骨,好怕,太差"
5,"冰块,干冰,降温,加冰,散热,背后,后背,冷却,水冷,后面,背包,冷却液,液冷,背上,冰冷"
6,"去年,进步,今年,一年,进化,明年,太快,健步如飞,记得,好多,真快,昨年,速度,太多,很大"
7,"轮子,更快,地形,履带,四个,换成,复杂,轱辘,轮椅,四条,螺旋桨,更好,方便,路面,两条腿"
8,"服务,机器人,人类,养老,伺候,照顾,维护,代替,工作,发展,替代,普通人,中国,机器,上班"
9,"姿势,跑步,最后,起来,两个,最好,好看,最像,样子,第四个,最快,这样,跑不动,重心,一样"
10,"科技,发展,技术,科技进步,进步,越来越,过程,先进,科研,时代,国家,研发,验证,强国,一步"
11,"120,救护车,抢救,医生,心肺,复苏,救人,急救,人工呼吸,医院,以为,机器人,急救车,最后,旁边"
12,"马拉松,机器人马拉松,机器人,意义,参加,比赛,一场,测试,举办,技术,极限,赛道,能力,北京,赛事"
13,"电池,没电,换电池,充电,续航,换电,电力,电量,一块,有电,只要,费电,一半,耐用,电击"
14,"人形机器人,人形,设计,社会,工具,人类,做成,设施,所有,适配,机器,很多,场景,不同,机器狗"
15,"外卖,快递,小哥,失业,超时,满大街,取代,送餐,这送,驿站,配送,迟早,用来,饭碗,压力"
16,"跟着,三个,一起,人要,后面,全程,几个,伺候,多人,个人,还跟着,一直,有人,遥远,是不是"
17,"三个,个人,伺候,就业,服务,岗位,服侍,机器人,活人,一台,需要,侍候,维护,创造,保姆"
18,"马拉松,测试,意义,跑步,参加,目的,为了,只是,同时,情况,人类,赛道,有些,几十公里,不早"
19,"程序员,工程师,代码,跟着,终于,累死,程序,心疼,体能,马拉松,全程,心碎,跟不上,坐车,后面"
20,"奶瓶,奶嘴,脖子,还拿个,吃奶,安抚,可爱,手上,喝奶,宝宝,手里,牛奶,喝口奶,小孩,断奶"
21,"投资,补贴,股票,公司,多少钱,圈钱,掏钱,骗钱,产品,到手,经费,哪家,国家,人力,收到"
22,"可爱,小小的,果然,喜欢,东西,小可爱,好萌,小家伙,小不点,怎么回事,小孩,真的,太小,小时候,喜人"
23,"伺候,养老,代替,取代,三个,替代,照顾,保姆,大爷,医院,好好,替换,三人,人类,还要"
24,"意义,活着,无聊,这有,何在,哪里,明白,存在,没意义,无趣,有聊,人生,评论,到底,哪儿"
25,"鞋子,跑鞋,穿鞋,孩子,太大,穿着,耐克,一双,双鞋,穿个,大人,脚底板,运动鞋,小孩,时尚"
26,"短腿,腿短,倒腾,这小,小腿,太短,大点,太细,以下,挺快,重心,跑得慢,这腿,别看,大长"
27,"理解,认知,问题,张嘴,提问,说法,局限,不了,什么样,看不懂,道理,闭嘴,自问自答,实话,思维"
28,"f1,进站,换胎,赛车,轮胎,法拉利,方程式,有种,既视感,维修站,方程式赛车,那样,太慢,一样,好燃"
29,"配速,速度,真快,时速,多少,第一个,挺快,达到,一阵风,4.9,好快,很快,手速,每秒,高点"
30,"低血糖,头晕,缺氧,晕倒,赶紧,停下来,缓缓,两下,明显,066,往后,高个,太像,一模一样,66"
31,"比赛,选手,参赛,参加,以赛,这位,而已,象棋,形式,争取,观赛,资格,天赋,其他,一种"
32,"担架,抬担架,抬走,扫把,拿个,单架,扫帚,塑料袋,垃圾桶,多余,过来,簸箕,还用,抬着,有模有样"
33,"换电池,降温,换电,加冰,润滑,电机,电池,冷却,润滑剂,润滑油,冰块,温度,散热,补电,干冰"
34,"放屁,降温,机器人,裆部,中暑,导致,过热,喝水,怕热,李明,高温,运动,冰淇淋,喷药,说明"
35,"膝盖,膝关节,钛合金,髋关节,没事,保护,不伤,做手术,人家,发力,不对,置换,胯部,免费,指导"
36,"散热,问题,系统,cpu,解决,人体,方式,淳朴,金刚石,不行,过热,最大,主板,补能,外壳"
37,"亦庄,鸵鸟,义庄,神奇,几天,马路上,无人驾驶,地方,古代,前两天,停尸房,上周,字庄,由来,地儿"
38,"轮子,明明,奔跑,非得,为什么,移动,两条腿,更快,机器人,双腿,非要,四条,行走,一定,四个"
39,"人类,地球,星际,造物主,星球,世界,科幻片,生命,活不了,统治,要是,科幻电影,物种,占领,真牛"
40,"终结者,t800,t1000,超能,查派,到来,电影,很快,进化,不远,参考,800,六部,1000,雏形"
41,"云南白药,气雾剂,喷雾剂,云南,喷剂,跌打损伤,酸痛,防止,神药,压缩饼干,消肿,雲南,红药,白藥,肌肉"
42,"小孩,孩子,长大,精力旺盛,小孩子,爸爸,妈妈,心血,一家,没人管,小朋友,家长,戏精,老下,淘气"
43,"裤裆,对着,裆部,一直,部位,人家,隐私,弟弟,那里,jj,延时,一顿,喷裆,前列腺,私密"
44,"人形,磁力,人体,其他,人型,形态,成人型,更好,方便,训练,一定,现有,做成,按照,结构"
45,"ai,是否,视频,生成,谢谢,图片,文字,人物,物体,观察,细节,以为,自然,碎成,面部"
46,"降温,发热,物理,方式,朴素,中暑,问题,解决,难题,朴实无华,还要,过热,需要,看来,突破"
47,"战场,战争,打仗,敌人,未来战士,未来,自爆,废墟,城市,合成,填线,想想,机器人,炸弹,坦克"
48,"汽车,电动车,没见,那不就,那特,电瓶车,新能源,叫车,早就,玩意,tm,有轮,名字,车上,电车"
49,"地上,镜头,一转,坐在,转过,坐下,出现,好笑,憋不住,最后,不住,蚌埠,转头,纳闷,搞笑"
50,"小黑,黑人,小黑子,可爱,黑色,努力,不错,喜欢,黑黑,娃儿,小个子,挺好玩,跑得快,厉害,搞笑"
51,"wd40,wd,润滑,40,润滑剂,除锈,关节,喷涂,干燥,w40,默认,反复,防止,灵丹妙药,深蓝色"
52,"站不稳,停下,站不住,停下来,累坏,累得,不动,一晃,休息,那一刻,一下,上半身,踉跄,差点,不稳"
53,"吓人,恐怖,晚上,半夜,大半夜,玩意儿,玩意,吓死,遇到,没头,梅根,回魂夜,夜路,冲过来,路上"
54,"喷雾,丁烷,降温,打火机,压缩空气,二氧化碳,喷出来,快速,气体,可燃,夏天,清凉,摩擦,石油气,液化"
55,"马车,火车,发明,飞机,人们,汽车,当年,年前,富兰克林,如此,蒸汽机,蒸汽,嘲笑,质疑,火箭"
56,"评论,神人,好好笑,区里,经典,区笑,匪夷所思,真多,力竭,搞笑,某些,也好,质疑,下面,这层"
57,"赛车,比赛,那不就,赛马,那特,摩托车,f1,不开,飞机,区别,为什么,一样,入场,频道,少爷"
58,"跑步,姿势,搞笑,姿态,看出,我妈,样子,机器人,妈呀,看破,这堆,热崩,这货来,起来,操作"
59,"未成年,参加,参赛,儿童组,成人,禁止,幼儿,小朋友,儿童,童工,公平,组委会,欺负,雇佣,报名"
60,"补给,太慢,扣分,补给点,停下,送餐,中途,真弱,滴水,一边,人员,原生,方程,投胎,忙碌"
61,"八步,赶蝉,底盘,稳哈,三步,下盘,学会,来个,盗用,似的,越低,幸存者,货车,搜寻,压低"
62,"跑步,测试,动作,调整,性能,续航,基础,运行,运动,问题,为了,协调性,等等,稳定性,展示"
63,"结束,解体,开始,创业,身先,出师,未捷,先帝,中道,闹剧,这场,开局,未半而,停止,结局"
64,"驾驶,自动,无人驾驶,汽车,无人,智驾,干脆,智能,辅助,新能源,那不就,五年,测测,一伙,一天到晚"
65,"润滑油,润滑,关节,润滑剂,部位,以为,黄油,除锈剂,磨损,半月板,连接,之类,轴承,摩擦,防止"
66,"就业,岗位,增加,失业,提供,三个,创造,方向,工作岗位,工作,更多,到位,工资,提高,多人"
67,"防晒,喷雾,花露水,防晒霜,防蚊,晒黑,驱蚊,蚊子,讲究,帽子,用防,这题,润肤,留香,还要"
68,"豆包,豆脚,豆角,一个头,名字,海豚,盖印,满分,看见,小豆,妹妹,权威,小号,炸裂,好会"
69,"鲁班,七号,王者,乒乓,小将,这小,好像,短腿,cos,我操,250,味儿,可爱,正好,具象化"
70,"春晚,这波,武术,晚上,表演,明年,空翻,舞台,那批,跳舞,但凡,结实,宇树,牌子,那些"
71,"蟑螂,苍蝇,蚊子,老鼠,广东,可爱,小小的,小时候,幼虫,一窝,楼主,宝宝,恶心,巨型,除外"
72,"倒数,第一,第一名,一名,记住,胜利,ta,最后,迈着,矫健,步伐,白名单,可爱,前三名,广告牌"
73,"吃饱,一口,胖子,太饱,撑得,不吃,吃成,馒头,吃饭,自助餐,筷子,吃个,真是,没事干,干嘛"
74,"小鼻嘎,嘎子,可爱,小鼻嘎好,这小鼻,喜欢,可爱多,奶爸,进村,好乖,喜爱,比我强,度假,跑出去,将近"
75,"姿态,最后,最像,姿势,何杰,最牛,最好,第二个,返祖,泰罗,人体,火影忍者,找出,太帅,附体"
76,"诡异,妈呀,画面,这好,場景,叉车,过家家,妈耶,我操,hhhhhhh,极大,搞笑,这人,hhhhhh,幻视"
77,"大湾,鸡好,一只,可爱,居然,湾湾传,白鸡,混进,满离,前边,麻麻,厘米,挺萌,盗版,烤鸡"
78,"人形,地形,多足,蜘蛛,轮子,轮式,变个,复杂,形态,非要,越野跑,场景,环境,适应,社会"
79,"赛车,轮子,赛道,比赛,有轮,那些,那不就,溜冰,摩托车,残奥会,更远,早就,真上,田径比赛,赛车场"
80,"加油,听得懂,听见,听懂,对着,冲着,机器人,观众,烧油,快点,有人,加啥,闲得,真诚,加油站"
81,"后面,失控,旁边,电脑,追上来,指挥,视频,没了,疯狂,后边,前面,机器人,刷到,过去,百辆"
82,"五年,再过,十年,年后,不出,变化,两年,一年,收藏,再来,历史,不了,50,绝对,多久"
83,"测试,极限,稳定性,性能,验证,耐用性,可靠性,技术,考验,续航,控制系统,讲究,耐久性,考试,平衡性"
84,"摆臂,摆动,双臂,胳膊,陀螺仪,手臂,平衡,摆手,需要,跑步,保持平衡,为什么,火影,其实,大幅度"
85,"小派,感谢,亲友团,贺电,发来,认可,关注,可爱,小朋友,持续,支持,实力,熄火,真想給,专门"
86,"加油,听懂,听得懂,人喊,王者,鼓掌,流向,这黑,这钱,really,雷霆,mean,大黄蜂,when,国人"
87,"无人机,进攻,会炸机,空中,天上,信号,穿越,改变,無人機,然後他,无人,大赛,方式,风力,可控"
88,"草帽,红领巾,安全帽,戴帽子,帽子,可爱,头盔,戴个,小子,电工,爱护,头戴,小黑,小机,068"
89,"几步,停下来,后退,停下,拟人,减速,两下,无异,降速,真实,动作,好帅,步伐,灵魂,太像"
90,"意义,马拉松,机器人马拉松,何在,哪里,测试,环卫工人,参加,何用,机器人,不装,锻炼身体,重复,实际意义,骑马"
91,"以为,开水,喝水,咖啡,暖水壶,热水,零食,水壶,加热,喝点,加水,点水,枸杞,浇水,亲生"
92,"补给,牛马,补给站,吃饭,看病,换成,注销,生物能,生病,美食,炒饭,哪一天,说得对,换电,不吃不喝"
93,"装备,一地,爆一地,爆率,666,满地,洒落,裸奔,真特,san,开局,英雄,呵呵,味道,起点"
94,"控制,失控,操控,控制不了,咋办,运动,跟着,打死,被动,太强,控制算法,不受,别弄,一拳,主动"
95,"当个,事儿,事办,当件,当当,干点,说错,遇事,不决,泥巴,偷鸡摸狗,您好,史密斯,拉个,无所谓"
96,"工作人员,跟着,操作员,全程,操作,好累,一路,一起,技术人员,一直,真累,小车,操作者,配辆,旁边"
