topic_id,sample_rank,sample_source,comment_id,帖子id,comment_level,like_count,reply_count,robot_status,human_role,content
0,1,top_like,69e65240000000001401900c,69e634590000000022003bb5,1,249.0,2.0,常态,观众,居然是蓝标，自主不是遥控，棒极了
0,2,top_like,69df98b4000000003500e5c5,69df625d0000000021005c63,1,146.0,25.0,失败,观众,他们跑步，是遥控器操控，还是自己识别路面情况，纯粹自己跑呀？
0,3,top_like,69e415cc000000001401ac0c,69e2583b00000000230211ea,1,79.0,4.0,失败,抢救者,旁边还要有人拿着遥控器跟跑操作，纯属造势圈钱！
0,4,cross_post,69e5af30000000001401a00f,69e463df000000001b003017,1,75.0,7.0,强势,服务者,竟然是自主的夺冠了，遥控的怎么会输给自主[捂脸R]
0,5,cross_post,69eae867000000001401e003,69e48b0b000000001a02578c,1,56.0,11.0,失败,服务者,他手里拿的是遥控器吗[笑哭R]，这玩意不就是个遥控玩具么？
0,6,cross_post,69e4b56c000000001401e82f,69e46730000000001d0199c8,1,51.0,35.0,强势,观众,也就是遥控玩具吧
0,7,cross_post,69e5babd0000000014019c1f,69e481e8000000002003ad94,1,39.0,21.0,强势,服务者,完全非自主，就是大号遥控玩具🪀
0,8,random,69e5d8da000000001401c811,69e481e8000000002003ad94,1,1.0,0.0,强势,服务者,就自嗨吧，毫无自主智能靠遥控的玩具……
0,9,random,69ede3240000000027016d56,69e481e8000000002003ad94,1,0.0,0.0,强势,服务者,拿遥控器的要跟着跑吗
0,10,random,69e724cb0000000014019002,69e481e8000000002003ad94,1,0.0,0.0,强势,服务者,这不就是高级版的遥控车[笑哭R]
1,1,top_like,69da9a3500000000010073ef,69da7e87000000001a03484e,1,1046.0,36.0,强势,观众,我就知道是因为你小子使劲儿跑步呢[生气R][生气R]
1,2,top_like,69e4d3db000000001401b839,69e46730000000001d0199c8,1,254.0,8.0,强势,观众,这个最像人跑步👍
1,3,top_like,69e59530000000001401d424,69e47f8f000000001f007203,1,156.0,2.0,混合,观众,哇塞，这个跑步的姿势很矫健呐[赞R]
1,4,cross_post,69e45de8000000001401d809,69e43a5a000000001d01dcc7,1,68.0,2.0,常态,观众,虽然跑得慢，但架不住戏挺多的[笑哭R][笑哭R]
1,5,cross_post,69e43d160000000014018c04,69e429b4000000001b00037a,1,58.0,3.0,常态,观众,孩子，跑步比赛呢，还在逆战，看来你还是不累[偷笑R]
1,6,cross_post,69e70ad1000000001401e404,69df625d0000000021005c63,1,38.0,0.0,失败,观众,这就是我每天上班赶末班车的状态，身体和灵魂都在努力摆动，但速度全靠缘分
1,7,cross_post,69e460fe000000001401c835,69e4412a000000002103883f,1,12.0,2.0,强势,观众,真有个跑的披头散发的[笑哭R]
1,8,random,69dae7d8000000001500828b,69da7e87000000001a03484e,1,0.0,0.0,强势,观众,感觉是全脚掌着地，有点伤膝盖啊
1,9,random,69e47ae6000000001401c42f,69e4412a000000002103883f,1,0.0,0.0,强势,观众,好像都没人关注人类跑步的了
1,10,random,69e4a236000000001401c432,69e43b14000000001a02e095,1,0.0,0.0,弱势,服务者,刚才跑的还挺快。
2,1,top_like,69e98134000000001401d408,69e46032000000001f002048,1,1629.0,153.0,常态,保护者,[微笑R][微笑R][微笑R]你们就卷吧，我真服了，当狗腿子我都没赶上热乎的。机器人大人其实我是比较笨才想到，但是我忠心啊[哭惹R][哭惹R][哭惹R]
2,2,top_like,69e619ca0000000014018c16,69e59e520000000022027a90,1,340.0,11.0,弱势,观众,这里好像机器人宝宝它爸再给它擦屁股呢
2,3,top_like,69e90d63000000001401e404,69e46032000000001f002048,1,134.0,1.0,常态,保护者,机器人的反应是人类的七倍，不舒服了自己会叛乱
2,4,cross_post,69e6d300000000001401d404,69e463df000000001b003017,1,86.0,1.0,强势,服务者,机器人激动得半天说不出一句话[笑哭R]
2,5,cross_post,69e5a52f0000000014019413,69e48d54000000002102e178,1,43.0,8.0,弱势,保护者,感觉研究机器人的都是很年轻的小男孩  像商场里卖玩具区那些买机甲战士挑奥特曼的小孩长大了
2,6,cross_post,69dfa6f40000000035014bba,69df625d0000000021005c63,1,39.0,13.0,失败,观众,都吹上天了的机器人原来就这样
2,7,cross_post,69e7365b000000001401c81c,69e6f2bc0000000023005345,1,39.0,2.0,弱势,观众,是被大机器人嘲笑的那个机器人吗
2,8,random,69e45ee6000000001401b000,69e4426b000000001d01c7ed,1,2.0,0.0,混合,观众,好可爱呀～机器人小宝宝拿着🍼
2,9,random,69e5605f0000000014019005,69e47f8f000000001f007203,1,0.0,0.0,混合,观众,看这些机器人仿佛看见了他们的作者
2,10,random,69e777de000000001401d834,69e6f2bc0000000023005345,1,0.0,0.0,弱势,观众,最可爱的机器人[害羞R]
3,1,top_like,69e4a2e5000000001401b816,69e48d54000000002102e178,1,4072.0,41.0,弱势,保护者,他是怕摔下来，公司要他赔
3,2,top_like,69e30be4000000001401e836,69e2583b00000000230211ea,1,774.0,12.0,失败,抢救者,粉碎性骨折[doge]
3,3,top_like,69e2f2e9000000001401b801,69e2583b00000000230211ea,1,217.0,6.0,失败,抢救者,这是面粉做的糖人吗？碎成渣了
3,4,cross_post,69e472c6000000001401a80a,69e44171000000001a026b25,1,192.0,1.0,混合,观众,报告裁判，这里有人假摔[偷笑R]
3,5,cross_post,69e42cb3000000001401c41a,69e41e24000000001a025f1a,1,79.0,11.0,失败,观众,啥东西，碎一地[doge]
3,6,cross_post,69e46f4d0000000014018827,69e447d2000000001d01aa01,1,35.0,21.0,强势,服务者,这要是摔了把电脑砸了怎么办
