corpus,帖子id,帖子链接,post_category,帖子标题,comment_id,comment_level,sample_stratum,sample_rank_in_post,bert_topic_k7,like_count,reply_count,char_len,content,open_code,axial_code,memo,exclude_from_coding,coder,帖子点赞数,帖子评论数,parent_comment_id,user_id,comment_time,location,帖子正文
batch1,69e44278000000001a0217bb,https://www.xiaohongshu.com/explore/69e44278000000001a0217bb?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pXVFuXtjrLFhf-ETm99Dw4s=&xsec_source=pc_share,成功|被超越者,"机器人超过我的瞬间

",69e4573a000000001401a417,1,l1_per_post_mixed,1,4.0,3905.0,33.0,19,您是生命的热烈，它是钢铁的进步[赞R],,,,,,6019.0,372.0,,599fe7ce6a6a6917a03c4e09,2026.04.19,北京,"今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

"
batch1,69e44278000000001a0217bb,https://www.xiaohongshu.com/explore/69e44278000000001a0217bb?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pXVFuXtjrLFhf-ETm99Dw4s=&xsec_source=pc_share,成功|被超越者,"机器人超过我的瞬间

",69e47b6f000000001401940b,1,l1_per_post_mixed,2,1.0,1394.0,42.0,12,你去超过它儿子[嘻嘻R],,,,,,6019.0,372.0,,640eef5400000000290130ae,2026.04.19,浙江,"今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

"
batch1,69e44278000000001a0217bb,https://www.xiaohongshu.com/explore/69e44278000000001a0217bb?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pXVFuXtjrLFhf-ETm99Dw4s=&xsec_source=pc_share,成功|被超越者,"机器人超过我的瞬间

",69e5bf73000000001401940a,1,l1_per_post_mixed,3,0.0,93.0,6.0,42,“机器人超过我了”莫名想哭 感受到了一代一代的托举 是人和人之间 也是人和机器人之间,,,,,,6019.0,372.0,,5af417c911be10381999484b,2026.04.20,江西,"今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

"
batch1,69e44278000000001a0217bb,https://www.xiaohongshu.com/explore/69e44278000000001a0217bb?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pXVFuXtjrLFhf-ETm99Dw4s=&xsec_source=pc_share,成功|被超越者,"机器人超过我的瞬间

",69e47886000000001401b01e,1,l1_per_post_mixed,4,,298.0,7.0,12,它是在看镜头么[坏笑R],,,,,,6019.0,372.0,,5c0e1a530000000006010270,2026.04.19,北京,"今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

"
batch1,69e44278000000001a0217bb,https://www.xiaohongshu.com/explore/69e44278000000001a0217bb?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pXVFuXtjrLFhf-ETm99Dw4s=&xsec_source=pc_share,成功|被超越者,"机器人超过我的瞬间

",69e4e3310000000014018809,1,l1_per_post_mixed,5,0.0,54.0,2.0,31,“多年以后，面对机器人，人类回想起了它在马拉松超过自己的瞬间”,,,,,,6019.0,372.0,,63175d43000000000f005598,2026.04.19,上海,"今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

"
batch1,69e44278000000001a0217bb,https://www.xiaohongshu.com/explore/69e44278000000001a0217bb?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pXVFuXtjrLFhf-ETm99Dw4s=&xsec_source=pc_share,成功|被超越者,"机器人超过我的瞬间

",69e6f0dc000000001401d819,1,l1_per_post_mixed,6,0.0,13.0,1.0,47,你可能不知道，多年以后这个视频，将成为人类的回忆，第一次机器人在马拉松比赛超越人类，拍的太好了,,,,,,6019.0,372.0,,5c96fe9a000000001602bb18,2026.04.21,广东,"今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

"
batch1,69e44278000000001a0217bb,https://www.xiaohongshu.com/explore/69e44278000000001a0217bb?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pXVFuXtjrLFhf-ETm99Dw4s=&xsec_source=pc_share,成功|被超越者,"机器人超过我的瞬间

",69e4dd73000000001401c807,1,l1_per_post_mixed,7,,7.0,3.0,3,绊它！,,,,,,6019.0,372.0,,5e53839e00000000010074a6,2026.04.19,北京,"今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

"
batch1,69e44278000000001a0217bb,https://www.xiaohongshu.com/explore/69e44278000000001a0217bb?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pXVFuXtjrLFhf-ETm99Dw4s=&xsec_source=pc_share,成功|被超越者,"机器人超过我的瞬间

",69e499d3000000001401dc0b,1,l1_per_post_mixed,8,6.0,35.0,7.0,21,这个赛道人类认输，建议下回比比照顾老人全套,,,,,,6019.0,372.0,,622dac01000000000201f74f,2026.04.19,河北,"今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

"
batch1,69e44278000000001a0217bb,https://www.xiaohongshu.com/explore/69e44278000000001a0217bb?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pXVFuXtjrLFhf-ETm99Dw4s=&xsec_source=pc_share,成功|被超越者,"机器人超过我的瞬间

",69e480d7000000001401e02e,1,l1_per_post_mixed,9,4.0,18.0,18.0,17,如果战场上，他拿个枪，就是个大麻烦,,,,,,6019.0,372.0,,66343c2c0000000003030984,2026.04.19,北京,"今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

"
batch1,69e44278000000001a0217bb,https://www.xiaohongshu.com/explore/69e44278000000001a0217bb?source=webshare&xhsshare=pc_web&xsec_token=ABHtr88UWkKZZAADKyuBN5pXVFuXtjrLFhf-ETm99Dw4s=&xsec_source=pc_share,成功|被超越者,"机器人超过我的瞬间

",69e47960000000001401e42c,1,l1_per_post_mixed,10,0.0,6.0,1.0,18,想到了以后万一被机器人追杀[捂脸R],,,,,,6019.0,372.0,,61bf4738000000001000cf2b,2026.04.19,上海,"今天参加亦庄半程马拉松，机器人跑的太快了，一会就超过我了，这是第6个超过我的机器人。 今天荣耀闪电突破50分钟完赛，比人快多了

"
