topic_id,raw_count,assigned_count,n_posts_raw,top_post_share_raw,level1_share_raw,level2_share_raw,top_terms,representative_docs,sample_comments_10,domain,label,notes
0,1129,1222,31,0.4977856510186005,0.6492471213463242,0.3507528786536758,"遥控玩具, 遥控机器人, 遥控, 遥控的, 自主, 自主的, 都是遥控的, 有遥控的, 没意思, 不是遥控","['遥控玩具[偷笑R]', '号码布上写了“自主”“遥控”，估计是有不同的参赛组别', '遥控玩具[失望R]']",1. [69e5ea0f000000001401cc18|post=69e59e520000000022027a90|likes=787.0|top_like] 遥控的，主要是程序员太逗了[笑哭R] || 2. [69e43d3b0000000014019029|post=69e429b4000000001b00037a|likes=552.0|top_like] 遥控组作为底层，就是来整活的，毕竟也只能干整活[捂脸R] || 3. [69e45fef000000001401ac23|post=69e4426b000000001d01c7ed|likes=426.0|top_like] 那直接放遥控汽车不就起飞了。 || 4. [69e4c75a000000001401a823|post=69e4b08d000000001d01c1bc|likes=285.0|cross_post] 48分钟那个是遥控的，50分的是自主的，48分的要乘1.2的系数就不是冠军了 || 5. [69df98ff00000000350314d0|post=69df625d0000000021005c63|likes=251.0|cross_post] 都有，遥控的话最后时间要乘以1.2 || 6. [69e65240000000001401900c|post=69e634590000000022003bb5|likes=249.0|cross_post] 居然是蓝标，自主不是遥控，棒极了 || 7. [69e5b1e0000000001401ac13|post=69e463df000000001b003017|likes=118.0|cross_post] 遥控的要加时间，加权后才是最终成绩 || 8. [69e4dbdf000000001401e827|post=69e45dbe000000001f00434f|likes=12.0|random] 夺冠的前三名都是自主的 || 9. [69e4a34e000000001401dc12|post=69e481e8000000002003ad94|likes=0.0|random] 你说的难道是遥控车[笑哭R][笑哭R] || 10. [69e5d4f5000000001401c832|post=69e47f8f000000001f007203|likes=0.0|random] 拿遥控器在后面遥控说智能机器人？？？。,,,
1,1085,955,29,0.25253456221198156,0.6912442396313364,0.3087557603686636,"机器人, 机器人也是人, 色色r, 生气r, 哭惹r, 飞吻r, 吐舌头h, 机器, 笑哭r, 坏笑r","['机器人：先别忙活了，让我歇歇[doge]', '机器人：再让我走来走去我就嘎嘣一下死这[doge]', '机器人“谁说我不会受伤的，我直接摔死了好吧”[doge]']",1. [69e6fadf000000001401d428|post=69e634590000000022003bb5|likes=2076.0|top_like] 原来是你们团队叫加速进化，我看到你们机器人上贴这个以为是你们的机器人要加速进化了[石化R][石化R][石化R] || 2. [69e4a930000000001401a020|post=69e48341000000001a02d0c4|likes=927.0|top_like] 我已经预见到我老了将会有一个人形机器人推着轮椅带着伞啊外套啊保温壶、小点心、我的降压药什么的，陪我去公园散步。根本不敢指望我儿子 || 3. [69e4b81d000000001401c836|post=69e48d54000000002102e178|likes=634.0|top_like] 这小机器人坐得略显拘谨啊[笑哭R] || 4. [69e55e7b000000001401e40c|post=69e47f8f000000001f007203|likes=634.0|cross_post] 机器人也是人[大笑R] || 5. [69e2f5010000000014019417|post=69e2583b00000000230211ea|likes=558.0|cross_post] 这个我觉得是真实视频，因为看见过其他视角的。这跟机器人材质和重量有关吧，我觉得这个程度摔一下还是可能会碎的 || 6. [69e45a6c000000001401a412|post=69e447d2000000001d01aa01|likes=402.0|cross_post] [扶墙R][扶墙R]机器人现在就有自己想法了吗，好高级[扶墙R] || 7. [69dcbf41000000000203506c|post=69db34bb000000001a0348ae|likes=359.0|cross_post] 机器人老了可怎么办[doge] || 8. [69e4a296000000001401dc0a|post=69e481e8000000002003ad94|likes=11.0|random] 機器人也會肌肉酸痛[doge] || 9. [69e4d0f5000000001401a821|post=69e48341000000001a02d0c4|likes=0.0|random] [色色R][色色R][色色R]反正我就是觉得，拿🍼那个小机器人宝宝真的好可爱鸭[色色R][色色R][色色R] || 10. [69e598c6000000001401cc16|post=69e48d54000000002102e178|likes=1.0|random] 这个机器人像被大哥绑架了，动也不敢动[笑哭R],,,
2,814,1037,30,0.25307125307125306,0.6732186732186732,0.32678132678132676,"机器人跑马拉松, 天工, 机器人马拉松, 马拉松, 呃r, 闪电, 散热, 不过, 会跑, 机器人跑","['机器人跑马拉松 是闲得慌[笑哭R]', '这个视频主要记录了北京亦庄人形机器人马拉松比赛的有趣场面。视频中，300多个形态各异的机器人同台竞技，有的稳健奔跑，有的则跌跌撞撞，甚至还有机器人在比赛中跳舞、鼓掌，场面十分热闹。评论区的讨论也很热烈，大家普遍认为这不仅是科技展示，更是一次对机器人耐力、平衡和智能的“压力测试”。许多人也由此联想到科技发展带来的机遇与挑战，比如对就业的影响、未来在养老等领域的应用，以及法律法规需要同步跟上等问题。\n基于视频内容和评论区讨论，为你设计一道遴选面试题：\n面试题：近期，一场人形机器人马拉松比赛引发热议。比赛中，机器人展现出的“进化速度”令人惊叹，但也出现了跌倒、失控等状况。对此，有人认为这是科技的进步与希望，也有人担忧其可能带来的失业等问题。请结合实际，谈谈你对这一现象的看法。\n参考答案：\n这场机器人马拉松比赛，表面上是一场趣味科技秀，实则是我国人工智能与高端制造领域发展的一个生动缩影。对于这一现象，我认为应辩证看待，既要拥抱机遇，也要正视挑战。\n首先， 这是一场走出实验室的“压力测试” 。比赛将机器人置于开放、动态的复杂环境中，长时间的奔跑是对它们运动控制、能源管理和环境感知能力的极限考验。过程中暴露的跌倒、抽搐等问题，恰恰为后续的技术迭代指明了方向，是推动技术从“能跑”向“会跑”、“跑好”跨越的关键一步。\n其次， 这反映了我国科技创新的活力 。300多个机器人同台竞技，展现了我国在机器人领域的集群效应和创新活力。这种开放包容、鼓励试错的氛围，不仅加速了产业链的成熟，也向世界展示了中国在前沿科技领域的探索精神。\n最后， 我们也要前瞻性地应对挑战 。正如评论区所讨论的，随着技术发展，确实可能对部分就业岗位造成冲击。对此，我们应积极引导劳动力转型升级，同时加快相关法律法规的研究与制定，确保科技发展始终服务于社会福祉，让技术进步的成果惠及更多人。', '机器人跑马拉松[偷笑R]']",1. [69e84511000000001401a01c|post=69e46032000000001f002048|likes=4457.0|top_like] 你不跑有的是机器人愿意跑 || 2. [69dfb3290000000002035b6b|post=69df625d0000000021005c63|likes=4172.0|top_like] 大家娱乐一下哈，视频里只放了一些“精彩”画面配解说，其实还有更多的机器人是跑的又稳又快的[害羞R] || 3. [69e4da0f000000001401d820|post=69e4b08d000000001d01c1bc|likes=1807.0|top_like] emm……马拉松的意义不是锻炼身体和耐力么，机器人真的需要这个吗 || 4. [69e41e73000000001401980a|post=69e40352000000002102fc75|likes=893.0|cross_post] 这不叫机器人大赛，应更名叫仿生人马拉松。因为机器人要快，它就不用人类的跑步方式，更是换上高速引挺滑轮，看谁快。只有仿生人才会这样。无论那一种，都是人类科学的进步，加油加油！ || 5. [69e51440000000001401c00b|post=69e47f8f000000001f007203|likes=715.0|cross_post] 从这个机器人的跑步姿势上看出了性别[笑哭R][笑哭R][笑哭R][笑哭R] || 6. [69e6cc1d000000001401c007|post=69e634590000000022003bb5|likes=438.0|cross_post] 真的~看着机器人在前面跑，怎么不像自己的孩子在赛道拼搏。能站在跑道上大家都是第一名！！ || 7. [69e4b1fa000000001401c82c|post=69e48341000000001a02d0c4|likes=251.0|cross_post] 现在迭代这么快，应该十年内就能实现。上一届机器人马拉松这群玩意儿还是连滚带爬的，一年就超过人类了。 || 8. [69e579e6000000001401e810|post=69e481e8000000002003ad94|likes=0.0|random] 好了，以后跑马拉松就用机器人代替了 || 9. [69e45a7f0000000014018820|post=69e43b14000000001a02e095|likes=0.0|random] 我以为是机器人首先解决的是辅助人类的行为 结果它们真是机器人....还跑上马拉松了[笑哭R] || 10. [69e57f66000000001401d421|post=69e481e8000000002003ad94|likes=6.0|random] 之前做过这方面的相关研究，你这个问题是别人最常问的。一个最直接了当的回答就是：跑步看似很简单，实际上这个跑步的动作包含了非常强大的算力、算法精简度、还有硬件的支撑，这一些都为将来机器人越来越强打下基础。 而跑步就是一个很简单的体现方式，看似对人类来讲是简单的动作，但是各种扭距的极限，角度，还有平衡的保持，速度的提升都需要非常强大的算力支持。短短几年内国内的人型机器人就发展的这么快，真的很厉害了,,,
3,634,633,25,0.3675078864353312,0.32334384858044163,0.6766561514195584,"人形机器人, 机器人, 不懂就问, 即便不是最优解, 很难说这种发展方向没有受人想象控制, 现在设计机器人总是沉着与用人形来让它做各种事, 楼梯, 现在很多还用前凸后翘的机器人来吸引眼球, 如果追求不同的功能的话应该依照功能来设计不同的外形比较高效吧, 机器猫","['人形机器人 不管是马斯克的还是中国的 都是纯纯讲故事', '你的问题跟我说的完全不是一个意思哇[尬住R]只是比较疑惑，如果追求不同的功能的话应该依照功能来设计不同的外形比较高效吧，现在设计机器人总是沉着与用人形来让它做各种事[笑哭R]现在很多还用前凸后翘的机器人来吸引眼球，很难说这种发展方向没有受人想象控制，即便不是最优解', '只是比较疑惑，如果追求不同的功能的话应该依照功能来设计不同的外形比较高效吧，现在设计机器人总是沉着与用人形来让它做各种事[笑哭R]现在很多还用前凸后翘的机器人来吸引眼球，很难说这种发展方向没有受人想象控制，即便不是最优解']",1. [69e46025000000001401dc38|post=69e4426b000000001d01c7ed|likes=2132.0|top_like] 这是人形机器人，你说的那种是另一种机器人。 || 2. [69e492de000000001401d809|post=69e481e8000000002003ad94|likes=907.0|top_like] 因为人形可以和人本身结合起来，他可以用人的装备，人的武器，人也可以用他们的 || 3. [69eeedd900000000270177bf|post=69e48b0b000000001a02578c|likes=307.0|top_like] 我也觉得。每次有人问，都一大堆人说是为了适配人类社会的设施，但我寻思守望先锋奥丽莎这种设计也行啊 || 4. [69e6e48a000000001401ac18|post=69e42cc100000000220001ad|likes=168.0|cross_post] 人类社会的一切工具和设施都是基于人体打造的，人形机器人可以无障碍接管，不需要对工具和设施进行适配性改造。  同时，情感需求也是一方面，机器人要融入人类社会，与人类共同协作，其外形需要尽量减少隔阂感，且要能与人类以“人类熟悉的方式”进行互动。 所以，人形态是最好的选择。 || 5. [69e49974000000001401c404|post=69e48341000000001a02d0c4|likes=80.0|cross_post] 还有问为啥要做成人形的 || 6. [69db09350000000035018759|post=69da7e87000000001a03484e|likes=77.0|cross_post] 我也觉得人行机器人的用途在哪？没必要完全做成人的模样吧 要说让他跑 做成轮子更快 更节约成本啊 || 7. [69e032c6000000003500aec3|post=69df625d0000000021005c63|likes=69.0|cross_post] 因为叫机器人啊，做成狗的叫机器狗，做成蜘蛛的叫机器蜘蛛。。这就是中文基本的表达方法。。又不像英文出现个啥就创造一个单词出来。。。。 || 8. [69e2f7910000000014019800|post=69da7e87000000001a03484e|likes=0.0|random] 人是万物之灵。妖也要化人形。机器人也要做人形。 || 9. [69e4a53f000000001401cc2d|post=69e481e8000000002003ad94|likes=0.0|random] 人形电动车 || 10. [69e565fa000000001401c810|post=69e4426b000000001d01c7ed|likes=0.0|random] 那肯定是人形机器人更具功能性啊,,,
4,499,720,27,0.533066132264529,0.6673346693386774,0.33266533066132264,"程序员, 好消息, 坏消息, 这下好了, 救血压上升的程序员, 雾草, 我谢谢你, 救程序员, 招程序员, 程序员跟不上","['程序员[doge]举着电脑在后面跑', '好消息：程序员：我的代码能跑了\n坏消息：程序员：我跑不过我的代码\n网友：没想到有一天码农是个体力活😂', '程序员：不敢熬夜了，还要跑步[捂脸R][捂脸R][捂脸R]']",1. [69e44e85000000001401a404|post=69e447d2000000001d01aa01|likes=1848.0|top_like] 三公里就得换一个程序员 || 2. [69e7a7150000000014019809|post=69e2583b00000000230211ea|likes=1030.0|top_like] 只有我心疼这个机器的报废了吗，程序员不心碎了吗 || 3. [69e450ed000000001401e814|post=69e447d2000000001d01aa01|likes=903.0|top_like] 这是一个梗 程序和程序员有一个能跑就行[偷笑R] || 4. [69e6ce48000000001401900c|post=69e634590000000022003bb5|likes=474.0|cross_post] 语音控制电瓶车上的程序员吧[偷笑R] || 5. [69e43d72000000001401a41d|post=69e429b4000000001b00037a|likes=114.0|cross_post] 触发底层代码了[笑哭R] || 6. [69e4a89d000000001401cc35|post=69e481e8000000002003ad94|likes=109.0|cross_post] 可是，程序员也在跑着呐[偷笑R] || 7. [69dafb65000000001500583a|post=69da7e87000000001a03484e|likes=80.0|cross_post] 今年不用选体能好的程序员跟跑了，因为体能再好都跟不上了 || 8. [69e46f23000000001401d420|post=69e447d2000000001d01aa01|likes=0.0|random] 今天这大风，也真难为程序员们了[笑哭R] || 9. [69db13910000000035014603|post=69da7e87000000001a03484e|likes=4.0|random] 比技术员懂的人出现了[偷笑R] || 10. [69e64a9b000000001401bc20|post=69e481e8000000002003ad94|likes=0.0|random] [偷笑R]跟着跑的程序员听得懂,,,
5,498,819,24,0.45180722891566266,0.5020080321285141,0.4979919678714859,"小鸟说早早早, 花儿对我笑, 太阳当空照, 逮小偷, 带上, 我去炸学校, 你为什么背着炸药包, 老师不知道, 想想都可怕, 没意义","[""it's actually quite scary thinking as an ex Soldier just imagining thousands of them coming towards you in a Battle with a Gun in its hand 🫣🤪"", '太阳当空照，花儿对我笑，小鸟说早早早，你为什么背上炸药包~我去炸学校，老师不知道，砰的一声，学校没有了~[捂脸R][捂脸R][捂脸R]', '太阳当空照，花儿对我笑。                                    小鸟说早早早，你为什么背着炸药包。                 我要炸学校，老师不知道。                                     一点火我就跑，老师学校全都不见了。                  [害羞R][害羞R][害羞R]']",1. [69e71e44000000001401a023|post=69e481e8000000002003ad94|likes=290.0|top_like] 打仗时候可以绑炸弹冲在前面，火场救援，灾区救援 || 2. [69e493050000000014019008|post=69e481e8000000002003ad94|likes=217.0|top_like] 为巷战、为丛林战做准备。 || 3. [69e51334000000001401cc07|post=69e4c771000000002102c3fc|likes=169.0|top_like] 好好练，将来分担抢险救灾的工作💪 || 4. [69e4c0ce000000001401980e|post=69e4551e000000001f005895|likes=93.0|cross_post] 这玩意加个强化外壳，装上遥控炸药，想拦住不太容易呀[笑哭R] || 5. [69db0fce0000000015005918|post=69da7e87000000001a03484e|likes=91.0|cross_post] 可以用于灾害救援啊这个 || 6. [69e960b4000000001401cc08|post=69e46032000000001f002048|likes=76.0|cross_post] 现在距离派往光州已经就差一秒六棍了 || 7. [69e5d522000000001401e428|post=69e44278000000001a0217bb|likes=25.0|cross_post] 白活这么大了 导弹都接不住 || 8. [69db58620000000015003e3e|post=69da7e87000000001a03484e|likes=0.0|random] 只有空战，就没陆地战是吧 || 9. [69e49bb10000000014018824|post=69e481e8000000002003ad94|likes=2.0|random] 复杂地形，复杂场景，搜救，你家烧起来了，他进去给你扛出来，他不得跑啊 || 10. [69e75ee5000000001401e427|post=69e481e8000000002003ad94|likes=0.0|random] [doge]应该那把枪做冲锋状态[doge],,,
6,435,652,28,0.3195402298850575,0.7540229885057471,0.24597701149425288,"粉碎性骨折, 粉身碎骨浑不怕, 摔得稀碎, 东一块, 假摔, 看到这个, 我一直在等他摔倒, 孩子啊, 还好, 捂脸r","['粉碎性骨折、挣扎几下就不动了…', '粉碎性骨折[doge]', '让他撞了，我是不是得“粉碎性骨折”[石化R]']",1. [69e4a2e5000000001401b816|post=69e48d54000000002102e178|likes=4072.0|top_like] 他是怕摔下来，公司要他赔 || 2. [69e30be4000000001401e836|post=69e2583b00000000230211ea|likes=774.0|top_like] 粉碎性骨折[doge] || 3. [69e455db000000001401a420|post=69e44171000000001a026b25|likes=707.0|top_like] 它倒地都是很温柔的找好角度倒的 不像别个直接一个雷霆大摔 摔的七零八落担架抬走[笑哭R] || 4. [69e523c1000000001401e401|post=69e46730000000001d0199c8|likes=522.0|cross_post] 还摔了一跤呢，担架都上来了，但是没用上，扶起来起来又跑了[笑哭R] || 5. [69dad46b000000003501bc1d|post=69da7e87000000001a03484e|likes=164.0|cross_post] 大不了换零件[doge] || 6. [69e492270000000014018c16|post=69db34bb000000001a0348ae|likes=88.0|cross_post] 粉碎性骨折啊这是 || 7. [69e42cb3000000001401c41a|post=69e41e24000000001a025f1a|likes=79.0|cross_post] 啥东西，碎一地[doge] || 8. [69e6e215000000001401dc11|post=69e47f8f000000001f007203|likes=0.0|random] 像喝了假酒的好怕它突然打人[捂脸R] || 9. [69e30c4c0000000014019424|post=69da7e87000000001a03484e|likes=0.0|random] 我不行了真怕他一屁股坐地上了。 || 10. [69e848f6000000001401c81c|post=69e44171000000001a026b25|likes=0.0|random] 嘎巴一下死了 嘎巴一下活了,,,
7,390,693,26,0.6,0.8153846153846154,0.18461538461538463,"进步太快了, 赞r, 进步神速啊, 点赞r, 我去, 比去年进步很多, 今年就健步如飞了, 进步真快, 太厉害了, 进化的真快啊","['进步太快了。', '进步太快了', '进步太快了，去年还摔掉脑袋[笑哭R]']",1. [69e4f103000000001401e018|post=69e4c771000000002102c3fc|likes=545.0|top_like] 时隔一年进步就这么大，为祖国骄傲 || 2. [69e5f0f90000000014019420|post=69e45dbe000000001f00434f|likes=251.0|top_like] 去年都还在连滚带爬，今年已经从从容容了[彩虹R][彩虹R][赞R][赞R] || 3. [69e4a2d0000000001401ac06|post=69e48d54000000002102e178|likes=74.0|top_like] 相信他们会把它们“养”好的，感觉今年脚底下利索点了 || 4. [69dafb8f0000000016014fbc|post=69da7e87000000001a03484e|likes=69.0|cross_post] 比起昨年，肉眼可见的进步 || 5. [69df9d44000000000d034c6c|post=69df625d0000000021005c63|likes=46.0|cross_post] 能笑就笑吧，明年就没得笑了。[笑哭R] || 6. [69e7265b000000001401e41a|post=69e634590000000022003bb5|likes=44.0|cross_post] 今年有40%的自住跑哦，每一年都有很大进步的，你可以去看看去年的 || 7. [69e455ce000000001401ac24|post=69e447d2000000001d01aa01|likes=40.0|cross_post] 一派勃勃生机，万物竞发的景象就在眼前[偷笑R] || 8. [69db2d970000000035021838|post=69da7e87000000001a03484e|likes=4.0|random] 进步巨大，去年还得有人跟着一起跑呢 || 9. [69daf54e00000000010072c1|post=69da7e87000000001a03484e|likes=1.0|random] 比去年强多了，话说这个马拉松比赛跑多远啊 || 10. [69dab964000000001500a189|post=69da7e87000000001a03484e|likes=3.0|random] 去年到今年进步就这么大，明年屁股下是不是要装助推器了[笑哭R],,,
8,370,568,18,0.5864864864864865,0.4027027027027027,0.5972972972972973,"不行吗, 我有个想法, 轮子, 轮子不是更快吗, 为啥不用轮子, 没苦硬吃, 装四个轮子, 能不能做成四个轮子的, 更快, 不是更快","['我有个想法，给他们装上四个轮子是不是更快点', '我有个想法，为了适应不同的环境 要不把轮子换成履带[doge][doge]', '对啊，跑步爬楼梯，不行吗？越障，越野，不行吗？而且我说了，技术验证，技术储备，不行吗？你双足都能做好了，其他轮式会做不了？连这都想不明白']",1. [69e2fc2d000000001401b82a|post=69e2583b00000000230211ea|likes=6166.0|top_like] 能不能做成四个轮子的，加一种液体就可以跑起来的那种！ || 2. [69e490ae000000001401d42a|post=69e481e8000000002003ad94|likes=4733.0|top_like] 比跑步干嘛非要人形，轮子不是更快[笑哭R] || 3. [69ecb9a7000000002803354c|post=69e48b0b000000001a02578c|likes=1201.0|top_like] 为什么非要学人用两条腿走，腿也没那么好使，走路累死了，所以人们都骑电动[失望R] || 4. [69e43a95000000001401c805|post=69da7e87000000001a03484e|likes=48.0|cross_post] 科技发展啊，双腿更容易应对复杂地形啊。 || 5. [69e46204000000001401e043|post=69e4426b000000001d01c7ed|likes=34.0|cross_post] 人类生活环境有不少阶梯和上下坡，四轮的可走不了这些路[doge] || 6. [69e63321000000001401bc3a|post=69e447d2000000001d01aa01|likes=19.0|cross_post] 轮上不了楼爬不了山，用处不一样 || 7. [69e49edc000000001401c032|post=69e48341000000001a02d0c4|likes=15.0|cross_post] 如果四轮的行，我觉得螺旋桨的也行 || 8. [69eb0a9c000000001401c043|post=69e6f2bc0000000023005345|likes=0.0|random] 下次记得给孩子整个风火轮[偷笑R] || 9. [69e72fcb000000001401b027|post=69e481e8000000002003ad94|likes=0.0|random] 为什么一定要两腿，。四腿不是更稳定，速度更快，载重量更大 || 10. [69e6cd0c000000001401b002|post=69e42cc100000000220001ad|likes=0.0|random] 就不能给这玩意儿加上轮子吗？想跑多快跑多快？为啥非要用人的形态？,,,
9,364,637,26,0.42032967032967034,0.8076923076923077,0.19230769230769232,"坐着跑, 身体前倾, 最后一个跑姿最好, 闪开, 赞r, 太不容易了, 哇塞, 大笑r, 哈哈哈哈哈, 特别是停下的时候","['最后一个跑姿最好[偷笑R][偷笑R]', '坐着跑─=≡Σ(((つ•̀ω•́)つ比较省力，快点正常', '跑步鄙视链的最底层:坐着跑，哈哈哈']",1. [69da9a3500000000010073ef|post=69da7e87000000001a03484e|likes=1046.0|top_like] 我就知道是因为你小子使劲儿跑步呢[生气R][生气R] || 2. [69e4d3db000000001401b839|post=69e46730000000001d0199c8|likes=254.0|top_like] 这个最像人跑步👍 || 3. [69e6ce01000000001401a012|post=69e634590000000022003bb5|likes=193.0|top_like] 就跟人跑到最后的状态好相似 || 4. [69e59530000000001401d424|post=69e47f8f000000001f007203|likes=156.0|cross_post] 哇塞，这个跑步的姿势很矫健呐[赞R] || 5. [69e45de8000000001401d809|post=69e43a5a000000001d01dcc7|likes=68.0|cross_post] 虽然跑得慢，但架不住戏挺多的[笑哭R][笑哭R] || 6. [69dfa178000000003502fb9b|post=69df625d0000000021005c63|likes=43.0|cross_post] 这个视频负责搞笑的，正常跑的没笑点[偷笑R] || 7. [69e5a398000000001401dc26|post=69e481e8000000002003ad94|likes=28.0|cross_post] 幼儿跑步的时候，也一样一个台阶就废 || 8. [69e49ca2000000001401ac11|post=69e481e8000000002003ad94|likes=0.0|random] 没有没有的事， 咱家和就是个跑步的 图个喜庆[偷笑R] || 9. [69e62c58000000001401a01b|post=69e47f8f000000001f007203|likes=1.0|random] 有种在看狗跑步的感觉 || 10. [69e9c882000000001401a00d|post=69e481e8000000002003ad94|likes=0.0|random] 我小时候也是这样跑,,,
10,362,877,27,0.1712707182320442,0.5027624309392266,0.4972375690607735,"玫瑰r, 真的很好笑, 救命, 点赞r, 哈哈, 哈哈哈, 真的太好笑了, ha, 我要笑死了, 哈哈哈哈","['哈哈哈哈 真的很好笑', '真的太好笑了，救命', '哈哈哈哈哈哈哈哈 救命 我要笑死了，博主解说太有才了[偷笑R][偷笑R][偷笑R]']",1. [69dfd9310000000035019b9d|post=69df625d0000000021005c63|likes=310.0|top_like] 哈哈哈[玫瑰R][玫瑰R][玫瑰R]笑死我了[玫瑰R][玫瑰R][玫瑰R][玫瑰R]继续努力吧[玫瑰R][玫瑰R][玫瑰R] || 2. [69e7381a0000000014019418|post=69e6f2bc0000000023005345|likes=192.0|top_like] 已经有网友给配上了，哈哈[偷笑R] || 3. [69e63bbc000000001401982e|post=69e59e520000000022027a90|likes=77.0|top_like] 休息的时候好好笑 || 4. [69e467a2000000002b0001fa|post=69e4426b000000001d01c7ed|likes=74.0|cross_post] 哈哈哈哈 真的很好笑 || 5. [69e4e06a000000001401941b|post=69e46730000000001d0199c8|likes=73.0|cross_post] 哎呀我也觉得好好笑，淡淡地说出很疯的话的感觉哈哈哈哈哈 || 6. [69e49389000000001401902b|post=69db34bb000000001a0348ae|likes=35.0|cross_post] 嘎嘣一下享福去了[完啦R][完啦R] || 7. [69e9a557000000001401c00c|post=69e46032000000001f002048|likes=20.0|cross_post] 你的个性签名也太好笑了哈哈哈哈 || 8. [69e502c2000000001401c802|post=69e4426b000000001d01c7ed|likes=0.0|random] 一转到这里，我就笑了哈哈哈哈哈哈 || 9. [69e84b400000000014019419|post=69e47f8f000000001f007203|likes=0.0|random] 状况百出[笑哭R][笑哭R] || 10. [69e8abc2000000001401d809|post=69e59e520000000022027a90|likes=0.0|random] 笑的拍桌子！！！！真的拍桌子！！！！,,,
