topic,top_terms,size
0,"机器人, 这样, 公司, 肯定, 以为, 宇树, 抢救, 几个, 一下, 解体, 救护车, 中国, 哪家, 工程师, 养老",633
1,"人类, 需要, 是不是, 确实, 为了, 玩意, 嘲笑, 晚上, 而已, 世界, 机器狗, 补贴, 努力, 要是, 里面",222
2,"视频, 搞笑, 装备, 比赛, 摔倒, 真的, 荣耀, 追尾, 一地, 医生, 救护车, 真实, 今天, 自毁, 上来",251
3,"马拉松, 起来, 一样, 大家, 好笑, 一定, 知道, 稀碎, 进步, 最后, 亦庄, 一块, 参加, 成功, 自爆",250
4,"开始, 技术, 不好, 人形机器人, 走路, 几年, 起跑线, 产品, 去年, 骨折, 公司, 程序, 粉碎性, 好好, 智能",214
5,"机器人, 这些, 东西, 红色, 春晚, 以为, 发展, 为什么, 测试, 闪电, 研发, 参赛, 有个, 那些, 到底",265
6,"机器人, 解说, 设计, 地上, 轮子, 比赛, 碰瓷, 质量, 挣扎, 粉身碎骨, 有人, 加油, 有趣, 现场, 降温",230
7,"人, 担架, 好像, 一地, 汽车, 人家, 零件, 不用, 发明, 减速带, 一堆, 不如, 不了, 丢人现眼, 股票",280
8,"机器人, 遥控, 人形, 不行, 跑步, 玩具, 做成, 正常, 还要, 跳舞, 为什么, 垃圾, 不要, 原来, 厉害",263
9,"ai, 机器, 意义, 一下, 人, 中国, 人类, 服务, 水平, 遥控, 速度, 自主, 评论, 第一个, 科技",237
