Topic,Count,Name,Representation,Representative_Docs
-1,8065,-1_机器人_机器_玩意_测试,"['机器人', '机器', '玩意', '测试', '为什么', '速度', '是不是', '还是', '意义', '什么']","['机器人跑步的意义是什么', '平账机器人？', '这副机器人不着调[失望R]']"
0,694,0_遥控器_遥控_遥控车_机器人,"['遥控器', '遥控', '遥控车', '机器人', '有人', '玩意', '摇控器', '操控', '控制', '摇控']","['遥控机器人', '遥控人[笑哭R][笑哭R]', '有狗会说是遥控的吧？']"
1,579,1_跑步_姿势_跑不动_奔跑,"['跑步', '姿势', '跑不动', '奔跑', '步态', '步伐', '走路', '动作', '姿态', '挺快']","['和田曦薇的跑步姿势很像', '有一个姿势很像人跑步了', '和我跑步一个姿势']"
2,349,2_机器人马拉松_机器人_马拉松_跑马,"['机器人马拉松', '机器人', '马拉松', '跑马', '机器', '跑步', '比赛', '赛事', '运动', '大赛']","['不懂机器人跑马拉松的意义在哪[捂脸R]', '机器人跑马拉松[偷笑R]', '看机器人跑马拉松吗？']"
3,324,3_程序员_跑不动_码农_run,"['程序员', '跑不动', '码农', 'run', '跑啦', '程序', '跟不上', '马拉松', '跟着', '代码']","['程序员马拉松', '程序员康复训练[失望R]', '程序员跑得动吗']"
4,281,4_摔倒_跌倒_摔了一跤_摔到,"['摔倒', '跌倒', '摔了一跤', '摔到', '摔得', '摔碎', '倒下', '摔个', '摔成', '倒地']","['摔倒了的那个不蹭，嘣💥', '感觉随时想摔倒。', '总感觉下一秒就要摔倒了，一直到最后也没摔倒']"
5,248,5_今年_去年_这次_跑得快,"['今年', '去年', '这次', '跑得快', '之前', '明年', '一年', '进步', '更新', '每年']","['今年的比去年的快多了。', '今年比去年快多了[doge]', '今年的都比去年的进步了很多很多了']"
6,224,6_降温_降溫_加冰_冰块,"['降温', '降溫', '加冰', '冰块', '降热', '冰塊', '补冰', '冰冷', '冷却', '干冰']","['冰块降温 怕烧了', '加冰块降温[偷笑R]', '冰块降温啊[笑哭R][笑哭R][笑哭R][笑哭R]']"
7,215,7_还跟着_跟着_跟得上_有人,"['还跟着', '跟着', '跟得上', '有人', '人要', '跑步', '还有', '一起', '人家', '旁边']","['人也要跟着跑', '人也跟着跑', '人也要跟着跑吗[doge]']"
8,207,8_炸药包_战场_打仗_炸弹,"['炸药包', '战场', '打仗', '炸弹', '炸药', '背着', '作战', '弹药', '全副武装', '背个']","['战场上背炸弹', '要是上战场，还得跟三个人服务啊', '上战场背个炸药包，跑的还快[doge]']"
