Topic,ctfidf_top_terms
-1,"机器人,轮子,跑步,人类,比赛,汽车,一样,机器,为什么,需要,技术,意义,测试,速度,马拉松"
0,"降温,散热,冰块,干冰,润滑,电池,wd40,云南白药,喷雾,换电池,关节,加冰,冷却,润滑剂,以为"
1,"遥控,遥控器,自主,玩具,跟着,导航,遥控车,后面,操控,1.2,控制,区别,机器人,成绩,智能"
2,"意义,评论,有意义,搞笑,可爱,理解,活着,看着,何在,知道,为什么,东西,一点,认知,回答"
3,"马拉松,机器人,机器人马拉松,跑步,比赛,测试,意义,技术,去年,为了,算法,发展,需要,今年,只是"
4,"程序员,工程师,程序,跟着,代码,马拉松,体育,体力,运动,解决,没想到,全程,运动员,体测,要求"
5,"战场,打仗,玩意,炸药包,炸弹,巷战,救援,要是,火场,战争,敌人,冲锋,武器,军用,背个"
6,"姿势,最后,跑步,起来,两个,速度,第四个,最像,好看,第三个,最好,一样,好像,前倾,样子"
7,"人形,人形机器人,人类,设计,工具,社会,做成,机器人,适配,形态,所有,适应,机器,很多,场景"
8,"科技,发展,进步,技术,美国,科技进步,未来,投资,国家,过程,越来越,中国,一步,时代,先进"
9,"去年,今年,进步,一年,明年,记得,进化,好多,太快,真快,健步如飞,速度,太多,昨年,迭代"
10,"轮子,更快,换成,四个,轱辘,地形,两条腿,复杂,螺旋桨,路面,方便,越野,适应,履带,不用"
11,"机器人,服务,人类,机器,伺候,学习,未来,替代,发展,工作,robot,阶段,打工,失业,维护"
12,"站不稳,摔倒,停下来,停下,踉跄,地上,医院,一脚,好怕,真怕,一下,往后,撞死,跪下,两步"
13,"跟着,三个,一起,人要,后面,几个,全程,伺候,个人,还跟着,旁边,一直,还要,马拉松,边上"
14,"外卖,快递,小哥,失业,超时,满大街,机器人,取代,送餐,用来,这送,不用,是不是,驿站,迟早"
15,"f1,赛车,进站,换胎,轮胎,法拉利,方程式,那样,有种,一样,既视感,比赛,太慢,维修站,方程式赛车"
16,"三个,伺候,个人,服务,机器人,服侍,需要,就业,侍候,岗位,真人,一台,机器,活人,干活"
17,"马拉松,跑步,测试,意义,只是,为了,刘翔,人类,情况,目的,有些,比赛,活动,不早,展示"
18,"机器人,降温,低血糖,喝水,喷雾,需要,中暑,裆部,散热,运动,冰块,问题,过热,导致,关节"
19,"汽车,新能源,恭喜,电动车,那不就,轮子,电瓶车,发明,电车,没见,电动汽车,有轮,玩意,是否,那特"
