topic,top_terms,size
0,"人, 后面, 跟着, 好像, 遥控器, 遥控, 奶瓶, 还要, 有人, 干嘛, 两个, 控制, 停下来, 一起, 前面",3050
1,"真的, 一下, 开始, 好笑, 低血糖, 突然, 努力, 发现, 过去, 赛跑, 想到, 好好笑, 重要, 其实, 电车",1893
2,"可爱, 机器人, 程序员, 测试, 为了, 外卖, 科技, 程序, 准备, 续航, 背着, 上班, 能力, 有意思, 快递",2050
3,"机器人, 知道, 搞笑, 起来, 视频, ai, 一直, 养老, 有个, 之前, 评论, 跑得快, 发展, 照顾, 担架",2275
4,"机器人, 人类, 评论, 自主, 之后, 未来, 遥控, 统治, 地球, 严肃, 本人, 名状, 服务, 当做, 发展",2370
5,"机器人, 跑步, 人, 意义, 需要, 玩意, 三个, 伺候, 摔倒, 中国, 公司, 那些, 几年, 宇树, 这些",2300
6,"这样, 遥控, 最后, 去年, 荣耀, 玩具, 今年, 速度, 补给, 进步, 玩意儿, 多少, 太快, 很快, 红色",2218
7,"降温, 问题, 散热, 不行, 工作, 机器人, 冰块, 技术, 关节, 需要, 发展, 时间, 干冰, 电机, 润滑",2563
8,"机器人, 轮子, 为什么, 人形, 汽车, 机器, 人形机器人, 设计, 以为, 电池, 东西, 赛车, 更快, f1, 地形",2921
9,"机器人, 孩子, 加油, 看着, 姿势, 人家, 一样, 喜欢, 跑步, 样子, 确实, 第一个, 是不是, 原来, 真是",2396
10,"技术, 厉害, 地上, 理解, 不了, 镜头, 几个, 日本, 比较, 肯定, 屁股, 越来越, 发动机, 非常, 嘲笑",1789
11,"马拉松, 比赛, 机器人, 参加, 进步, 意义, 机器人马拉松, 看看, 哪里, 不要, 第一, 明年, 今天, 云南白药, 一年",2230
